city,target_date,entry_snapshot_ts_utc,leg,bracket,entry_price,entry_cost_per_share,entry_p_model,entry_model_edge_per_share,win,hold_pnl_per_share,exit_triggered,exit_snapshot_ts_utc,exit_ts_beijing,exit_no_bid,exit_fee_per_share,exit_net_per_share,exit_p_leg_win_now,exit_p_no_hold_now,exit_pnl_per_share,exit_minutes_after_entry,overlay_delta_per_share,threshold
Ankara,2026-07-05,2026-07-05T10:00:17Z,d1_no,25,0.55,0.56238,0.8078639371231254,0.2454839371231254,0.0,-0.56238,False,,,,,,,,-0.56238,,0.0,0.0
Beijing,2026-07-05,2026-07-05T07:12:26Z,d1_no,35+,0.895,0.8997,0.9693890545638548,0.0696890545638547,1.0,0.10029999999999994,True,2026-07-05T08:19:30Z,2026-07-05 16:19:30,0.997,0.00015,0.99685,0.9840825492522107,0.9840825492522107,0.09714999999999996,67.06666666666666,-0.003149999999999986,0.0
Busan,2026-07-05,2026-07-05T07:12:26Z,d1_no,27,0.93,0.93325,0.9407081151891908,0.0074581151891908,1.0,0.06674999999999998,True,2026-07-05T07:45:58Z,2026-07-05 15:45:58,0.99,0.0005,0.9895,0.9433053400741285,0.9433053400741285,0.05625000000000002,33.53333333333333,-0.010499999999999954,0.0
CapeTown,2026-07-05,2026-07-05T10:33:48Z,d1_no,18,0.6,0.612,0.7467328484577089,0.1347328484577089,0.0,-0.612,False,,,,,,,,-0.612,,0.0,0.0
Chengdu,2026-07-05,2026-07-05T07:12:26Z,d1_no,37,0.68,0.69088,0.9292128618002532,0.2383328618002531,0.0,-0.69088,False,,,,,,,,-0.69088,,0.0,0.0
Chengdu,2026-07-05,2026-07-05T08:19:30Z,d1_no,38,0.899,0.90354,0.9143053712979522,0.0107653712979521,1.0,0.09645999999999999,True,2026-07-05T08:36:22Z,2026-07-05 16:36:22,0.938,0.00291,0.93509,0.9159971467531057,0.9159971467531057,0.03154999999999997,16.866666666666667,-0.06491000000000002,0.0
Chongqing,2026-07-05,2026-07-05T07:12:26Z,d1_no,37,0.872,0.87758,0.9019013763003364,0.0243213763003363,1.0,0.12241999999999997,True,2026-07-05T09:26:31Z,2026-07-05 17:26:31,0.961,0.00187,0.9591299999999999,0.9275329793445155,0.9275329793445155,0.0815499999999999,134.08333333333334,-0.04087000000000007,0.0
Guangzhou,2026-07-05,2026-07-05T07:12:26Z,d1_no,33,0.73,0.73985,0.9559544308347808,0.2161044308347808,1.0,0.26015,True,2026-07-05T08:52:54Z,2026-07-05 16:52:54,0.991,0.00045,0.99055,0.9844822754908591,0.9844822754908591,0.25070000000000003,100.46666666666667,-0.009449999999999958,0.0
Helsinki,2026-07-05,2026-07-05T09:26:31Z,d1_no,18,0.56,0.57232,0.7992214739844582,0.2269014739844581,1.0,0.42767999999999995,False,,,,,,,,0.42767999999999995,,0.0,0.0
HongKong,2026-07-05,2026-07-05T07:12:26Z,d1_no,33,0.018,0.0188799999999999,0.9695461973326236,0.9506661973326236,0.0,-0.0188799999999999,False,,,,,,,,-0.0188799999999999,,0.0,0.0
Istanbul,2026-07-05,2026-07-05T07:12:26Z,d1_no,27,0.3,0.3105,0.6544239145395166,0.3439239145395166,0.0,-0.3105,False,,,,,,,,-0.3105,,0.0,0.0
Istanbul,2026-07-05,2026-07-05T10:00:17Z,d1_no,28,0.9,0.9045,0.9369646089204976,0.0324646089204976,1.0,0.09550000000000003,False,,,,,,,,0.09550000000000003,,0.0,0.0
Jeddah,2026-07-05,2026-07-05T08:02:38Z,d1_no,36,0.889,0.89393,0.9186219236496904,0.0246919236496904,1.0,0.10607,False,,,,,,,,0.10607,,0.0,0.0
Jeddah,2026-07-05,2026-07-05T10:00:17Z,d1_no,38,0.73,0.73985,0.98308328385122,0.24323328385122,1.0,0.26015,False,,,,,,,,0.26015,,0.0,0.0
Karachi,2026-07-05,2026-07-05T07:12:26Z,d1_no,34,0.67,0.68105,0.8468768791241328,0.1658268791241327,0.0,-0.68105,False,,,,,,,,-0.68105,,0.0,0.0
Karachi,2026-07-05,2026-07-05T10:33:48Z,d1_no,35,0.94,0.94282,0.9586587258438882,0.0158387258438882,1.0,0.05718000000000001,True,2026-07-05T10:50:47Z,2026-07-05 18:50:47,0.983,0.00084,0.98216,0.9595136547762748,0.9595136547762748,0.03934000000000004,16.983333333333334,-0.017839999999999967,0.0
Lucknow,2026-07-05,2026-07-05T07:12:26Z,d1_no,37,0.68,0.69088,0.989863471700231,0.298983471700231,1.0,0.30911999999999995,True,2026-07-05T08:02:38Z,2026-07-05 16:02:38,0.21,0.0083,0.2017,0.8526349151571917,0.1473650848428083,-0.48918000000000006,50.2,-0.7983,0.0
Lucknow,2026-07-05,2026-07-05T08:02:38Z,d1_no,38,0.714,0.72421,0.9787928136570524,0.2545828136570524,0.0,-0.72421,False,,,,,,,,-0.72421,,0.0,0.0
Lucknow,2026-07-05,2026-07-05T10:17:04Z,d1_no,39,0.906,0.91026,0.9766159271680884,0.0663559271680883,1.0,0.08974000000000004,False,,,,,,,,0.08974000000000004,,0.0,0.0
Manila,2026-07-05,2026-07-05T07:12:26Z,d1_no,35,0.95,0.95238,0.9893843915584456,0.0370043915584455,1.0,0.047619999999999996,True,2026-07-05T08:02:38Z,2026-07-05 16:02:38,0.997,0.00015,0.99685,0.9877457415614861,0.9877457415614861,0.04447000000000001,50.2,-0.003149999999999986,0.0
Moscow,2026-07-05,2026-07-05T09:09:37Z,d1_no,20,0.79,0.7983,0.8758931398847338,0.0775931398847338,1.0,0.2017,True,2026-07-05T10:33:48Z,2026-07-05 18:33:48,0.87,0.00566,0.86434,0.42724684160163884,0.5727531583983612,0.06603999999999999,84.18333333333334,-0.13566,0.0
Moscow,2026-07-05,2026-07-05T10:33:48Z,d1_no,21,0.528,0.54046,0.8561246400205074,0.3156646400205073,1.0,0.45953999999999995,False,,,,,,,,0.45953999999999995,,0.0,0.0
Munich,2026-07-05,2026-07-05T10:50:47Z,d1_no,25,0.64,0.65152,0.7961450765087571,0.1446250765087571,1.0,0.34848,False,,,,,,,,0.34848,,0.0,0.0
