city,icao,decision_hour_local,city_days,rows,p50_residual_c,p75_residual_c,p90_residual_c,p95_residual_c,p99_residual_c,max_residual_c,residual_ge_0_5c_rate,residual_ge_1_0c_rate,residual_ge_1_5c_rate,bucket_delta_ge_1_rate,avg_obs_count_day,avg_obs_count_to_decision,physical_candidate_v0
Warsaw,EPWA,19,771,771,0.0,0.0,0.0,0.0,1.1111111111111112,2.7777777777777786,0.020752269779507133,0.018158236057068743,0.0038910505836575876,0.018158236057068743,47.96238651102464,38.970168612191955,True
Tokyo,RJTT,18,772,772,0.0,0.0,0.0,0.0,1.1111111111111107,3.333333333333332,0.022020725388601035,0.019430051813471502,0.007772020725388601,0.019430051813471502,49.94559585492228,38.43652849740933,True
London,EGLL,19,771,771,0.0,0.0,0.0,0.0,1.833333333333308,3.333333333333332,0.02204928664072633,0.020752269779507133,0.01297016861219196,0.020752269779507133,47.98184176394293,37.98313878080415,True
London,EGLL,20,771,771,0.0,0.0,0.0,0.0,1.833333333333308,2.7777777777777777,0.020752269779507133,0.020752269779507133,0.011673151750972763,0.020752269779507133,47.98184176394293,39.98313878080415,True
NYC,KLGA,21,771,771,0.0,0.0,0.0,0.0,0.5555555555555571,2.777777777777777,0.028534370946822308,0.009079118028534372,0.0038910505836575876,0.020752269779507133,27.40077821011673,24.01686121919585,True
Warsaw,EPWA,18,771,771,0.0,0.0,0.0,0.0,1.1111111111111112,3.8888888888888893,0.02464332036316472,0.020752269779507133,0.005188067444876783,0.020752269779507133,47.96238651102464,36.970168612191955,True
Boston,KBOS,20,771,771,0.0,0.0,0.0,0.0,1.2777777777777535,3.8888888888888893,0.0311284046692607,0.01556420233463035,0.010376134889753566,0.023346303501945526,28.444876783398183,23.767833981841765,True
London,EGLL,18,771,771,0.0,0.0,0.0,0.0,2.2222222222222214,3.333333333333332,0.0311284046692607,0.02594033722438392,0.01297016861219196,0.02594033722438392,47.98184176394293,35.98313878080415,True
NYC,KLGA,20,771,771,0.0,0.0,0.0,0.0,1.111111111111111,3.333333333333332,0.03761348897535668,0.01297016861219196,0.007782101167315175,0.027237354085603113,27.40077821011673,22.907911802853437,True
Boston,KBOS,19,771,771,0.0,0.0,0.0,0.0,2.222222222222222,4.444444444444445,0.041504539559014265,0.020752269779507133,0.01297016861219196,0.0324254215304799,28.444876783398183,22.561608300907913,True
NYC,KLGA,19,771,771,0.0,0.0,0.0,0.0,1.2777777777777526,3.333333333333332,0.04669260700389105,0.020752269779507133,0.010376134889753566,0.03631647211413749,27.40077821011673,21.788586251621272,True
NYC,KLGA,18,771,771,0.0,0.0,0.0,0.5555555555555554,1.6666666666666667,3.333333333333332,0.0609597924773022,0.02464332036316472,0.011673151750972763,0.04798962386511025,27.40077821011673,20.67833981841764,True
Boston,KBOS,18,771,771,0.0,0.0,0.0,0.5555555555555557,2.777777777777778,4.444444444444445,0.06874189364461739,0.040207522697795074,0.02594033722438392,0.057068741893644616,28.444876783398183,21.346303501945524,True
