target_date,city,decision_hour_local,bracket,current_native,running_native,bracket_upper,final_max_native,actual_peak_first_hour_local,actual_peak_last_hour_local,actual_peak_afternoon,future_max_above_running,final_max_above_current_upper,label_no_wins,no_ask,stake_profit_usd,peak_already_started_by_decision,final_did_not_cross_bracket_upper
2026-05-23,Manila,14,37,37.22222222222222,37.22222222222222,37.0,37.22222222222222,14,16,True,False,True,0.0,0.049,-5.0,True,False
2026-05-23,Miami,14,88-89,88.0,88.0,89.0,88.0,13,13,True,False,False,0.0,0.17,-5.0,True,True
2026-05-23,SanFrancisco,14,68-69,68.0,68.0,69.0,68.0,13,15,True,False,False,0.0,0.11,-5.0,True,True
2026-05-23,SaoPaulo,13,18,17.77777777777778,17.77777777777778,18.0,17.77777777777778,13,16,True,False,False,0.0,0.251,-5.0,True,True
2026-05-23,SaoPaulo,14,18,17.22222222222222,17.77777777777778,18.0,17.77777777777778,13,16,True,False,False,0.0,0.13,-5.0,True,True
2026-05-23,Warsaw,13,23,22.77777777777778,22.77777777777778,23.0,22.77777777777778,13,17,True,False,False,0.0,0.75,-5.0,True,True
2026-05-23,Warsaw,14,23,22.77777777777778,22.77777777777778,23.0,22.77777777777778,13,17,True,False,False,0.0,0.69,-5.0,True,True
2026-05-23,Wuhan,13,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,17,True,False,False,0.0,0.819,-5.0,True,True
2026-05-23,Wuhan,14,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,17,True,False,False,0.0,0.392,-5.0,True,True
2026-05-24,Amsterdam,14,24,23.88888888888889,23.88888888888889,24.0,23.88888888888889,13,17,True,False,False,0.0,0.947,-5.0,True,True
2026-05-24,Austin,11,76+,79.0,79.0,76.0,87.0,14,18,True,True,True,0.0,0.001,-5.0,False,False
2026-05-24,Busan,13,26,26.11111111111111,26.11111111111111,26.0,26.11111111111111,13,14,True,False,True,0.0,0.091,-5.0,True,False
