holdout_dates,policy,avg_atlas_physical_multiplier,avg_atlas_train_shrunk_multiplier,avg_trade_cap_multiplier,day_regime_mix,trades,settled_trades,weighted_cost_usd,weighted_profit_usd,roi,win_rate,notional_retained
"2026-05-27,2026-05-28",full_size_base_p40,0.7111111111111111,0.832440561495989,0.5234081479257318,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:6,day_open_runway:4",18,18,90.0,53.23344280240831,0.5914826978045368,0.2777777777777778,1.0
"2026-05-27,2026-05-28",trade_cap_soft_size,0.7111111111111111,0.832440561495989,0.5234081479257318,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:6,day_open_runway:4",18,18,47.10673331331586,49.16586824160741,1.0437121146693797,0.2777777777777778,0.5234081479257318
"2026-05-27,2026-05-28",atlas_physical_soft_size,0.7111111111111111,0.832440561495989,0.5234081479257318,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:6,day_open_runway:4",18,18,64.0,45.528085659551174,0.7113763384304871,0.2777777777777778,0.7111111111111111
"2026-05-27,2026-05-28",atlas_physical_trade_cap_soft_size,0.7111111111111111,0.832440561495989,0.5234081479257318,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:6,day_open_runway:4",18,18,34.64987191660198,40.32154724662267,1.163685318770347,0.2777777777777778,0.38499857685113315
"2026-05-27,2026-05-28",atlas_train_shrunk_soft_size,0.7111111111111111,0.832440561495989,0.5234081479257318,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:6,day_open_runway:4",18,18,74.919650534639,38.89432758628642,0.5191472104945776,0.2777777777777778,0.8324405614959889
"2026-05-27,2026-05-28",atlas_train_shrunk_trade_cap_soft_size,0.7111111111111111,0.832440561495989,0.5234081479257318,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:6,day_open_runway:4",18,18,39.8734440381929,39.71530371525077,0.9960339437247845,0.2777777777777778,0.4430382670910322
"2026-05-28,2026-05-29",full_size_base_p40,0.7078947368421055,0.8248069437561582,0.5415199697256,"day_forecast_busted:3,day_forecast_capped:6,day_marginal_runway:6,day_open_runway:4",19,19,95.0,34.86392832995267,0.3669887192626597,0.3157894736842105,1.0
"2026-05-28,2026-05-29",trade_cap_soft_size,0.7078947368421055,0.8248069437561582,0.5415199697256,"day_forecast_busted:3,day_forecast_capped:6,day_marginal_runway:6,day_open_runway:4",19,19,51.444397123932006,32.587679207034114,0.6334543901550413,0.3157894736842105,0.5415199697256
"2026-05-28,2026-05-29",atlas_physical_soft_size,0.7078947368421055,0.8248069437561582,0.5415199697256,"day_forecast_busted:3,day_forecast_capped:6,day_marginal_runway:6,day_open_runway:4",19,19,67.25,42.767989954602534,0.6359552409606325,0.3157894736842105,0.7078947368421052
"2026-05-28,2026-05-29",atlas_physical_trade_cap_soft_size,0.7078947368421055,0.8248069437561582,0.5415199697256,"day_forecast_busted:3,day_forecast_capped:6,day_marginal_runway:6,day_open_runway:4",19,19,37.530166488426374,34.96362399594837,0.9316138793770211,0.3157894736842105,0.3950543840886987
"2026-05-28,2026-05-29",atlas_train_shrunk_soft_size,0.7078947368421055,0.8248069437561582,0.5415199697256,"day_forecast_busted:3,day_forecast_capped:6,day_marginal_runway:6,day_open_runway:4",19,19,78.356659656835,43.3018695060571,0.5526252611545559,0.3157894736842105,0.8248069437561579
"2026-05-28,2026-05-29",atlas_train_shrunk_trade_cap_soft_size,0.7078947368421055,0.8248069437561582,0.5415199697256,"day_forecast_busted:3,day_forecast_capped:6,day_marginal_runway:6,day_open_runway:4",19,19,43.21190232584085,37.12553157035038,0.8591505944451142,0.3157894736842105,0.4548621297456932
"2026-05-29,2026-05-30",full_size_base_p40,0.5333333333333333,0.7249372389179007,0.5036406435903445,"day_forecast_busted:8,day_forecast_capped:8,day_marginal_runway:2",18,18,90.0,-32.31166150670795,-0.3590184611856439,0.16666666666666666,1.0
"2026-05-29,2026-05-30",trade_cap_soft_size,0.5333333333333333,0.7249372389179007,0.5036406435903445,"day_forecast_busted:8,day_forecast_capped:8,day_marginal_runway:2",18,18,45.32765792313101,-24.005115651374233,-0.5295909109639716,0.16666666666666666,0.5036406435903445
"2026-05-29,2026-05-30",atlas_physical_soft_size,0.5333333333333333,0.7249372389179007,0.5036406435903445,"day_forecast_busted:8,day_forecast_capped:8,day_marginal_runway:2",18,18,48.0,-11.059855521155832,-0.2304136566907465,0.16666666666666666,0.5333333333333333
