slice,rows,dates,cities,touch_rate,exact_rate,no_win_rate,avg_p_no_win,tail_miss_rate,model
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.7973463108701531,0.010869565217391304,vertical_hourly_context
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.9084973943917881,0.014613778705636743,vertical_hourly_context
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7871466253594018,0.014972776769509982,vertical_hourly_context
d1_no_multi_model_spread_high,0,,,,,,,,vertical_hourly_context
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.7917946047790048,0.02295552367288379,vertical_hourly_context
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.7862811918773654,0.018008474576271187,city_late_reheat_calibration
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.7697033365800725,0.017783857729138167,city_late_reheat_calibration
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.8014984289414542,0.010869565217391304,city_late_reheat_calibration
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.9063810734295096,0.013917884481558803,city_late_reheat_calibration
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7941691699016861,0.017241379310344827,city_late_reheat_calibration
d1_no_multi_model_spread_high,0,,,,,,,,city_late_reheat_calibration
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.8062669394818169,0.02582496413199426,city_late_reheat_calibration
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.786420017912022,0.018361581920903956,full_v2
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.769901598885803,0.017783857729138167,full_v2
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.8015249728147765,0.010869565217391304,full_v2
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.906871771610714,0.013917884481558803,full_v2
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7944995092147854,0.017241379310344827,full_v2
d1_no_multi_model_spread_high,0,,,,,,,,full_v2
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.8064749787541227,0.02582496413199426,full_v2
d1_no,1474,9.0,47.0,0.13297150610583447,0.11533242876526459,0.8846675712347354,0.893027815468114,0.018995929443690638,market_no_ask
d1_no_next_obs_le30,1107,9.0,46.0,0.14814814814814814,0.12917795844625113,0.8708220415537489,0.8826251129177958,0.02168021680216802,market_no_ask
d1_no_cadence_approx60,638,9.0,32.0,0.109717868338558,0.0987460815047022,0.9012539184952978,0.9019090909090909,0.01567398119122257,market_no_ask
d1_no_path_decline,732,9.0,47.0,0.05191256830601093,0.04644808743169399,0.953551912568306,0.9618073770491803,0.01092896174863388,market_no_ask
d1_no_forecast_below_target,1127,9.0,47.0,0.1064773735581189,0.09671694764862467,0.9032830523513753,0.9160044365572316,0.022182786157941437,market_no_ask
d1_no_multi_model_spread_high,0,,,,,,,,market_no_ask
d1_no_chengdu_like_asia_hot,329,8.0,12.0,0.1094224924012158,0.08814589665653495,0.9118541033434651,0.9020759878419453,0.02127659574468085,market_no_ask
d1_no,3177,9.0,47.0,0.12244255587031791,0.10701920050361977,0.8929807994963802,0.7411284690033466,0.0006295247088448222,clock_only_hazard
d1_no_next_obs_le30,2408,9.0,47.0,0.13579734219269102,0.11835548172757475,0.8816445182724253,0.706752741844462,0.0,clock_only_hazard
d1_no_cadence_approx60,1293,9.0,34.0,0.0897138437741686,0.08275328692962104,0.917246713070379,0.6991377862509222,0.0,clock_only_hazard
