model,edge_threshold,rows,dates,cities,cost,pnl,roi,date_block_ci_low,date_block_ci_high
taf,0.02,122,7,23,65.59172,-0.591720000000001,-0.00902126061033315,-0.2721171085156829,0.19553271088066887
taf,0.03,116,7,23,60.13902999999999,-1.13903,-0.018939946321049745,-0.2877419808474069,0.20677705964358672
taf,0.05,97,7,20,44.74243,-1.7424299999999997,-0.038943571013018284,-0.3883335304439949,0.3043489985733855
vertical_hourly_context,0.0,213,7,37,152.6863,3.3137000000000016,0.021702667495381064,-0.08437170070847008,0.08998080698996054
vertical_hourly_context,0.01,137,7,29,79.52404999999999,0.47594999999999943,0.005984981901701428,-0.19818939443818392,0.17883898122407288
vertical_hourly_context,0.02,122,7,23,65.59172,-0.591720000000001,-0.00902126061033315,-0.2721171085156829,0.19553271088066887
vertical_hourly_context,0.03,115,7,23,59.43832999999999,-0.43833000000000055,-0.0073745342441485255,-0.2877419808474069,0.2527344560617914
vertical_hourly_context,0.05,96,7,20,44.27001,-2.2700099999999996,-0.05127647362175883,-0.3891711208105606,0.3043489985733855
city_late_reheat_calibration,0.0,279,7,34,204.32867,0.671330000000002,0.0032855399097933835,-0.07963669595462515,0.07810958210480817
city_late_reheat_calibration,0.01,172,7,27,100.65099999999998,-0.6510000000000007,-0.006467894009994941,-0.1487657811313215,0.16672936244774827
city_late_reheat_calibration,0.02,156,7,23,87.55249999999998,-1.552500000000001,-0.017732217812169857,-0.18772734772122535,0.17756344396963664
city_late_reheat_calibration,0.03,147,7,22,79.58893,-2.5889299999999995,-0.03252877001864454,-0.22449896399115507,0.1901585570816684
city_late_reheat_calibration,0.05,127,7,20,62.80073999999998,-1.8007399999999998,-0.028673865944891738,-0.3009089384967123,0.2734409304098409
full_v2,0.0,280,7,34,204.94861999999998,0.0513800000000022,0.0002506969795649378,-0.07926031601671671,0.07565129149697723
full_v2,0.01,173,7,27,101.32221999999999,-1.3222200000000015,-0.013049654853594815,-0.15288975747586928,0.16208042735086325
full_v2,0.02,157,7,23,88.51632999999998,-1.5163300000000008,-0.017130511398292282,-0.18772734772122535,0.17618660123966115
full_v2,0.03,147,7,22,79.58893,-2.5889299999999995,-0.03252877001864454,-0.22449896399115507,0.1901585570816684
full_v2,0.05,127,7,20,62.80073999999998,-1.8007399999999998,-0.028673865944891738,-0.3009089384967123,0.2734409304098409
market_no_ask,0.0,0,0,0,0.0,0.0,,,
market_no_ask,0.01,0,0,0,0.0,0.0,,,
market_no_ask,0.02,0,0,0,0.0,0.0,,,
market_no_ask,0.03,0,0,0,0.0,0.0,,,
market_no_ask,0.05,0,0,0,0.0,0.0,,,
clock_only_hazard,0.0,193,9,29,92.22208999999998,-1.2220900000000015,-0.013251597312531106,-0.2079805339227021,0.1797736452698971
clock_only_hazard,0.01,184,9,29,86.33277,-1.332770000000001,-0.015437591079262266,-0.21323253724260685,0.1785515138760872
clock_only_hazard,0.02,178,9,29,81.65375,-0.6537499999999978,-0.00800636835417844,-0.21728854208327145,0.19011136510129178
clock_only_hazard,0.03,172,9,28,77.51719,0.4828100000000033,0.006228424946776364,-0.20737015414290275,0.20947170721215197
clock_only_hazard,0.05,155,9,28,66.33293,-0.33293000000000017,-0.005019075744128899,-0.2560304969714288,0.23511708238283993
raw_physical_score_v1,0.0,33,7,11,4.83083,1.1691700000000003,0.24202259239095567,-0.22784692837508108,0.6951839890381571
raw_physical_score_v1,0.01,31,7,10,3.82045,0.17955,0.04699708149563533,-0.7100297799416,0.7008926561400306
raw_physical_score_v1,0.02,31,7,10,3.82045,0.17955,0.04699708149563533,-0.7100297799416,0.7008926561400306
raw_physical_score_v1,0.03,31,7,10,3.82045,0.17955,0.04699708149563533,-0.7100297799416,0.7008926561400306
raw_physical_score_v1,0.05,31,7,10,3.82045,0.17955,0.04699708149563533,-0.7100297799416,0.7008926561400306
v1_original_retrained,0.0,92,8,26,56.29088999999999,1.7091100000000008,0.030362106550456052,-0.08318032041521153,0.1912113197353359
v1_original_retrained,0.01,66,8,20,31.016530000000003,2.98347,0.09618967692388541,-0.06419125723879893,0.2987884008612874
v1_original_retrained,0.02,60,8,20,25.67528,3.3247200000000006,0.12949109026269628,0.00695951829645035,0.3918441558839362
v1_original_retrained,0.03,56,8,20,22.18743,2.81257,0.12676411824172518,-0.002520845183931554,0.4115769817649749
v1_original_retrained,0.05,49,8,19,15.986200000000002,2.0138,0.12597115011697588,-0.04156374984419396,0.4864057774169683
old_v1_like,0.0,98,8,27,61.721509999999995,-0.7215099999999989,-0.011689765853103707,-0.16161837512302143,0.11402497278839048
old_v1_like,0.01,65,8,20,30.21029,-0.21028999999999995,-0.006960873265367527,-0.20650676093907266,0.19979706289679003
old_v1_like,0.02,60,8,19,25.356910000000003,-0.35691000000000006,-0.014075453199936428,-0.23160820888271377,0.2516899019903958
old_v1_like,0.03,52,8,18,18.87729,0.1227100000000004,0.006500403394766961,-0.19838481469105612,0.3341067332751553
old_v1_like,0.05,46,8,17,14.424190000000001,0.5758099999999999,0.039919745926807665,-0.14207252474511786,0.44521831035084025
