period,sizing,fee_profile,exit_policy,rows,dates,cities,win_rate_final,avg_entry,avg_cost,avg_entry_fee,avg_exit_fee,total_cost,total_fees,tp_hit_rate,stop_hit_rate,roi,pnl,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,path_coverage
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee,tp20_live_fixed20_plus_time_stop_or_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.3684210526315789,0.05263157894736842,-0.3409203060168301,-5.67488834431703,-0.79686270614135,-0.04841004649479858,3,1,-3.1382231829703686,-0.79686270614135,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee,tp20_maxbid_backtest_style,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.3684210526315789,0.0,0.4036444532214609,6.7189814229534575,-0.4200430260335541,3.7484338679909546,1,0,-1.6542231829703686,-0.4200430260335541,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee,tp30_live_fixed30,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.21052631578947367,0.0,-0.5576133880126157,-9.28191621449415,-0.6952940592120249,0.42738493025780194,2,2,-6.95206203330466,-0.6952940592120249,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.0,0.0,-0.24628089662561187,-4.099540464508548,-0.6596341996269053,3.757949767526007,1,1,-7.752062033304661,-0.6596341996269053,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold_plus_late_dust_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.0,0.0,-0.24628089662561187,-4.099540464508548,-0.6596341996269053,3.757949767526007,1,1,-7.752062033304661,-0.6596341996269053,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold_plus_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,4.789473684210526e-05,16.645791535916548,0.69918,0.0,0.05263157894736842,-0.24742803368091087,-4.118635468794181,-0.6596341996269053,3.7379655938024925,1,1,-7.752062033304661,-0.6596341996269053,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold_plus_strict_dead_or_late_dust,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0033126315789473683,16.645791535916548,0.76121,0.0,0.15789473684210525,-0.16984025666193447,-2.827125506801123,-0.5711497315598988,4.001318121266715,1,1,-6.712187075597235,-0.5711497315598988,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold_plus_strict_dead_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0033126315789473683,16.645791535916548,0.76121,0.0,0.15789473684210525,-0.16984025666193447,-2.827125506801123,-0.5711497315598988,4.001318121266715,1,1,-6.712187075597235,-0.5711497315598988,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold_plus_time_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.004146842105263157,16.645791535916548,0.7770600000000001,0.0,0.15789473684210525,-0.42130267474599353,-7.012916497345861,-0.8369712105837976,0.015686469293250405,2,2,-6.274962033304661,-0.8369712105837975,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,hold_plus_time_stop_or_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.004146842105263157,16.645791535916548,0.7770600000000001,0.0,0.15789473684210525,-0.42130267474599353,-7.012916497345861,-0.8369712105837976,0.015686469293250405,2,2,-6.274962033304661,-0.8369712105837975,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,recover_stake_tp30_live_fixed30,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.21052631578947367,0.0,-0.41085931713823565,-6.8390785436720956,-0.7118690044574962,2.9912692505008702,2,1,-8.365928699971327,-0.7118690044574962,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,tp20_live_fixed20,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.3684210526315789,0.0,-0.36182649117775334,-6.02288834431703,-0.79686270614135,-0.04841004649479858,3,1,-3.1382231829703686,-0.79686270614135,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,tp20_live_fixed20_plus_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.3684210526315789,0.0,-0.36182649117775334,-6.02288834431703,-0.79686270614135,-0.04841004649479858,3,1,-3.1382231829703686,-0.79686270614135,0.8947368421052632
