evidence_layer,target_date,city,router_route,router_expression,router_ask,router_payoff,base_weight,patched_weight,patched_shares,patch_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate
historical_best_ask_diagnostic,2026-05-30,Karachi,capped_d2_no,d2_no,0.56,1.0,0.313812,0.2039778,1.821230357142857,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-05-30,Shanghai,capped_d2_no,d2_no,0.56,0.0,0.30699,0.19954349999999998,1.7816383928571426,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-05-30,Tokyo,capped_d2_no,d2_no,0.42,1.0,0.405,0.405,4.821428571428572,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0899,0.1384
historical_best_ask_diagnostic,2026-05-31,Ankara,capped_d2_no,d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-05-31,Busan,fresh_runway_current_no,current_bracket_no,0.15,0.0,0.14400000000000004,0.14400000000000004,4.800000000000002,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067
historical_best_ask_diagnostic,2026-05-31,Karachi,capped_d2_no,d2_no,0.55,0.0,0.351,0.22815,2.0740909090909088,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-05-31,Taipei,capped_d2_no,d2_no,0.69,1.0,0.19116000000000002,0.13381200000000001,0.9696521739130437,below_min5_after_sizing,gfs_seamless,gfs,two_sided_noisy,-0.0708,0.3624
historical_best_ask_diagnostic,2026-05-31,TelAviv,pullback_uncertain_current_high_yes,current_high_yes,0.9,1.0,0.11249999999999999,0.11249999999999999,0.625,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287
historical_best_ask_diagnostic,2026-06-01,TelAviv,cheap_stale_tail_current_no,current_bracket_no,0.32,0.0,0.15,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287
historical_best_ask_diagnostic,2026-06-01,Wuhan,capped_d2_no,d2_no,0.6,1.0,0.27135000000000004,0.24421500000000004,2.0351250000000003,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753
historical_best_ask_diagnostic,2026-06-02,Amsterdam,cheap_stale_tail_current_no,current_bracket_no,0.33,0.0,0.26399999999999996,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,balanced_tight,0.0349,0.1348
historical_best_ask_diagnostic,2026-06-02,Beijing,fresh_runway_current_no,current_bracket_no,0.692,0.0,0.23941120000000013,0.23941120000000013,1.7298497109826598,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,0.176,0.3596
historical_best_ask_diagnostic,2026-06-02,BuenosAires,capped_d2_no,d2_no,0.66,1.0,0.21304799999999996,0.15978599999999998,1.2105,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
historical_best_ask_diagnostic,2026-06-02,Busan,capped_d2_no,d2_no,0.66,0.0,0.188838,0.1982799,1.5021204545454545,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067
historical_best_ask_diagnostic,2026-06-02,CapeTown,fresh_runway_current_no,current_bracket_no,0.61,1.0,0.48729600000000006,0.48729600000000006,3.9942295081967223,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758
historical_best_ask_diagnostic,2026-06-02,Jeddah,fresh_runway_current_no,current_bracket_no,0.61,1.0,0.10368000000000002,0.10368000000000002,0.8498360655737707,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-06-02,Munich,capped_d2_no,d2_no,0.51,1.0,0.3906,0.29295,2.8720588235294118,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-03,BuenosAires,capped_d2_no,d2_no,0.58,1.0,0.282744,0.212058,1.8280862068965518,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
historical_best_ask_diagnostic,2026-06-03,Houston,capped_d2_no,d2_no,0.68,1.0,0.18673199999999998,0.21474179999999995,1.5789838235294114,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815
historical_best_ask_diagnostic,2026-06-03,Munich,capped_d2_no,d2_no,0.65,1.0,0.22175999999999998,0.16632,1.2793846153846153,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-03,Wuhan,fresh_runway_current_no,current_bracket_no,0.39,0.0,0.12480000000000002,0.12480000000000002,1.6000000000000003,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753
historical_best_ask_diagnostic,2026-06-04,Amsterdam,fresh_runway_current_no,current_bracket_no,0.66,1.0,0.31677439999999996,0.31677439999999996,2.39980606060606,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.0349,0.1348
historical_best_ask_diagnostic,2026-06-04,Dallas,capped_d2_no,d2_no,0.63,0.0,0.2718,0.17667,1.4021428571428571,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213
historical_best_ask_diagnostic,2026-06-04,Guangzhou,capped_d2_no,d2_no,0.66,1.0,0.21789,0.1634175,1.2380113636363634,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-06-04,Karachi,capped_d2_no,d2_no,0.58,1.0,0.32130000000000003,0.20884500000000003,1.8003879310344832,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-04,NYC,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.49920000000000003,0.49920000000000003,4.538181818181818,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2712,0.156
historical_best_ask_diagnostic,2026-06-05,Helsinki,pullback_uncertain_current_high_yes,current_high_yes,0.677,1.0,0.12514999999999998,0.12514999999999998,0.924298375184638,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.2863,0.2556
