snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,entry_policy
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1528.json,2026-07-06T07:28:57Z,2026-07-06 15:28:57,2026-07-06 04:28:57,15,28,BuenosAires,t2_research,2026-07-06,C,9,d3_no,no,6,6.111111111111111,6.111111111111111,0.0,43.0,43.0,2026-07-06T07:00:00Z,9,10.2,4.199999999999999,2026-07-06T15:00,-10.53,open_meteo_live_ecmwf,0.95,0.92,0.03,50.0,1696.1,304.12,5.000000000000004,0xce37239baa251ff20da0be046f69577581e9cd3c6baac4d2cedbb259511c2bc7,2801013,0.08,0.05,0.95,0.92,Will the highest temperature in Buenos Aires be 9°C on July 6?,0.0,True,1.0,0.00238,0.95238,0.047619999999999996,0.05000105000105,forward_2026-06-29_2026-07-06,90_95,5_10,peak_gt1h_ahead,room_gt2,at_high,15,d3_no_residual
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1602.json,2026-07-06T08:02:17Z,2026-07-06 16:02:17,2026-07-06 01:02:17,16,2,LA,t1_trading,2026-07-06,F,70-71,d3_no,no,65,65.0,65.0,0.0,65.0,65.0,2026-07-06T07:53:00Z,1,75.1,10.099999999999994,2026-07-06T12:00,-10.97,open_meteo_live_gfs,0.989,0.959,0.03,80.18,3777.47,502.46,1.100000000000001,0xa559da1a02fff54fa1646db18e5971d34a5f7742fd938e0c2bc9b0b608b89f82,2801134,0.041,0.011,0.989,0.959,Will the highest temperature in Los Angeles be between 70-71°F on July 6?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,16,d3_no_residual
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1602.json,2026-07-06T08:02:17Z,2026-07-06 16:02:17,2026-07-06 10:02:17,16,2,Munich,t1_trading,2026-07-06,C,23,d3_no,no,20,20.0,20.0,0.0,68.0,68.0,2026-07-06T07:50:00Z,20,23.3,3.3000000000000007,2026-07-06T16:00,-5.97,open_meteo_live_ecmwf,0.965,0.964,0.001,372.42,3574.5,141.39,3.500000000000003,0x8f4d9fed61a058dfb16ceb4abdfc4d95eb3ff187a1d65916b57da300dfef0852,2791843,0.036,0.035,0.965,0.964,Will the highest temperature in Munich be 23°C on July 6?,0.0,True,1.0,0.00169,0.9666899999999999,0.03331000000000006,0.034457788949921964,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_gt2,at_high,16,d3_no_residual
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1653.json,2026-07-06T08:53:05Z,2026-07-06 16:53:05,2026-07-06 11:53:05,16,53,Moscow,t1_trading,2026-07-06,C,24,d3_no,no,21,21.11111111111111,21.11111111111111,0.0,70.0,70.0,2026-07-06T08:30:00Z,25,20.6,-0.3999999999999986,2026-07-06T14:00,-2.12,open_meteo_live_ecmwf,0.97,0.96,0.01,10.0,2646.57,122.65,3.0000000000000027,0x43184b4be1982829cb6f1403d66f05cbad41771642aab0bc952a454d8cfa0411,2791900,0.04,0.03,0.97,0.96,Will the highest temperature in Moscow be 24°C on July 6?,0.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,capped_minus1_0,at_high,16,d3_no_residual
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1710.json,2026-07-06T09:10:02Z,2026-07-06 17:10:02,2026-07-06 12:10:02,17,10,Ankara,t1_trading,2026-07-06,C,28,d3_no,no,25,25.0,25.0,0.0,77.0,77.0,2026-07-06T08:50:00Z,24,25.1,0.10000000000000142,2026-07-06T16:00,-3.83,open_meteo_live_ecmwf,0.959,0.902,0.057,25.0,1387.9,161.56,4.100000000000003,0xfd9d16ee954f81403ec9b377150a542cf6cfdcab5d9078b35c0c5bec320acb02,2791822,0.098,0.041,0.959,0.902,Will the highest temperature in Ankara be 28°C on July 6?,0.0,True,1.0,0.00197,0.96097,0.03903000000000001,0.04061521171316483,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_0_1,at_high,17,d3_no_residual
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 03:26:03,15,26,Atlanta,t2_research,2026-06-30,F,90-91,d3_no,no,84,84.0,80.0,4.0,84.0,80.0,2026-06-30T06:52:00Z,3,95.7,11.700000000000003,2026-06-30T17:00,-13.57,open_meteo_live_gfs,0.969,0.931,0.038,25.0,1569.68,181.25,3.1000000000000028,0x07d22f7ae44c8900cae3c786f2904d0f143304b307051d64be0f2a719a035720,2725245,0.069,0.031,0.969,0.931,Will the highest temperature in Atlanta be between 90-91°F on June 30?,0.0,True,1.0,0.0015,0.9704999999999999,0.02950000000000008,0.03039670273055135,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_gt2,decline,15,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 12:56:03,15,26,Lucknow,t1_trading,2026-06-30,C,35,d3_no,no,32,32.22222222222222,28.88888888888889,3.333333333333332,90.0,84.0,2026-06-30T07:00:00Z,26,35.9,3.8999999999999986,2026-06-30T13:00,-0.07,open_meteo_live_ecmwf,0.989,0.955,0.034,709.25,1330.83,160.38,1.100000000000001,0x2acef2be00e2cd4abe7e8a0adbaa3bfa9483948cca5df97bb7f7fc72f399b44e,2716935,0.045,0.011,0.989,0.955,Will the highest temperature in Lucknow be 35°C on June 30?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,near_peak,room_gt2,decline,15,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 03:26:03,15,26,Miami,t1_trading,2026-06-30,F,90-91,d3_no,no,84,84.0,83.0,1.0,84.0,83.0,2026-06-30T06:53:00Z,3,92.7,8.700000000000003,2026-06-30T15:00,-11.57,open_meteo_live_gfs,0.98,0.972,0.008,104.4,4294.66,172.96,2.0000000000000018,0xdc9bf47d245920566bbda1abd2e6bc3cd7529341c20f92d7946eb8fdb9c6a916,2725257,0.028,0.02,0.98,0.972,Will the highest temperature in Miami be between 90-91°F on June 30?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,decline,15,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 03:26:03,15,26,NYC,t1_trading,2026-06-30,F,84-85,d3_no,no,78,78.0,77.0,1.0,78.0,77.0,2026-06-30T06:51:00Z,3,91.4,13.400000000000006,2026-06-30T13:00,-9.57,open_meteo_live_gfs,0.987,0.971,0.016,3496.53,4029.94,236.9,1.3000000000000012,0xe462471c6755deabfac55e728cbb2f5e784dca6f888bf3594555c5bcf62a045e,2725223,0.029,0.013,0.987,0.971,Will the highest temperature in New York City be between 84-85°F on June 30?,0.0,True,1.0,0.00064,0.98764,0.012360000000000038,0.01251468146288125,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,decline,15,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,Singapore,t1_trading,2026-06-30,C,30,d2_no,no,28,27.77777777777778,27.77777777777778,0.0,82.0,82.0,2026-06-30T07:30:00Z,33,30.4,2.3999999999999986,2026-06-30T15:00,0.43,open_meteo_live_gfs,0.98,0.97,0.01,124.51,535.33,220.41,2.0000000000000018,0xcee3852c76ee8741269978e5ae3cba1dc04e1f100be2f3c4714f833e7d42aaa1,2715262,0.03,0.02,0.98,0.97,Will the highest temperature in Singapore be 30°C on June 30?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,near_peak,room_gt2,at_high,15,late_residual_combo
