snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 15:56:37,15,56,Beijing,t2_research,2026-07-01,C,32,d1_no,no,31,31.11111111111111,31.11111111111111,0.0,88.0,88.0,2026-07-01T07:30:00Z,32,30.7,-0.3000000000000007,2026-07-01T16:00,-0.07,open_meteo_live_ecmwf,0.95,0.92,0.03,50.0,693.94,17.08,5.000000000000004,0x9e6915884df7dceafd5d374e17a59c9ae9bd12cca8d50758cb3caa27d2e00e34,2725962,0.08,0.05,0.95,0.92,Will the highest temperature in Beijing be 32°C on July 1?,0.0,True,1.0,0.00238,0.95238,0.047619999999999996,0.05000105000105,forward_2026-06-29_2026-07-06,90_95,5_10,near_peak,capped_minus1_0,at_high,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 16:56:37,15,56,Busan,t2_research,2026-07-01,C,24,d2_no,no,22,22.22222222222222,22.22222222222222,0.0,72.0,72.0,2026-07-01T07:00:00Z,23,22.3,0.3000000000000007,2026-07-01T16:00,0.93,open_meteo_live_ecmwf,0.97,0.94,0.03,357.19,507.81,112.21,3.0000000000000027,0x0c028e57b7cb2128afae143320944670367b8189d69ece05031e99b399566407,2726024,0.06,0.03,0.97,0.94,Will the highest temperature in Busan be 24°C on July 1?,0.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,room_0_1,at_high,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 15:56:37,15,56,Chengdu,t1_trading,2026-07-01,C,33,d2_no,no,31,31.11111111111111,31.11111111111111,0.0,88.0,88.0,2026-07-01T07:00:00Z,16,31.7,0.6999999999999993,2026-07-01T17:00,-1.07,open_meteo_live_ecmwf,0.99,0.92,0.07,86.73,883.61,27.8,1.0000000000000009,0x5c56e4d68d1c4875be9514110677583c4f3d041980aafada152ad08fe95e7b39,2725987,0.08,0.01,0.99,0.92,Will the highest temperature in Chengdu be 33°C on July 1?,0.0,True,1.0,0.0005,0.9904999999999999,0.009500000000000064,0.009591115598182801,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_0_1,at_high,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 15:56:37,15,56,Guangzhou,t1_trading,2026-07-01,C,33,d1_no,no,32,32.22222222222222,30.0,2.2222222222222214,90.0,86.0,2026-07-01T07:30:00Z,36,33.1,1.1000000000000014,2026-07-01T13:00,2.93,open_meteo_live_gfs,0.955,0.804,0.151,43.54,1391.89,56.14,4.5000000000000036,0x89abb61d8cb3265a39f3260e226555dfc0806cd9dcca3db56530b7200533a2e4,2726084,0.196,0.045,0.955,0.804,Will the highest temperature in Guangzhou be 33°C on July 1?,0.0,True,1.0,0.00215,0.95715,0.042850000000000055,0.04476832262445809,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,room_1_2,decline,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 10:56:37,15,56,Moscow,t1_trading,2026-07-01,C,27,d1_no,no,26,26.11111111111111,26.11111111111111,0.0,79.0,79.0,2026-07-01T07:30:00Z,23,27.0,1.0,2026-07-01T15:00,-4.07,open_meteo_live_ecmwf,0.96,0.92,0.04,30.0,347.72,12.29,4.0000000000000036,0x4f9eccf39e51f6145a6b40213b7a5cd0c03827a057396d0f78980440bb0da5e5,2726006,0.08,0.04,0.96,0.92,Will the highest temperature in Moscow be 27°C on July 1?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_0_1,at_high,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 00:56:37,15,56,SanFrancisco,t2_research,2026-07-01,F,62-63,d3_no,no,56,56.0,56.0,0.0,56.0,56.0,2026-07-01T07:56:00Z,1,65.1,9.099999999999994,2026-07-01T14:00,-13.07,open_meteo_live_ecmwf,0.979,0.945,0.034,44.98,805.36,131.99,2.100000000000002,0xc7d260715d16316ae995b1cdf3f2d19109b706f46f95ee2589fc179ad389b444,2737734,0.055,0.021,0.979,0.945,Will the highest temperature in San Francisco be between 62-63°F on July 1?,0.0,True,1.0,0.00103,0.98003,0.019970000000000043,0.020376927236921364,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 15:56:37,15,56,Shanghai,t1_trading,2026-07-01,C,26,current_yes,yes,26,26.11111111111111,25.0,1.1111111111111107,79.0,77.0,2026-07-01T07:30:00Z,34,25.6,-0.3999999999999986,2026-07-01T16:00,-0.07,open_meteo_live_gfs,0.95,0.92,0.03,65.63,1930.06,380.76,5.000000000000004,0x52180ef41fe8ceae20a7e07a329c47f8d7301e52da2b2254c4380de085953d93,2725885,0.95,0.92,0.08,0.05,Will the highest temperature in Shanghai be 26°C on July 1?,1.0,True,1.0,0.00238,0.95238,0.047619999999999996,0.05000105000105,forward_2026-06-29_2026-07-06,90_95,5_10,near_peak,capped_minus1_0,decline,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1556.json,2026-07-01T07:56:37Z,2026-07-01 15:56:37,2026-07-01 15:56:37,15,56,Shanghai,t1_trading,2026-07-01,C,27,d1_no,no,26,26.11111111111111,25.0,1.1111111111111107,79.0,77.0,2026-07-01T07:30:00Z,34,25.6,-0.3999999999999986,2026-07-01T16:00,-0.07,open_meteo_live_gfs,0.97,0.95,0.02,85.31,486.9,260.2,3.0000000000000027,0xd5d0bbb73ed9533e4530bbd8934fe648e07e09e61c801447935c7033a8b1bad9,2725886,0.05,0.03,0.97,0.95,Will the highest temperature in Shanghai be 27°C on July 1?,0.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,near_peak,capped_minus1_0,decline,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1637.json,2026-07-01T08:37:18Z,2026-07-01 16:37:18,2026-07-01 10:37:18,16,37,Amsterdam,t2_research,2026-07-01,C,22,d2_no,no,20,20.0,20.0,0.0,68.0,68.0,2026-07-01T08:25:00Z,20,22.1,2.1000000000000014,2026-07-01T15:00,-4.38,open_meteo_live_ecmwf,0.97,0.969,0.001,42.25,1060.69,274.48,3.0000000000000027,0x7b474ec1844f37381277acb4828f83b3ace7af88189b2438b8e55a3c3fb3b911,2726038,0.031,0.03,0.97,0.969,Will the highest temperature in Amsterdam be 22°C on July 1?,0.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_gt2,at_high,16
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1637.json,2026-07-01T08:37:18Z,2026-07-01 16:37:18,2026-07-01 11:37:18,16,37,Ankara,t1_trading,2026-07-01,C,30,d2_no,no,28,27.77777777777778,27.77777777777778,0.0,82.0,82.0,2026-07-01T08:20:00Z,23,30.4,2.3999999999999986,2026-07-01T17:00,-5.38,open_meteo_live_ecmwf,0.98,0.931,0.049,50.0,693.67,119.33,2.0000000000000018,0x9b25907e609137025a5a22e582f57dd62e94d1b0854d3876ba4f4f63d38a9c4d,2725817,0.069,0.02,0.98,0.931,Will the highest temperature in Ankara be 30°C on July 1?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,16
