ask_floor,scope,price_mode,policy,rows,dates,cities,opposite_rows,same_bracket_proxy_rows,avg_first_ask,avg_reverse_ask,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate
0.2,dev_cv,taker,same_bracket_close_plus_reverse_proxy,474,19,36,86,41,0.6203797468354431,0.6196976744186046,349.2934158,-2.2934158000000107,-0.006565871832274059,-0.05456040450545615,0.041892487526899475,0.42105263157894735
0.2,verified_forward,gross,add_first_opposite_hold_both,192,12,36,19,7,0.57584375,0.642736842105263,122.774,13.225999999999997,0.1077263915812794,0.014259128984115821,0.19768454880918657,0.75
0.2,verified_forward,gross,first_only_hold,192,12,36,19,7,0.57584375,0.642736842105263,110.562,12.437999999999999,0.11249796494274705,0.019533933442374116,0.19946591383256718,0.6666666666666666
0.2,verified_forward,gross,replace_with_first_opposite_hold,192,12,36,19,7,0.57584375,0.642736842105263,112.44299999999998,12.556999999999999,0.11167435945323409,0.002106146888602238,0.21180441996201066,0.6666666666666666
0.2,verified_forward,gross,same_bracket_close_only_proxy,192,12,36,19,7,0.57584375,0.642736842105263,115.426,11.573999999999998,0.10027203576317292,0.012688735047816835,0.18464057247959215,0.6666666666666666
0.2,verified_forward,gross,same_bracket_close_plus_reverse_proxy,192,12,36,19,7,0.57584375,0.642736842105263,120.29,12.709999999999997,0.10566131848033915,0.01694122404593415,0.18896352717983833,0.6666666666666666
0.2,verified_forward,taker,add_first_opposite_hold_both,192,12,36,19,7,0.57584375,0.642736842105263,124.9597726,11.040227399999996,0.08835025200742079,-0.0031487345685711405,0.17678428647783817,0.75
0.2,verified_forward,taker,first_only_hold,192,12,36,19,7,0.57584375,0.642736842105263,112.55741459999999,10.442585399999999,0.09277563310342773,0.0017707262210605289,0.17776270764223348,0.6666666666666666
0.2,verified_forward,taker,replace_with_first_opposite_hold,192,12,36,19,7,0.57584375,0.642736842105263,114.42340765,10.576592349999997,0.09243381723389879,-0.014594476189161864,0.19031375786869775,0.6666666666666666
0.2,verified_forward,taker,same_bracket_close_only_proxy,192,12,36,19,7,0.57584375,0.642736842105263,117.49200579999999,9.507994199999999,0.08092460534025542,-0.00437341848374064,0.16378772186823257,0.6666666666666666
0.2,verified_forward,taker,same_bracket_close_plus_reverse_proxy,192,12,36,19,7,0.57584375,0.642736842105263,122.42659699999999,10.573402999999999,0.08636524463716001,-0.0007861046690742231,0.16797736486315823,0.6666666666666666
0.4,dev_cv,gross,add_first_opposite_hold_both,438,19,36,66,31,0.6642853881278539,0.711590909090909,337.922,17.07799999999999,0.05053828990121977,0.009047295461969302,0.09635496711175434,0.631578947368421
0.4,dev_cv,gross,first_only_hold,438,19,36,66,31,0.6642853881278539,0.711590909090909,290.957,16.042999999999992,0.055138731840100055,0.00810987020793032,0.10733799307372081,0.6842105263157895
0.4,dev_cv,gross,replace_with_first_opposite_hold,438,19,36,66,31,0.6642853881278539,0.711590909090909,296.128,11.871999999999993,0.04009077155824506,0.0016910362630541563,0.08154707519020271,0.5789473684210527
0.4,dev_cv,gross,same_bracket_close_only_proxy,438,19,36,66,31,0.6642853881278539,0.711590909090909,312.841,0.15899999999999226,0.00050824540261664,-0.04337741514163201,0.04681371970436969,0.3684210526315789
0.4,dev_cv,gross,same_bracket_close_plus_reverse_proxy,438,19,36,66,31,0.6642853881278539,0.711590909090909,334.725,0.2749999999999926,0.0008215699454776087,-0.038419977838220244,0.0431195331520168,0.3684210526315789
0.4,dev_cv,taker,add_first_opposite_hold_both,438,19,36,66,31,0.6642853881278539,0.711590909090909,343.0014088,11.99859119999999,0.03498117177412593,-0.006087822663087495,0.08013052399126144,0.631578947368421
0.4,dev_cv,taker,first_only_hold,438,19,36,66,31,0.6642853881278539,0.711590909090909,295.42717964999997,11.57282034999999,0.03917317412605909,-0.007423656336339998,0.09016702891553965,0.6842105263157895
0.4,dev_cv,taker,replace_with_first_opposite_hold,438,19,36,66,31,0.6642853881278539,0.711590909090909,300.5055167,7.49448329999999,0.024939586408597836,-0.012691272638552215,0.0654588377421858,0.5263157894736842
