ask_floor,scope,city,target_date,first_hour,first_expression,first_side,first_ask,first_p_win,first_model_edge,first_win,first_cost_gross,first_pnl_gross,first_cost_taker,first_pnl_taker,has_opposite,reverse_hour,reverse_expression,reverse_side,reverse_ask,reverse_p_win,reverse_model_edge,reverse_win,same_bracket_proxy,transition,replace_cost_gross,replace_pnl_gross,replace_cost_taker,replace_pnl_taker,add_cost_gross,add_pnl_gross,add_cost_taker,add_pnl_taker,close_only_cost_gross,close_only_pnl_gross,close_only_cost_taker,close_only_pnl_taker,close_plus_reverse_cost_gross,close_plus_reverse_pnl_gross,close_plus_reverse_cost_taker,close_plus_reverse_pnl_taker
0.0,dev_cv,Tokyo,2026-06-03,10.0,d2_no,NO,0.61,0.6773814833738493,0.0673814833738493,1.0,0.61,0.39,0.621895,0.378105,True,11.0,current_yes,YES,0.23,0.2768822533187736,0.0468822533187736,0.0,False,d2_no->current_yes,0.23,-0.23,0.238855,-0.238855,0.84,0.16,0.86075,0.13925,0.61,0.39,0.621895,0.378105,0.61,0.39,0.621895,0.378105
0.0,dev_cv,Tokyo,2026-06-04,10.0,current_yes,YES,0.5,0.5513699081996096,0.0513699081996096,0.0,0.5,-0.5,0.5125,-0.5125,False,,,,,,,,False,,0.5,-0.5,0.5125,-0.5125,0.5,-0.5,0.5125,-0.5125,0.5,-0.5,0.5125,-0.5125,0.5,-0.5,0.5125,-0.5125
0.0,dev_cv,Tokyo,2026-06-05,11.0,d1_no,NO,0.35,0.3717252282536168,0.0217252282536168,1.0,0.35,0.65,0.361375,0.638625,False,,,,,,,,False,,0.35,0.65,0.361375,0.638625,0.35,0.65,0.361375,0.638625,0.35,0.65,0.361375,0.638625,0.35,0.65,0.361375,0.638625
0.0,dev_cv,Tokyo,2026-06-06,13.0,d1_no,NO,0.29,0.3248105630904528,0.0348105630904528,0.0,0.29,-0.29,0.300295,-0.300295,True,14.0,current_yes,YES,0.75,0.7953899850839397,0.0453899850839396,1.0,True,d1_no->current_yes,0.75,0.25,0.759375,0.240625,1.04,-0.03999999999999998,1.0596700000000001,-0.05966999999999997,1.04,-0.040000000000000036,1.0596700000000001,-0.059670000000000036,1.79,0.20999999999999996,1.819045,0.18095499999999998
0.0,dev_cv,Tokyo,2026-06-07,11.0,current_no,NO,0.82,0.8713764703496313,0.0513764703496313,1.0,0.82,0.18,0.82738,0.17262,False,,,,,,,,False,,0.82,0.18,0.82738,0.17262,0.82,0.18,0.82738,0.17262,0.82,0.18,0.82738,0.17262,0.82,0.18,0.82738,0.17262
0.0,dev_cv,Tokyo,2026-06-08,10.0,d2_no,NO,0.69,0.7351547842862273,0.0451547842862273,1.0,0.69,0.31,0.700695,0.299305,False,,,,,,,,False,,0.69,0.31,0.700695,0.299305,0.69,0.31,0.700695,0.299305,0.69,0.31,0.700695,0.299305,0.69,0.31,0.700695,0.299305
0.0,dev_cv,Tokyo,2026-06-10,11.0,d1_no,NO,0.36,0.3802268644653419,0.0202268644653419,0.0,0.36,-0.36,0.37151999999999996,-0.37151999999999996,False,,,,,,,,False,,0.36,-0.36,0.37151999999999996,-0.37151999999999996,0.36,-0.36,0.37151999999999996,-0.37151999999999996,0.36,-0.36,0.37151999999999996,-0.37151999999999996,0.36,-0.36,0.37151999999999996,-0.37151999999999996
0.0,dev_cv,Tokyo,2026-06-13,10.0,d2_no,NO,0.66,0.7388643267804003,0.0788643267804002,1.0,0.66,0.3399999999999999,0.67122,0.3287799999999999,False,,,,,,,,False,,0.66,0.3399999999999999,0.67122,0.3287799999999999,0.66,0.3399999999999999,0.67122,0.3287799999999999,0.66,0.3399999999999999,0.67122,0.3287799999999999,0.66,0.3399999999999999,0.67122,0.3287799999999999
0.0,dev_cv,Tokyo,2026-06-14,11.0,current_yes,YES,0.43,0.4916536905712531,0.061653690571253,1.0,0.43,0.5700000000000001,0.442255,0.557745,False,,,,,,,,False,,0.43,0.5700000000000001,0.442255,0.557745,0.43,0.5700000000000001,0.442255,0.557745,0.43,0.5700000000000001,0.442255,0.557745,0.43,0.5700000000000001,0.442255,0.557745
0.0,dev_cv,Tokyo,2026-06-15,10.0,current_yes,YES,0.49,0.5918288684399687,0.1018288684399687,0.0,0.49,-0.49,0.502495,-0.502495,True,12.0,d1_no,NO,0.64,0.6897754398027638,0.0497754398027637,0.0,False,current_yes->d1_no,0.64,-0.64,0.65152,-0.65152,1.13,-1.13,1.154015,-1.154015,0.49,-0.49,0.502495,-0.502495,0.49,-0.49,0.502495,-0.502495
