label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares
composite_core_plus_attention,recent_ge_2026_06_21,15,8.0,9.0,0.06666666666666667,0.10126666666666666,0.8371194666666668,0.0,12.556792000000002,-4.556792000000001,-0.36289459919380684,-1.0,0.7429257566569033,7.0,7.0,-3.6063192,-1.0,-1.0,7.466666666666667
composite_core_plus_attention,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
composite_core_plus_regime_ge4,full,7,6.0,7.0,0.0,0.10764285714285714,0.9161810285714285,0.0,6.413267199999999,-6.413267199999999,-1.0,-1.0,-1.0,6.0,6.0,-2.8337475,-1.0,-1.0,7.714285714285714
composite_core_plus_regime_ge4,train_le_2026_06_20,6,5.0,6.0,0.0,0.11291666666666667,0.9893666666666666,0.0,5.9361999999999995,-5.9361999999999995,-1.0,-1.0,-1.0,5.0,5.0,-2.8337475,-1.0,-1.0,8.0
composite_core_plus_regime_ge4,recent_ge_2026_06_21,1,1.0,1.0,0.0,0.076,0.47706719999999997,0.0,0.47706719999999997,-0.47706719999999997,-1.0,,,1.0,1.0,-0.47706719999999997,-1.0,,6.0
composite_core_plus_regime_ge4,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
composite_core_attention_regime_ge4,full,3,2.0,3.0,0.0,0.12283333333333334,1.1036048999999999,0.0,3.3108147,-3.3108147,-1.0,,,2.0,2.0,-2.8337475,-1.0,,8.0
composite_core_attention_regime_ge4,train_le_2026_06_20,2,1.0,2.0,0.0,0.14625,1.41687375,0.0,2.8337475,-2.8337475,-1.0,,,1.0,1.0,-2.8337475,-1.0,,9.0
composite_core_attention_regime_ge4,recent_ge_2026_06_21,1,1.0,1.0,0.0,0.076,0.47706719999999997,0.0,0.47706719999999997,-0.47706719999999997,-1.0,,,1.0,1.0,-0.47706719999999997,-1.0,,6.0
composite_core_attention_regime_ge4,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
continuous_ev_same_count,full,343,53.0,48.0,0.15451895043731778,0.11031195335276969,0.9656960283527696,0.0,331.23373772499997,126.766262275,0.38270939169923895,0.033244036803000525,0.7764349247856437,23.0,18.0,-12.454694875000001,-1.0,0.2613351084240401,7.830903790087463
continuous_ev_same_count,train_le_2026_06_20,275,44.0,48.0,0.15272727272727274,0.10932545454545453,0.9532911483636364,0.0,262.1550658,95.84493420000001,0.3656039752942284,-0.05564836795113155,0.8737008175947404,21.0,17.0,-12.454694875000001,-1.0,0.21074844304639315,7.803636363636364
continuous_ev_same_count,recent_ge_2026_06_21,68,9.0,32.0,0.16176470588235295,0.11430147058823531,1.0158628224264707,0.0,69.07867192500001,30.921328075,0.4476248198368935,0.1039212627896151,0.8107792654183059,2.0,1.0,-1.5119875,-1.0,-0.16736759293265396,7.9411764705882355
continuous_ev_same_count,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
