label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares,slice_type,slice_value
>1,full,6,6,5,0.3333333333333333,0.07191666666666667,0.4880176875,0.0,2.9281061250000002,9.071893874999999,3.0982121165434187,-1.0,9.002935861675402,4,4,-0.87759,-1.0,-1.0,6.333333333333333,adj_dist_band,>1
day_forecast_busted,full,3,3,1,0.0,0.14333333333333334,1.4344491666666668,0.0,4.3033475,-4.3033475,-1.0,-1.0,-1.0,3,3,-2.0284875,-1.0,,9.333333333333334,day_regime,day_forecast_busted
day_marginal_runway,full,3,3,3,0.0,0.117,1.0550424,0.0,3.1651272,-3.1651272,-1.0,-1.0,-1.0,3,3,-1.97695,-1.0,,8.0,day_regime,day_marginal_runway
day_open_runway,full,5,5,5,0.2,0.09369999999999999,0.73252664,0.0,3.6626332,2.3373668,0.6381656781792946,-1.0,5.528286102573665,4,4,-1.16816,-1.0,,7.2,day_regime,day_open_runway
nan,full,322,53,45,0.15217391304347827,0.10375465838509317,0.8806646222049689,0.0,283.57400835,128.42599165,0.4528835078971369,0.1379607247667578,0.7998142065952913,19,16,-10.481716425,-1.0,0.3127580468570155,7.596273291925466,day_regime,
active_warming,full,7,6,6,0.0,0.10049999999999999,0.8582506714285714,0.0,6.0077547,-6.0077547,-1.0,-1.0,-1.0,6,6,-2.0284875,-1.0,-1.0,7.714285714285714,intraday_state,active_warming
false_fade_risk,full,1,1,1,1.0,0.066,0.4144932,0.0,0.4144932,5.5855068,13.475508886514906,,,0,0,5.5855068,13.475508886514906,,6.0,intraday_state,false_fade_risk
fresh_high,full,2,2,2,0.0,0.14500000000000002,1.365955,0.0,2.73191,-2.73191,-1.0,,,2,2,-1.56375,-1.0,,9.0,intraday_state,fresh_high
mature_fade,full,1,1,1,0.0,0.19,1.97695,0.0,1.97695,-1.97695,-1.0,,,1,1,-1.97695,-1.0,,10.0,intraday_state,mature_fade
nan,full,322,53,45,0.15217391304347827,0.10375465838509317,0.8806646222049689,0.0,283.57400835,128.42599165,0.4528835078971369,0.1379607247667578,0.7998142065952913,19,16,-10.481716425,-1.0,0.3127580468570155,7.596273291925466,intraday_state,
cloud_suppression,full,1,1,1,0.0,0.085,0.71111,0.0,0.71111,-0.71111,-1.0,,,1,1,-0.71111,-1.0,,8.0,moisture_cloud_regime,cloud_suppression
dry_heat_inertia,full,1,1,1,0.0,0.085,0.71111,0.0,0.71111,-0.71111,-1.0,,,1,1,-0.71111,-1.0,,8.0,moisture_cloud_regime,dry_heat_inertia
humid_convective_risk,full,2,2,2,0.5,0.128,1.1957216,0.0,2.3914432,3.6085568,1.5089452260459293,,,1,1,-1.97695,-1.0,,8.0,moisture_cloud_regime,humid_convective_risk
mixed_moisture,full,7,7,6,0.0,0.11764285714285715,1.0453492428571427,0.0,7.317444699999999,-7.317444699999999,-1.0,-1.0,-1.0,7,7,-2.0284875,-1.0,-1.0,8.0,moisture_cloud_regime,mixed_moisture
nan,full,322,53,45,0.15217391304347827,0.10375465838509317,0.8806646222049689,0.0,283.57400835,128.42599165,0.4528835078971369,0.1379607247667578,0.7998142065952913,19,16,-10.481716425,-1.0,0.3127580468570155,7.596273291925466,moisture_cloud_regime,
light_wind,full,8,7,8,0.125,0.1161875,1.0181422375000002,0.0,8.145137900000002,-2.1451379000000004,-0.26336422124909636,-1.0,2.4449393195469735,6,6,-2.8337475,-1.0,-1.0,7.75,wind_regime,light_wind
moderate_wind,full,3,3,2,0.0,0.10666666666666667,0.9953233333333333,0.0,2.98597,-2.98597,-1.0,-1.0,-1.0,3,3,-1.56375,-1.0,,8.666666666666666,wind_regime,moderate_wind
