label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares,slice_type,slice_value,expression
higher_plus_yes,full,45,25,22,0.044444444444444446,0.042300000000000004,0.3490076555555555,0.0,15.705344499999997,0.29465549999999907,0.01876147957149231,-1.0,0.7098677344910709,23,23,-1.7345850999999999,-1.0,-1.0,8.0,book_state_v1,thin_wide,higher_plus_yes
next_hotter_yes,full,51,27,23,0.13725490196078433,0.1375392156862745,1.1390200411764706,0.0,58.0900221,-2.0900220999999974,-0.0359790205691796,-0.5328700143304531,0.45580847716102013,20,20,-4.1047237999999995,-1.0,-0.6509696224224935,8.0,book_state_v1,thin_wide,next_hotter_yes
selected_plus_next_basket,full,51,27,23,0.29411764705882354,0.13258041017156863,1.060643281372549,0.0,54.09280735,5.907192649999999,0.109204771195888,-0.29549614651079553,0.5316063625099369,18,15,-3.0902571,-1.0,-0.21605520277424506,8.0,book_state_v1,thin_wide,selected_plus_next_basket
selected_yes,full,59,28,24,0.1864406779661017,0.11812711864406779,0.9859327338983052,0.0,58.170031300000005,29.829968700000002,0.5128064749726204,-0.18989052586281677,1.2704557485222014,18,18,-4.4752946,-1.0,-0.11411963792511923,8.0,book_state_v1,thin_wide,selected_yes
two_hotter_yes,full,49,26,23,0.14285714285714285,0.15517346938775511,1.2796661530612246,0.0,62.7036415,-6.703641500000003,-0.10690992324584535,-0.6169020156446907,0.32177024917489566,20,20,-5.37532,-1.0,-0.662489634872111,8.0,book_state_v1,thin_wide,two_hotter_yes
higher_plus_yes,full,34,26,19,0.029411764705882353,0.03770588235294117,0.31132779411764705,0.0,10.585144999999999,-2.5851450000000002,-0.24422386278128458,-1.0,0.4491969671292136,25,25,-2.484,-1.0,-1.0,8.0,raw_dist_band,0..0.25,higher_plus_yes
next_hotter_yes,full,46,32,23,0.17391304347826086,0.19471739130434784,1.6088735999999997,0.0,74.00818559999999,-10.008185600000004,-0.13523079263275448,-0.605659796347905,0.3487939777135865,24,24,-8.238869600000001,-1.0,-0.6277485563410431,8.0,raw_dist_band,0..0.25,next_hotter_yes
selected_plus_next_basket,full,46,32,23,0.30434782608695654,0.1563674241847826,1.2509393934782609,0.0,57.543212100000005,-1.5432121000000047,-0.026818316942720768,-0.42178326176740505,0.3800219455262599,21,19,-5.3524598,-1.0,-0.3226105665633382,8.0,raw_dist_band,0..0.25,selected_plus_next_basket
selected_yes,full,49,33,26,0.12244897959183673,0.10732653061224488,0.8962844612244898,0.0,43.9179386,4.0820614,0.09294747272131756,-0.6558882399335428,1.0421597955320296,27,27,-4.0884358,-1.0,-0.7963148197660621,8.0,raw_dist_band,0..0.25,selected_yes
two_hotter_yes,full,43,30,23,0.23255813953488372,0.20933720930232555,1.727445653488372,0.0,74.2801631,5.719836899999999,0.07700355870651016,-0.4309548418540978,0.6154451729300423,21,21,-5.20924,-1.0,-0.34393364993684844,8.0,raw_dist_band,0..0.25,two_hotter_yes
higher_plus_yes,full,49,28,26,0.04081632653061224,0.05210204081632653,0.42807371020408164,0.0,20.9756118,-4.975611800000002,-0.23720937665331898,-1.0,1.3945256928771717,26,26,-6.0821835,-1.0,-1.0,8.0,raw_dist_band,0.25..0.5,higher_plus_yes
next_hotter_yes,full,61,31,28,0.26229508196721313,0.23198360655737707,1.9163142229508199,0.0,116.89516760000001,11.104832399999998,0.09499821616235911,-0.36029324499172616,0.534914493252907,19,19,-9.8563939,-1.0,-0.16876433709131575,8.0,raw_dist_band,0.25..0.5,next_hotter_yes
selected_plus_next_basket,full,61,31,28,0.4098360655737705,0.1741489844262295,1.393191875409836,0.0,84.9847044,15.015295599999996,0.17668233014410528,-0.11073490930542214,0.44256232872290907,14,13,-3.7713099999999997,-1.0,0.0028406979566176706,8.0,raw_dist_band,0.25..0.5,selected_plus_next_basket
