strategy,target_date,rows,cities,wins,avg_entry_raw,avg_entry_stress,avg_fee_per_1,raw_pnl,exec_no_fee_pnl,exec_fee_pnl,cash_roi_exec_fee,win_rate,raw_roi,exec_no_fee_roi,exec_fee_roi,losing_day,le_minus50_day
false_fade_reheat_conflict_d1_yes,2026-06-07,2,1,2,0.275,0.28500000000000003,0.03575,5.333333333333334,5.071960297766749,5.000460297766749,2.4135756348916733,1.0,2.666666666666667,2.5359801488833744,2.5002301488833747,False,False
false_fade_reheat_conflict_d1_yes,2026-06-08,1,1,0,0.07,0.08,0.046000000000000006,-1.0,-1.0,-1.046,-1.0,0.0,-1.0,-1.0,-1.046,True,True
false_fade_reheat_conflict_d1_yes,2026-06-09,1,1,0,0.067,0.077,0.046150000000000004,-1.0,-1.0,-1.04615,-1.0,0.0,-1.0,-1.0,-1.04615,True,True
false_fade_reheat_conflict_d1_yes,2026-06-10,2,2,0,0.07250000000000001,0.0825,0.045875,-2.0,-2.0,-2.09175,-1.0,0.0,-1.0,-1.0,-1.045875,True,True
false_fade_reheat_conflict_d1_yes,2026-06-11,2,2,1,0.15500000000000003,0.16500000000000004,0.04175,5.142857142857142,4.666666666666666,4.583166666666665,2.197442046362909,0.5,2.571428571428571,2.333333333333333,2.2915833333333326,False,False
false_fade_reheat_conflict_d1_yes,2026-06-12,2,2,0,0.13,0.14,0.043000000000000003,-2.0,-2.0,-2.0860000000000003,-1.0,0.0,-1.0,-1.0,-1.0430000000000001,True,True
false_fade_reheat_conflict_d1_yes,2026-06-13,3,2,2,0.18633333333333332,0.19633333333333333,0.040183333333333335,7.0,6.475806451612904,6.355256451612904,2.0387694045453126,0.6666666666666666,2.3333333333333335,2.1586021505376345,2.1184188172043013,False,False
false_fade_reheat_conflict_d1_yes,2026-06-14,2,2,0,0.0845,0.0945,0.045275,-2.0,-2.0,-2.0905500000000004,-1.0,0.0,-1.0,-1.0,-1.0452750000000002,True,True
false_fade_reheat_conflict_d1_yes,2026-06-15,2,1,1,0.28500000000000003,0.29500000000000004,0.03525,1.4482758620689657,1.3333333333333335,1.2628333333333333,0.6103059581320451,0.5,0.7241379310344829,0.6666666666666667,0.6314166666666666,False,False
false_fade_reheat_conflict_d1_yes,2026-06-16,1,1,1,0.24,0.25,0.037500000000000006,3.166666666666667,3.0,2.9625,2.8554216867469875,1.0,3.166666666666667,3.0,2.9625,False,False
false_fade_reheat_conflict_d1_yes,2026-06-19,2,2,0,0.0785,0.0885,0.045575000000000004,-2.0,-2.0,-2.09115,-1.0,0.0,-1.0,-1.0,-1.045575,True,True
false_fade_reheat_conflict_d1_yes,2026-06-30,1,1,0,0.011,0.020999999999999998,0.04895,-1.0,-1.0,-1.04895,-1.0,0.0,-1.0,-1.0,-1.04895,True,True
rich_current_b4_current_bracket_no,2026-05-20,3,3,3,0.25,0.26,0.037000000000000005,11.368848951647411,10.630952380952381,10.519952380952382,3.373207877415977,1.0,3.789616317215804,3.543650793650794,3.506650793650794,False,False
rich_current_b4_current_bracket_no,2026-05-21,2,2,0,0.5145,0.5245,0.023775000000000004,-2.0,-2.0,-2.04755,-1.0,0.0,-1.0,-1.0,-1.023775,True,True
rich_current_b4_current_bracket_no,2026-05-23,2,2,1,0.21000000000000002,0.22,0.039,0.5641025641025639,0.5,0.42199999999999993,0.21359223300970875,0.5,0.28205128205128194,0.25,0.21099999999999997,False,False
rich_current_b4_current_bracket_no,2026-05-24,2,2,1,0.195,0.20500000000000002,0.03975000000000001,3.5555555555555554,3.2631578947368425,3.183657894736843,1.5291484357216927,0.5,1.7777777777777777,1.6315789473684212,1.5918289473684215,False,False
rich_current_b4_current_bracket_no,2026-05-25,1,1,0,0.17,0.18000000000000002,0.041,-1.0,-1.0,-1.041,-1.0,0.0,-1.0,-1.0,-1.041,True,True
rich_current_b4_current_bracket_no,2026-05-26,1,1,1,0.348,0.358,0.032100000000000004,1.8735632183908049,1.7932960893854748,1.7611960893854748,1.7064200071557745,1.0,1.8735632183908049,1.7932960893854748,1.7611960893854748,False,False
rich_current_b4_current_bracket_no,2026-05-27,7,5,1,0.2652857142857143,0.2752857142857143,0.03623571428571428,-4.222222222222222,-4.297297297297297,-4.550947297297298,-0.625690367328758,0.14285714285714285,-0.6031746031746031,-0.6138996138996139,-0.6501353281853283,True,True
rich_current_b4_current_bracket_no,2026-05-28,2,1,1,0.1495,0.1595,0.042025,1.4482758620689657,1.3333333333333335,1.2492833333333333,0.6103059581320451,0.5,0.7241379310344829,0.6666666666666667,0.6246416666666667,False,False
rich_current_b4_current_bracket_no,2026-05-29,3,3,1,0.4266666666666667,0.4366666666666667,0.02816666666666667,-0.1428571428571428,-0.22222222222222232,-0.30672222222222234,-0.10278495549813386,0.3333333333333333,-0.047619047619047596,-0.07407407407407411,-0.10224074074074078,True,False
rich_current_b4_current_bracket_no,2026-05-30,2,2,0,0.59,0.6,0.020000000000000004,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,-1.0,-1.02,True,True
rich_current_b4_current_bracket_no,2026-05-31,1,1,0,0.39,0.4,0.03,-1.0,-1.0,-1.03,-1.0,0.0,-1.0,-1.0,-1.03,True,True
rich_current_b4_current_bracket_no,2026-06-01,2,2,0,0.07,0.07999999999999999,0.046000000000000006,-2.0,-2.0,-2.092,-1.0,0.0,-1.0,-1.0,-1.046,True,True
rich_current_b4_current_bracket_no,2026-06-02,1,1,0,0.46,0.47000000000000003,0.026500000000000003,-1.0,-1.0,-1.0265,-1.0,0.0,-1.0,-1.0,-1.0265,True,True
rich_current_b4_current_bracket_no,2026-06-03,2,2,0,0.1,0.11000000000000001,0.0445,-2.0,-2.0,-2.0890000000000004,-1.0,0.0,-1.0,-1.0,-1.0445000000000002,True,True
rich_current_b4_current_bracket_no,2026-06-05,5,3,0,0.11299999999999999,0.123,0.04385000000000001,-5.0,-5.0,-5.219250000000001,-1.0,0.0,-1.0,-1.0,-1.0438500000000002,True,True
rich_current_b4_current_bracket_no,2026-06-06,2,2,0,0.17,0.18000000000000002,0.041,-2.0,-2.0,-2.082,-1.0,0.0,-1.0,-1.0,-1.041,True,True
rich_current_b4_current_bracket_no,2026-06-07,5,3,2,0.3,0.31,0.034499999999999996,1.2741312741312738,1.0798548094373865,0.9073548094373869,0.17650233655624992,0.4,0.25482625482625476,0.2159709618874773,0.18147096188747738,False,False
