strategy,description,city,target_date,decision_hour_local,entry_raw,entry_stress,fee_usd_per_1_notional,win,raw_pnl_per_1,exec_no_fee_pnl_per_1,exec_fee_pnl_per_1,cash_roi_exec_fee,current_high_yes_ask,forecast_gap_native,temp_trend_1h_f,forecast_peak_delta_hours_local,current_yes_ask,forecast_steps,steps,leg_steps,leg,ask_size
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Wuhan,2026-06-03,13,0.151,0.161,0.04195,False,-1.0,-1.0,-1.04195,-1.0,0.89,2.0555555555555536,1.7999999999999972,-2.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-06-03,13,0.043,0.053,0.04735,False,-1.0,-1.0,-1.04735,-1.0,0.97,2.5,2.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Austin,2026-06-05,13,0.075,0.08499999999999999,0.045750000000000006,False,-1.0,-1.0,-1.04575,-1.0,0.95,1.5999999999999943,3.0,-5.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,NYC,2026-06-05,15,0.17,0.18000000000000002,0.041,False,-1.0,-1.0,-1.041,-1.0,0.86,3.5,1.0,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Atlanta,2026-06-05,16,0.1,0.11,0.044500000000000005,False,-1.0,-1.0,-1.0445,-1.0,0.92,3.0999999999999943,1.0,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Atlanta,2026-06-05,17,0.07,0.08,0.046000000000000006,False,-1.0,-1.0,-1.046,-1.0,0.95,2.0999999999999943,1.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Austin,2026-06-05,16,0.129,0.139,0.043050000000000005,False,-1.0,-1.0,-1.04305,-1.0,0.947,1.5999999999999943,1.0,-2.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Lucknow,2026-06-06,14,0.23,0.24000000000000002,0.038000000000000006,False,-1.0,-1.0,-1.038,-1.0,0.8,4.833333333333336,1.7999999999999972,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Atlanta,2026-06-06,16,0.05,0.060000000000000005,0.047,False,-1.0,-1.0,-1.047,-1.0,0.96,3.700000000000003,1.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Atlanta,2026-06-07,13,0.25,0.26,0.037,True,3.0,2.846153846153846,2.809153846153846,2.708923670350864,0.75,5.900000000000006,1.0,-3.0,,,,,,
