rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,component_value,evidence_layer,component
9,8,7,6,0.6666666666666666,0.6,0.21483922222222226,1.9335530000000003,-0.07195799999999995,-0.03721542672996289,-0.5502377268921357,0.5069723771738475,2,0.67,historical_best_ask_diagnostic,score_price_mult
5,4,5,1,0.2,0.59,0.3988134400000001,1.9940672000000004,-1.3635261830508478,-0.6837914906031489,-1.0,0.21340523882896772,3,0.692,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.587,0.11352250000000003,0.11352250000000003,-0.11352250000000003,-1.0,,,1,0.699,historical_best_ask_diagnostic,score_price_mult
6,6,6,3,0.5,0.58,0.28934255000000003,1.7360553,-0.3958280586206897,-0.22800429146507584,-0.8411450393928211,0.5209003823338214,3,0.714,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.579,0.3300249600000001,0.3300249600000001,0.23996633533678763,0.7271157167530224,,,0,0.716,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.572,0.34999744000000005,0.34999744000000005,0.26188619636363647,0.7482517482517484,,,0,0.732,historical_best_ask_diagnostic,score_price_mult
6,6,6,6,1.0,0.57,0.3108324266666668,1.8649945600000006,1.4069257207017551,0.7543859649122808,0.7543859649122806,0.7543859649122809,0,0.736,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.562,0.11266319999999998,0.11266319999999998,-0.11266319999999998,-1.0,,,1,0.754,historical_best_ask_diagnostic,score_price_mult
5,4,4,2,0.4,0.56,0.22382982,1.1191491,-0.3906569571428572,-0.3490660512909828,-1.0,0.2592654986522909,2,0.758,historical_best_ask_diagnostic,score_price_mult
9,8,6,4,0.4444444444444444,0.55,0.32474866666666663,2.922738,0.23583654545454516,0.08069027927051456,-0.6151621118278894,0.5497738799704255,4,0.78,historical_best_ask_diagnostic,score_price_mult
5,5,4,2,0.4,0.53,0.42215168,2.1107584,-0.6609848150943398,-0.3131503894971304,-1.0,0.6488767745317939,3,0.824,historical_best_ask_diagnostic,score_price_mult
2,2,2,2,1.0,0.52,0.48052800000000007,0.9610560000000001,0.8871286153846154,0.923076923076923,,,0,0.846,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.519,0.27142400000000005,0.27142400000000005,-0.27142400000000005,-1.0,,,1,0.848,historical_best_ask_diagnostic,score_price_mult
3,3,3,2,0.6666666666666666,0.51,0.2859192,0.8577576,0.4059482823529411,0.47326690238937097,-1.0,0.9607843137254901,1,0.868,historical_best_ask_diagnostic,score_price_mult
4,4,4,1,0.25,0.5,0.4682112000000001,1.8728448000000004,-0.7336448000000002,-0.39172749391727496,-1.0,0.5789473684210527,3,0.89,historical_best_ask_diagnostic,score_price_mult
8,8,7,5,0.625,0.49,0.535914,4.287312,0.8561818775510207,0.1997013227754408,-0.5190887950007483,0.8971935021969359,3,0.912,historical_best_ask_diagnostic,score_price_mult
4,2,4,0,0.0,0.48,0.39459632000000006,1.5783852800000002,-1.5783852800000002,-1.0,,,2,0.934,historical_best_ask_diagnostic,score_price_mult
5,5,4,2,0.4,0.4699999999999999,0.4274562800000002,2.137281400000001,-0.5083184212765957,-0.23783411078980776,-1.0,0.8456680300429453,3,0.956,historical_best_ask_diagnostic,score_price_mult
5,5,5,2,0.4,0.4600000000000001,0.47633490000000006,2.3816745000000004,-1.490312543478261,-0.6257414871252392,-1.0,0.2965336660063473,3,0.978,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.452,0.6371840000000001,0.6371840000000001,0.7725151150442479,1.2123893805309733,,,0,0.996,historical_best_ask_diagnostic,score_price_mult
83,34,29,37,0.4457831325301205,0.31401204819277106,0.42565650602409655,35.329490000000014,26.45645304436134,0.7488489939809867,0.2849702315215688,1.15895815041919,14,1.0,historical_best_ask_diagnostic,score_price_mult
16,12,12,6,0.375,0.35343749999999996,0.11295013500000001,1.8072021600000001,0.4204635657005664,0.23265995083835359,-0.7246167233955492,1.3033902000550324,7,0.25,historical_best_ask_diagnostic,score_peak_mult
19,16,13,4,0.21052631578947367,0.43699999999999994,0.2408963084210526,4.57702986,-0.97751243086425,-0.2135691618285073,-0.8231873390829365,0.5151622192201186,12,0.5,historical_best_ask_diagnostic,score_peak_mult
79,33,25,37,0.46835443037974683,0.4704683544303799,0.4193301853164557,33.12708464,11.206959186037189,0.33830200598168875,-0.03058143275237972,0.7481061279869988,9,0.8,historical_best_ask_diagnostic,score_peak_mult
169,38,34,106,0.6272189349112426,0.578,0.31226384153846154,52.77258922,11.762462118886084,0.2228896154753819,0.02839286832098679,0.40389388101778806,1,1.0,historical_best_ask_diagnostic,score_peak_mult
283,38,35,153,0.5406360424028268,0.5258197879858658,0.32609154021201414,92.28390588,22.41237243975959,0.24286328397178142,0.044971598800566545,0.4402333880722239,1,1.0,historical_best_ask_diagnostic,score_freshness_mult
19,14,13,7,0.3684210526315789,0.4757894736842105,0.2013802368421053,3.826224500000001,-0.1632497670899743,-0.0426660189672546,-0.6478978480125404,0.6520943375051635,7,0.5,historical_best_ask_diagnostic,score_momentum_mult
78,35,24,35,0.44871794871794873,0.48528205128205115,0.3407644061538462,26.57962368,1.5193440914774352,0.05716198655666727,-0.24695410874516063,0.3773106949832599,12,0.8,historical_best_ask_diagnostic,score_momentum_mult
186,37,35,111,0.5967741935483871,0.5479301075268816,0.33267772956989256,61.878057700000014,21.056278115372134,0.3402866686194019,0.07886694411304691,0.6161200538995183,2,1.0,historical_best_ask_diagnostic,score_momentum_mult
3,3,2,1,0.3333333333333333,0.4223333333333333,0.13078800000000002,0.39236400000000005,-0.024841419354838717,-0.06331217786249176,-1.0,0.6129032258064516,2,0.7,historical_best_ask_diagnostic,score_weather_mult
2,2,2,1,0.5,0.585,0.32520704000000006,0.6504140800000001,-0.23450683362318842,-0.3605500570085881,,,1,0.76,historical_best_ask_diagnostic,score_weather_mult
30,18,10,17,0.5666666666666667,0.49316666666666653,0.273454012,8.20362036,0.5111510593183466,0.062307985607265054,-0.3046417786237497,0.5878938254115,5,0.78,historical_best_ask_diagnostic,score_weather_mult
2,1,2,2,1.0,0.665,0.163638,0.327276,0.16837965610859723,0.5144882487826704,,,0,0.8,historical_best_ask_diagnostic,score_weather_mult
17,15,9,10,0.5882352941176471,0.538764705882353,0.32992274823529416,5.608686720000001,0.20738953788403025,0.0369764881223443,-0.43457982152890207,0.4704724917350648,6,0.84,historical_best_ask_diagnostic,score_weather_mult
8,8,4,3,0.375,0.5862499999999999,0.22877505000000006,1.8302004000000005,0.2687048995391708,0.14681720074980353,-1.0,1.340233258765056,5,0.86,historical_best_ask_diagnostic,score_weather_mult
19,15,11,13,0.6842105263157895,0.5245263157894737,0.2667732505263158,5.06869176,2.106949283763524,0.4156791108093588,-0.25464700637374665,1.1122785124118157,5,0.88,historical_best_ask_diagnostic,score_weather_mult
57,30,13,31,0.543859649122807,0.5181052631578947,0.34295274947368426,19.548306720000003,4.882601789313593,0.2497710855088114,-0.22119391021296045,0.7630921185571676,8,0.9,historical_best_ask_diagnostic,score_weather_mult
17,13,7,10,0.5882352941176471,0.548235294117647,0.30451437176470586,5.17674432,1.1875772461086387,0.22940620063473383,-0.3063902211158775,0.7182127156546391,3,0.92,historical_best_ask_diagnostic,score_weather_mult
6,5,4,1,0.16666666666666666,0.6215,0.31911872,1.9147123200000002,-1.1158664183606557,-0.5827854172686661,-1.0,0.2409989275317912,4,0.94,historical_best_ask_diagnostic,score_weather_mult
122,35,21,64,0.5245901639344263,0.5233524590163934,0.357072862295082,43.56288920000001,14.454833639062372,0.3318153112549378,0.008009249242239128,0.6841225039154761,4,1.0,historical_best_ask_diagnostic,score_weather_mult
26,21,4,14,0.5384615384615384,0.5042307692307693,0.3119128646153847,8.109734480000002,1.420153388386338,0.17511712521398576,-0.4519676665670652,0.8767830142661144,9,balanced_tight,historical_best_ask_diagnostic,city_source_bias_regime
30,24,4,12,0.4,0.4964333333333333,0.44311385666666664,13.293415699999999,2.0910492094353645,0.1572996178427915,-0.4403763913194129,0.8578380219310535,12,cold_overforecast_clean,historical_best_ask_diagnostic,city_source_bias_regime
63,30,7,35,0.5555555555555556,0.4998095238095238,0.41497345301587296,26.143327539999998,14.39556047244901,0.5506399462892936,0.1456461145917117,0.9551197353066982,7,cold_overforecast_noisy,historical_best_ask_diagnostic,city_source_bias_regime
90,35,15,51,0.5666666666666667,0.5351111111111112,0.25354844644444446,22.819360180000004,6.5231745438042505,0.2858614129558934,0.012212977652388468,0.5382913812849588,5,hot_underforecast_clean,historical_best_ask_diagnostic,city_source_bias_regime
23,19,4,17,0.7391304347826086,0.6091304347826088,0.23773905478260868,5.46799826,1.468805777714311,0.26861855250742367,-0.11257496122818766,0.5936976885259829,5,hot_underforecast_noisy,historical_best_ask_diagnostic,city_source_bias_regime
44,27,6,19,0.4318181818181818,0.5412272727272728,0.33982072727272733,14.952112000000001,-6.057039820658445,-0.40509593699260976,-0.6359710184280476,-0.1312307968795376,10,mild_or_mixed,historical_best_ask_diagnostic,city_source_bias_regime
7,7,1,5,0.7142857142857143,0.476,0.21399396,1.49795772,2.5706688686287626,1.7161157716979907,-0.27066779216742304,3.128065992023708,2,two_sided_noisy,historical_best_ask_diagnostic,city_source_bias_regime
51,29,13,30,0.5882352941176471,0.6043725490196079,0.1773398823529412,9.044334000000001,0.021396284023524365,0.0023657113971602955,-0.2610121633343327,0.2874673556493285,6,0.65,historical_best_ask_diagnostic,score_deployed_city_bias_mult
3,3,1,2,0.6666666666666666,0.6696666666666666,0.14322924,0.42968772,0.00848886862876258,0.019755902330098194,-1.0,0.5384615384615384,1,0.7,historical_best_ask_diagnostic,score_deployed_city_bias_mult
18,16,3,12,0.6666666666666666,0.6127777777777779,0.20597024999999997,3.7074644999999995,0.13097786199364758,0.03532815000484768,-0.40984098948349923,0.4467253756068376,6,0.75,historical_best_ask_diagnostic,score_deployed_city_bias_mult
3,3,2,3,1.0,0.5983333333333334,0.2559654,0.7678962,0.579723939544869,0.7549509159504487,0.45985401459854014,0.96078431372549,0,0.9,historical_best_ask_diagnostic,score_deployed_city_bias_mult
203,38,33,102,0.5024630541871922,0.49197044334975365,0.3806406594088671,77.27005386000002,21.41242087331046,0.277111504440078,0.04207683290441264,0.5078976832857948,2,1.0,historical_best_ask_diagnostic,score_deployed_city_bias_mult
3,3,2,2,0.6666666666666666,0.6466666666666666,0.21085470000000003,0.6325641000000001,0.046437438461538416,0.0734114352387978,-1.0,0.5873015873015873,1,1.05,historical_best_ask_diagnostic,score_deployed_city_bias_mult
2,2,1,2,1.0,0.67,0.21595274999999997,0.43190549999999994,0.21292717379679138,0.4929948189981174,,,0,1.15,historical_best_ask_diagnostic,score_deployed_city_bias_mult
