rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,window,variant,weight_col,threshold,cap_mode,rank_auc_score_ratio
6,4,5,3,0.5,0.3733333333333333,0.44543693333333345,2.6726216000000007,0.9864669781830464,0.36910087764876487,-0.44997921541702274,0.8938048707079512,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.8,daily_cap_weight_1,0.5833333333333334
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702274,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.0,no_daily_cap,0.5833333333333334
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702274,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.0,daily_cap_weight_1,0.5833333333333334
3,3,3,2,0.6666666666666666,0.31666666666666665,0.4506666666666667,1.352,1.2135873015873013,0.8976237437775897,-1.0,3.761904761904762,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.2,no_daily_cap,0.5833333333333334
3,3,3,2,0.6666666666666666,0.31666666666666665,0.4506666666666667,1.352,1.2135873015873013,0.8976237437775897,-1.0,3.761904761904762,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.2,daily_cap_weight_1,0.5833333333333334
1,1,1,0,0.0,0.29,0.4992000000000001,0.4992000000000001,-0.4992000000000001,-1.0,,,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.5,no_daily_cap,0.5833333333333334
1,1,1,0,0.0,0.29,0.4992000000000001,0.4992000000000001,-0.4992000000000001,-1.0,,,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.5,daily_cap_weight_1,0.5833333333333334
3,3,2,0,0.0,0.37000000000000005,0.48596079999999997,1.4578824,-1.4578824,-1.0,-1.0,-1.0,3,frozen_live_like_route_price,forward_2026-06-21_plus,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,no_daily_cap,0.4583333333333333
3,3,2,0,0.0,0.37000000000000005,0.48596079999999997,1.4578824,-1.4578824,-1.0,-1.0,-1.0,3,frozen_live_like_route_price,forward_2026-06-21_plus,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,daily_cap_weight_1,0.4583333333333333
6,4,5,3,0.5,0.3733333333333333,0.46768333333333345,2.8061000000000007,0.903317088821344,0.32191193785729083,-0.44997921541702274,0.8748529345989222,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_price_mult,score_no_price_weight,1.0,no_daily_cap,0.65625
6,4,5,3,0.5,0.3733333333333333,0.46768333333333345,2.8061000000000007,0.903317088821344,0.32191193785729083,-0.44997921541702274,0.8748529345989222,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_price_mult,score_no_price_weight,1.0,daily_cap_weight_1,0.65625
6,4,6,3,0.5,0.3715,0.49616333333333346,2.9769800000000006,1.282595008443093,0.43083763023033167,-0.6291771508399476,1.9700544504169872,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_peak_mult,score_no_peak_weight,1.0,no_daily_cap,0.5
4,4,4,2,0.5,0.315,0.42453300000000005,1.6981320000000002,0.925887452887538,0.5452387993910591,-1.0,2.477573602054929,2,frozen_live_like_route_price,forward_2026-06-21_plus,no_peak_mult,score_no_peak_weight,1.0,daily_cap_weight_1,0.5
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702274,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_freshness_mult,score_no_freshness_weight,1.0,no_daily_cap,0.5833333333333334
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702274,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_freshness_mult,score_no_freshness_weight,1.0,daily_cap_weight_1,0.5833333333333334
5,4,5,3,0.6,0.34199999999999997,0.45664912000000013,2.2832456000000008,1.3758429781830464,0.6025821217757065,-0.5247722934498803,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_momentum_mult,score_no_momentum_weight,1.0,no_daily_cap,0.5416666666666666
5,4,5,3,0.6,0.34199999999999997,0.45664912000000013,2.2832456000000008,1.3758429781830464,0.6025821217757065,-0.5247722934498803,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_momentum_mult,score_no_momentum_weight,1.0,daily_cap_weight_1,0.5416666666666666
6,4,5,3,0.5,0.3733333333333333,0.5239233333333334,3.1435400000000002,1.0090408848362042,0.32098872126208167,-0.50141201674944,0.9085751455240912,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_weather_mult,score_no_weather_weight,1.0,no_daily_cap,0.6145833333333334
6,4,5,3,0.5,0.3733333333333333,0.5239233333333334,3.1435400000000002,1.0090408848362042,0.32098872126208167,-0.50141201674944,0.9085751455240912,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_weather_mult,score_no_weather_weight,1.0,daily_cap_weight_1,0.6145833333333334
124,37,29,60,0.4838709677419355,0.4065645161290322,0.47774188064516143,59.239993200000015,23.715443199618722,0.40032825661463306,0.08770581679154553,0.7182460335044436,9,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,0.6,no_daily_cap,0.48494218200100553
63,37,24,30,0.47619047619047616,0.39180952380952383,0.4217488495238095,26.570177519999998,5.872175396666448,0.22100625380640845,-0.11658496507968152,0.5547157183931712,12,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,0.6,daily_cap_weight_1,0.48494218200100553
90,34,26,43,0.4777777777777778,0.3590555555555555,0.5191165644444445,46.72049080000001,24.929230090784017,0.533582367477698,0.14987965090841046,0.8974441845624218,12,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,0.8,no_daily_cap,0.48494218200100553
50,34,21,21,0.42,0.35663999999999996,0.4593633360000001,22.968166800000006,4.176947034416477,0.18185809389090973,-0.18030441722670568,0.5452080807354296,15,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,0.8,daily_cap_weight_1,0.48494218200100553
74,32,25,36,0.4864864864864865,0.3374594594594595,0.5404390756756758,39.99249160000001,25.38263325131561,0.634684967998233,0.1896102383497397,1.0665679546251126,11,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,1.0,no_daily_cap,0.48494218200100553
44,32,23,21,0.4772727272727273,0.3366363636363637,0.48101226363636373,21.164539600000005,7.717668675739095,0.3646509124034568,-0.030228704229331674,0.7797920763491242,13,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,1.0,daily_cap_weight_1,0.48494218200100553
56,27,22,27,0.48214285714285715,0.33253571428571427,0.5910174285714287,33.096976000000005,22.514463775186066,0.6802574282069173,0.19262585434287902,1.1617393152159774,9,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,1.2,no_daily_cap,0.48494218200100553
31,27,19,15,0.4838709677419355,0.3200645161290322,0.549387870967742,17.031024000000002,9.662211843287709,0.5673300585618168,-0.020738498174091777,1.2505746131400526,12,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,1.2,daily_cap_weight_1,0.48494218200100553
33,19,21,17,0.5151515151515151,0.2796969696969697,0.6114593939393941,20.178160000000005,21.64367901753355,1.0726289719941533,0.36854120714520455,1.6958624373632125,8,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,1.5,no_daily_cap,0.48494218200100553
20,19,14,8,0.4,0.2785,0.5761080000000001,11.522160000000001,6.498884609444724,0.5640335327269126,-0.274124413935546,1.5301637821753407,11,historical_best_ask_diagnostic,all,deployed_score,score_deployed_weight,1.5,daily_cap_weight_1,0.48494218200100553
55,26,24,28,0.509090909090909,0.3342181818181818,0.4984499578181819,27.414747680000005,19.51449849473709,0.711824844150347,0.25608684091039696,1.1733316793880182,9,historical_best_ask_diagnostic,all,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,no_daily_cap,0.5076420311714429
35,26,19,18,0.5142857142857142,0.3263428571428571,0.4773825828571429,16.708390400000003,10.360953547599047,0.6201048275481429,-0.015530742080413024,1.2939660304261655,12,historical_best_ask_diagnostic,all,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,daily_cap_weight_1,0.5076420311714429
103,33,26,52,0.5048543689320388,0.41458252427184467,0.5896649514563109,60.73549000000003,23.178626230439285,0.3816323245344571,0.1060558848155727,0.6664990167319292,8,historical_best_ask_diagnostic,all,no_price_mult,score_no_price_weight,1.0,no_daily_cap,0.5408999497234791
46,33,22,22,0.4782608695652174,0.35830434782608694,0.4949871739130435,22.76941,6.519954045616346,0.28634707906864276,-0.09520410440154914,0.6597685541156723,13,historical_best_ask_diagnostic,all,no_price_mult,score_no_price_weight,1.0,daily_cap_weight_1,0.5408999497234791
94,32,28,44,0.46808510638297873,0.35554255319148925,0.621094170212766,58.38285200000001,29.899334905127517,0.5121252881775545,0.0857535982632164,0.9252000978292496,11,historical_best_ask_diagnostic,all,no_peak_mult,score_no_peak_weight,1.0,no_daily_cap,0.4220211161387632
38,32,17,18,0.47368421052631576,0.34900000000000003,0.5648125263157895,21.462876,5.659756139150312,0.263699801422247,-0.16771346562590997,0.7261036158338143,15,historical_best_ask_diagnostic,all,no_peak_mult,score_no_peak_weight,1.0,daily_cap_weight_1,0.4220211161387632
74,32,25,36,0.4864864864864865,0.3374594594594595,0.5404390756756758,39.99249160000001,25.38263325131561,0.634684967998233,0.1896102383497397,1.0665679546251126,11,historical_best_ask_diagnostic,all,no_freshness_mult,score_no_freshness_weight,1.0,no_daily_cap,0.48494218200100553
44,32,23,21,0.4772727272727273,0.3366363636363637,0.48101226363636373,21.164539600000005,7.717668675739095,0.3646509124034568,-0.030228704229331674,0.7797920763491242,13,historical_best_ask_diagnostic,all,no_freshness_mult,score_no_freshness_weight,1.0,daily_cap_weight_1,0.48494218200100553
86,33,27,40,0.46511627906976744,0.34796511627906973,0.5761179023255816,49.54613960000002,25.718633716725066,0.5190845124233464,0.14474395397201764,0.9052296022323177,11,historical_best_ask_diagnostic,all,no_momentum_mult,score_no_momentum_weight,1.0,no_daily_cap,0.45635997988939164
41,33,22,19,0.4634146341463415,0.3315853658536585,0.5267390146341463,21.5962996,7.464465096196536,0.34563630040567395,-0.1043981699404371,0.8450460623110083,16,historical_best_ask_diagnostic,all,no_momentum_mult,score_no_momentum_weight,1.0,daily_cap_weight_1,0.45635997988939164
78,33,25,37,0.47435897435897434,0.33938461538461534,0.5745268717948718,44.813096,25.795034643719067,0.5756137590609465,0.16000064998363853,0.966273335459758,11,historical_best_ask_diagnostic,all,no_weather_mult,score_no_weather_weight,1.0,no_daily_cap,0.4901206636500754
44,33,21,20,0.45454545454545453,0.33254545454545453,0.5092903636363636,22.408776,7.629393885358041,0.34046455216286875,-0.06528008357051945,0.7304724224111482,14,historical_best_ask_diagnostic,all,no_weather_mult,score_no_weather_weight,1.0,daily_cap_weight_1,0.4901206636500754
13,5,8,7,0.5384615384615384,0.4593846153846154,0.41294214153846165,5.368247840000001,1.2916100942222162,0.24060180019971206,-0.13710579603590572,0.5814614057069953,0,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.6,no_daily_cap,0.5105042016806722
