evidence_layer,target_date,city,router_route,router_ask,router_payoff,score_deployed_weight,score_all_expr_city_bias_weight,score_no_price_weight,score_route_mult,score_price_mult,score_peak_mult,score_freshness_mult,score_momentum_mult,score_weather_mult,score_deployed_city_bias_mult,score_all_expr_city_bias_mult,city_source_bias_regime,score_recompute_abs_diff
frozen_live_like_route_price,2026-05-27,SaoPaulo,false_fade_reheat_current_no,0.35,0.0,0.36607999999999996,0.29286399999999996,0.36607999999999996,0.65,1.0,0.8,1.0,0.8,0.8799999999999999,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-05-28,Ankara,fresh_runway_current_no,0.5,0.0,0.4556800000000001,0.524032,0.5120000000000001,0.8,0.89,0.8,1.0,0.8,1.0,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-28,Beijing,false_fade_reheat_current_no,0.29,1.0,0.65,0.48750000000000004,0.65,0.65,1.0,1.0,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-05-28,Chongqing,cheap_stale_tail_current_no,0.29,0.0,0.058499999999999996,0.06727499999999999,0.058499999999999996,0.3,1.0,0.25,1.0,1.0,0.78,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-28,Jeddah,fresh_runway_current_no,0.393,1.0,0.32000000000000006,0.36800000000000005,0.32000000000000006,0.8,1.0,0.5,1.0,0.8,1.0,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-28,LA,fresh_runway_current_no,0.41,1.0,0.6400000000000001,0.4800000000000001,0.6400000000000001,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-05-28,Manila,fresh_runway_current_no,0.48,0.0,0.4303872000000001,0.49494528000000004,0.4608000000000001,0.8,0.934,0.8,1.0,0.8,0.9,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-28,NYC,false_fade_reheat_current_no,0.49,0.0,0.139308,0.10448099999999999,0.15275,0.65,0.912,0.25,1.0,1.0,0.94,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-05-28,TelAviv,fresh_runway_current_no,0.48,0.0,0.5977600000000001,0.4782080000000001,0.6400000000000001,0.8,0.934,0.8,1.0,1.0,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-05-28,Wellington,false_fade_reheat_current_no,0.44,1.0,0.45759999999999995,0.5262399999999999,0.45759999999999995,0.65,1.0,1.0,1.0,0.8,0.8799999999999999,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-28,Wuhan,fresh_runway_current_no,0.3,0.0,0.6720000000000002,0.5376000000000002,0.6720000000000002,0.8,1.0,1.0,1.0,1.0,0.8400000000000001,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-05-29,Atlanta,fresh_runway_current_no,0.49,1.0,0.65664,0.7551359999999999,0.7200000000000001,0.8,0.912,1.0,1.0,1.0,0.9,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-29,CapeTown,fresh_runway_current_no,0.53,1.0,0.52736,0.39552000000000004,0.6400000000000001,0.8,0.824,0.8,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-05-29,SaoPaulo,fresh_runway_current_no,0.55,0.0,0.234624,0.1876992,0.30080000000000007,0.8,0.7799999999999999,0.5,1.0,0.8,0.94,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-05-29,Seattle,cheap_stale_tail_current_no,0.25,1.0,0.06599999999999999,0.07589999999999998,0.06599999999999999,0.3,1.0,0.25,1.0,1.0,0.8799999999999999,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-30,Karachi,capped_d2_no,0.56,1.0,0.2039778,0.2039778,0.2691,0.45,0.7579999999999999,1.0,1.0,1.0,0.92,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-30,Shanghai,capped_d2_no,0.56,0.0,0.19954349999999998,0.19954349999999998,0.26325000000000004,0.45,0.7579999999999999,1.0,1.0,1.0,0.9,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-30,Tokyo,capped_d2_no,0.42,1.0,0.405,0.405,0.405,0.45,1.0,1.0,1.0,1.0,0.9,1.0,1.0,balanced_tight,0.0
frozen_live_like_route_price,2026-05-31,Ankara,capped_d2_no,0.6,1.0,0.19597500000000004,0.19597500000000004,0.29250000000000004,0.45,0.67,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-31,Busan,fresh_runway_current_no,0.15,0.0,0.14400000000000004,0.10800000000000004,0.14400000000000004,0.8,1.0,0.25,1.0,0.8,0.9,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-05-31,Karachi,capped_d2_no,0.55,0.0,0.22815,0.22815,0.29250000000000004,0.45,0.7799999999999999,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-31,Miami,fresh_runway_current_no,0.43,0.0,0.5376000000000002,0.48384000000000016,0.5376000000000002,0.8,1.0,0.8,1.0,1.0,0.8400000000000001,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-05-31,TelAviv,fresh_runway_current_no,0.29,0.0,0.5120000000000001,0.40960000000000013,0.5120000000000001,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-05-31,Tokyo,fresh_runway_current_no,0.37,0.0,0.4608000000000001,0.4147200000000001,0.4608000000000001,0.8,1.0,0.8,1.0,0.8,0.9,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-05-31,Wuhan,fresh_runway_current_no,0.39,0.0,0.7200000000000001,0.5760000000000001,0.7200000000000001,0.8,1.0,1.0,1.0,1.0,0.9,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-01,CapeTown,fresh_runway_current_no,0.35,0.0,0.6400000000000001,0.4800000000000001,0.6400000000000001,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-01,Houston,fresh_runway_current_no,0.47,0.0,0.6883200000000002,0.44740800000000014,0.7200000000000001,0.8,0.9560000000000001,1.0,1.0,1.0,0.9,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-01,NYC,fresh_runway_current_no,0.44,0.0,0.5120000000000001,0.3840000000000001,0.5120000000000001,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-01,TelAviv,cheap_stale_tail_current_no,0.32,0.0,0.15,0.12,0.15,0.3,1.0,0.5,1.0,1.0,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-01,Wuhan,capped_d2_no,0.6,1.0,0.24421500000000004,0.24421500000000004,0.36450000000000005,0.45,0.67,1.0,1.0,1.0,0.9,0.9,0.9,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-02,Amsterdam,cheap_stale_tail_current_no,0.33,0.0,0.26399999999999996,0.23759999999999998,0.26399999999999996,0.3,1.0,1.0,1.0,1.0,0.8799999999999999,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-02,Houston,fresh_runway_current_no,0.32,0.0,0.7200000000000001,0.4680000000000001,0.7200000000000001,0.8,1.0,1.0,1.0,1.0,0.9,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-02,Munich,capped_d2_no,0.51,1.0,0.29295,0.29295,0.3375,0.45,0.868,1.0,1.0,1.0,1.0,0.75,0.75,hot_underforecast_noisy,0.0
frozen_live_like_route_price,2026-06-02,TelAviv,fresh_runway_current_no,0.46,0.0,0.7824,0.62592,0.8,0.8,0.978,1.0,1.0,1.0,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-03,BuenosAires,capped_d2_no,0.58,1.0,0.212058,0.212058,0.297,0.45,0.7140000000000001,1.0,1.0,1.0,0.8799999999999999,0.75,0.75,hot_underforecast_noisy,0.0
frozen_live_like_route_price,2026-06-03,TelAviv,fresh_runway_current_no,0.3,1.0,0.4,0.32000000000000006,0.4,0.8,1.0,1.0,1.0,0.5,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-03,Wuhan,fresh_runway_current_no,0.39,0.0,0.12480000000000002,0.09984000000000003,0.12480000000000002,0.8,1.0,0.25,1.0,0.8,0.78,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-04,Beijing,false_fade_reheat_current_no,0.58,1.0,0.29702400000000007,0.22276800000000005,0.41600000000000004,0.65,0.7140000000000001,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-04,Karachi,capped_d2_no,0.58,1.0,0.20884500000000003,0.20884500000000003,0.29250000000000004,0.45,0.7140000000000001,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-04,NYC,fresh_runway_current_no,0.55,1.0,0.49920000000000003,0.3744,0.6400000000000001,0.8,0.7799999999999999,0.8,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-05,Karachi,capped_d2_no,0.57,1.0,0.21528000000000003,0.21528000000000003,0.29250000000000004,0.45,0.7360000000000001,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-05,Taipei,cheap_stale_tail_current_no,0.303,0.0,0.11699999999999999,0.0702,0.11699999999999999,0.3,1.0,0.5,1.0,1.0,0.78,1.0,0.6,two_sided_noisy,0.0
frozen_live_like_route_price,2026-06-05,Tokyo,fresh_runway_current_no,0.48,0.0,0.36343808000000005,0.3270942720000001,0.3891200000000001,0.8,0.934,0.8,1.0,0.8,0.76,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-06,Amsterdam,fresh_runway_current_no,0.34,1.0,0.4710400000000001,0.42393600000000015,0.4710400000000001,0.8,1.0,0.8,1.0,0.8,0.92,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-06,Chongqing,capped_d2_no,0.46,1.0,0.25745850000000003,0.25745850000000003,0.26325000000000004,0.45,0.978,1.0,1.0,1.0,0.9,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-07,Istanbul,fresh_runway_current_no,0.48,0.0,0.4782080000000001,0.3586560000000001,0.5120000000000001,0.8,0.934,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-07,Munich,capped_d2_no,0.49,1.0,0.3078,0.3078,0.3375,0.45,0.912,1.0,1.0,1.0,1.0,0.75,0.75,hot_underforecast_noisy,0.0
frozen_live_like_route_price,2026-06-07,SanFrancisco,fresh_runway_current_no,0.46,0.0,0.62592,0.40684800000000004,0.6400000000000001,0.8,0.978,0.8,1.0,1.0,1.0,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-08,Beijing,fresh_runway_current_no,0.31,1.0,0.5120000000000001,0.3840000000000001,0.5120000000000001,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-08,Dallas,capped_d2_no,0.53,1.0,0.24101999999999998,0.24101999999999998,0.29250000000000004,0.45,0.824,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-08,Houston,fresh_runway_current_no,0.44,1.0,0.7200000000000001,0.4680000000000001,0.7200000000000001,0.8,1.0,1.0,1.0,1.0,0.9,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-08,Karachi,capped_d2_no,0.56,1.0,0.2039778,0.2039778,0.2691,0.45,0.7579999999999999,1.0,1.0,1.0,0.92,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-08,TelAviv,fresh_runway_current_no,0.43,0.0,0.6400000000000001,0.5120000000000001,0.6400000000000001,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-09,Istanbul,fresh_runway_current_no,0.28,0.0,0.29440000000000005,0.22080000000000005,0.29440000000000005,0.8,1.0,0.5,1.0,0.8,0.92,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-09,Karachi,capped_d2_no,0.6,1.0,0.19597500000000004,0.19597500000000004,0.29250000000000004,0.45,0.67,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-09,LA,fresh_runway_current_no,0.18,1.0,0.5120000000000001,0.3840000000000001,0.5120000000000001,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-09,NYC,fresh_runway_current_no,0.38,1.0,0.6400000000000001,0.4800000000000001,0.6400000000000001,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-09,Shanghai,capped_d2_no,0.47,1.0,0.25166700000000003,0.25166700000000003,0.26325000000000004,0.45,0.9560000000000001,1.0,1.0,1.0,0.9,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-10,Beijing,fresh_runway_current_no,0.49,0.0,0.7296,0.5472,0.8,0.8,0.912,1.0,1.0,1.0,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-10,Busan,fresh_runway_current_no,0.46,0.0,0.563328,0.42249600000000004,0.5760000000000002,0.8,0.978,0.8,1.0,1.0,0.9,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-10,Warsaw,fresh_runway_current_no,0.1,0.0,0.1,0.09000000000000001,0.1,0.8,1.0,0.25,1.0,0.5,1.0,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-11,Ankara,capped_d2_no,0.41,0.0,0.29250000000000004,0.29250000000000004,0.29250000000000004,0.45,1.0,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-11,Atlanta,fresh_runway_current_no,0.38,1.0,0.7200000000000001,0.8280000000000001,0.7200000000000001,0.8,1.0,1.0,1.0,1.0,0.9,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-11,Busan,fresh_runway_current_no,0.17,1.0,0.5760000000000002,0.43200000000000016,0.5760000000000002,0.8,1.0,0.8,1.0,1.0,0.9,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-11,Houston,fresh_runway_current_no,0.49,1.0,0.6128640000000001,0.39836160000000004,0.6720000000000002,0.8,0.912,1.0,1.0,1.0,0.8400000000000001,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-11,Istanbul,fresh_runway_current_no,0.35,0.0,0.5120000000000001,0.3840000000000001,0.5120000000000001,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-11,Manila,fresh_runway_current_no,0.34,0.0,0.43008000000000013,0.4945920000000001,0.43008000000000013,0.8,1.0,0.8,1.0,0.8,0.8400000000000001,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-11,Wuhan,fresh_runway_current_no,0.34,0.0,0.5760000000000002,0.46080000000000015,0.5760000000000002,0.8,1.0,1.0,1.0,0.8,0.9,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-12,Amsterdam,false_fade_reheat_current_no,0.28,1.0,0.38272000000000006,0.3444480000000001,0.38272000000000006,0.65,1.0,0.8,1.0,0.8,0.92,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-12,Ankara,capped_d2_no,0.61,0.0,0.18954000000000001,0.18954000000000001,0.29250000000000004,0.45,0.648,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
