label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,book_state_v1,slice_type,raw_dist_band,adj_dist_band,price_band
-0.5..0,recent_ge_2026_06_21,16,8,12,0.125,0.10862500000000001,0.9069750625,0.0,14.511601,1.4883989999999994,0.10256614690549991,-1.0,0.9976537944037558,6,6,-2.71411,-1.0,,adj_dist_band,,-0.5..0,
0..0.5,recent_ge_2026_06_21,27,8,22,0.18518518518518517,0.1097962962962963,0.9168085962962962,0.0,24.753832099999997,15.246167900000003,0.6159114208421897,-0.5196910651833898,1.6004027983897535,4,4,-3.7371775,-1.0,,adj_dist_band,,0..0.5,
0.5..1,recent_ge_2026_06_21,7,6,5,0.14285714285714285,0.07085714285714285,0.5931205428571429,0.0,4.1518438,3.8481562000000005,0.9268547626960341,-1.0,4.956823602245613,5,5,-0.8923231,-1.0,,adj_dist_band,,0.5..1,
<-0.5,recent_ge_2026_06_21,7,6,7,0.2857142857142857,0.06907142857142858,0.5782398714285714,0.0,4.0476791,11.9523209,2.9528825296451986,-1.0,7.427131032486038,4,4,-0.71111,-1.0,,adj_dist_band,,<-0.5,
>1,recent_ge_2026_06_21,1,1,1,0.0,0.06,0.50256,0.0,0.50256,-0.50256,-1.0,,,1,1,-0.50256,-1.0,,adj_dist_band,,>1,
14-20c,full,65,38,28,0.3230769230769231,0.17016923076923077,1.4177022892307691,0.0,92.1506488,75.8493512,0.8231016513472448,0.17178258681087852,1.524086454187276,20,20,-5.7973416,-1.0,,price_band,,,14-20c
5-8c,full,130,49,40,0.09230769230769231,0.06539999999999999,0.5476174907692307,0.0,71.1902738,24.809726199999993,0.34849881698305807,-0.3119135137836775,1.1066218482007353,37,37,-4.491964100000001,-1.0,,price_band,,,5-8c
8-14c,full,138,48,41,0.12318840579710146,0.1093876811594203,0.9139427528985506,0.0,126.12409989999999,9.875900100000004,0.0783030373087325,-0.3183042648860827,0.5352729862716126,32,32,-4.55357,-1.0,,price_band,,,8-14c
14-20c,train_le_2026_06_20,56,32,27,0.30357142857142855,0.16980357142857144,1.4146726535714287,0.0,79.2216686,56.778331400000006,0.7167020387651871,0.0027633598143633536,1.517932122645409,18,18,-5.7973416,-1.0,,price_band,,,14-20c
5-8c,train_le_2026_06_20,103,41,38,0.0970873786407767,0.06553398058252428,0.5487373223300971,0.0,56.519944200000005,23.4800558,0.4154295644191382,-0.3048072943881333,1.2591859183637306,31,31,-4.491964100000001,-1.0,,price_band,,,5-8c
8-14c,train_le_2026_06_20,116,40,39,0.11206896551724138,0.10911637931034483,0.9116887387931034,0.0,105.7558937,-1.7558936999999974,-0.016603270404777427,-0.46152852424230856,0.46401252702053014,28,28,-4.55357,-1.0,,price_band,,,8-14c
14-20c,recent_ge_2026_06_21,9,6,7,0.4444444444444444,0.17244444444444446,1.4365533555555556,0.0,12.9289802,19.071019800000002,1.4750598658972347,0.41514596408065896,2.3624060691900284,2,2,-1.37511,-1.0,,price_band,,,14-20c
5-8c,recent_ge_2026_06_21,27,8,15,0.07407407407407407,0.06488888888888888,0.5433455407407407,0.0,14.670329599999999,1.3296703999999986,0.09063670934837065,-1.0,1.9925549552463484,6,6,-3.6304743,-1.0,,price_band,,,5-8c
8-14c,recent_ge_2026_06_21,22,8,19,0.18181818181818182,0.1108181818181818,0.9258275545454544,0.0,20.368206199999996,11.6317938,0.5710760037376292,-0.4737384678411441,1.6256619881355228,4,4,-4.51208,-1.0,,price_band,,,8-14c
