variant,weight_policy,trades,active_dates,cities,wins,win_rate,avg_ask,avg_weight,notional_retained,weighted_cost_usd,weighted_profit_usd,weighted_roi,weighted_roi_ci_low,weighted_roi_ci_high,roi_le_minus50_days,roi_eq_minus100_days,loss_ge_10usd_days,worst_day_profit_usd,worst_day_roi
routed_capped_d2_no_relaxed70_first_eligible,soft_balanced,279,38,35,138,0.4946236559139785,0.552347670250896,0.3143248179493672,0.3143248179493672,438.48312103936723,-27.504605104866467,-0.06272671349280304,-0.22432004468661937,0.093299806515856,9,2,3,-10.737105444897956,-1.0
routed_capped_d1_no_relaxed50_best_ask,full_size,195,38,34,72,0.36923076923076925,0.37037435897435905,1.0,1.0,975.0,64.45810652960552,0.0661108784919031,-0.13264743654660482,0.257971360528683,11,4,9,-34.79591836734694,-1.0
routed_capped_d1_no_relaxed50_best_ask,soft_moderate,195,38,34,72,0.36923076923076925,0.37037435897435905,0.6436948290182652,0.6436948290182652,627.6024582928086,39.70685221347273,0.06326752180270692,-0.14686354303500243,0.2740672212308922,11,4,6,-20.346856522959186,-1.0
routed_capped_d1_no_relaxed50_best_ask,soft_balanced,195,38,34,72,0.36923076923076925,0.37037435897435905,0.3948697994273155,0.3948697994273155,384.9980544416326,18.148281081466568,0.04713863062967225,-0.16577808504952055,0.27218235300812654,10,4,3,-11.735107244897959,-1.0
routed_capped_d2_no_relaxed50_best_ask,full_size,112,36,30,41,0.36607142857142855,0.35583035714285716,1.0,1.0,560.0,79.4120050846297,0.14180715193683874,-0.1839402513375767,0.4872732059341538,14,11,9,-25.0,-1.0
routed_capped_d2_no_relaxed50_best_ask,soft_moderate,112,36,30,41,0.36607142857142855,0.35583035714285716,0.7168168694700755,0.7168168694700755,401.4174469032423,47.61098060214035,0.11860715315051193,-0.19617616143485453,0.4801653588659352,14,11,4,-16.209960604910712,-1.0
routed_capped_d2_no_relaxed50_best_ask,soft_balanced,112,36,30,41,0.36607142857142855,0.35583035714285716,0.4630937982102769,0.4630937982102769,259.33252699775505,20.893471546536812,0.08056633615696684,-0.23491379363971798,0.43599923189867823,13,11,1,-12.270591071428573,-1.0
routed_capped_d1_no_relaxed70_best_ask,full_size,425,38,35,202,0.4752941176470588,0.5008870588235295,1.0,1.0,2125.0,-19.51650417183007,-0.009184237257331798,-0.11557567254167309,0.09236668100326685,3,1,11,-40.51020408163265,-1.0
routed_capped_d1_no_relaxed70_best_ask,soft_moderate,425,38,35,202,0.4752941176470588,0.5008870588235295,0.595211624240189,0.5952116242401891,1264.8247015104018,-12.455677892926431,-0.009847750346789062,-0.1256865858049511,0.10455247841919635,4,1,8,-22.954544861607143,-1.0
routed_capped_d1_no_relaxed70_best_ask,soft_balanced,425,38,35,202,0.4752941176470588,0.5008870588235295,0.3068809986639039,0.3068809986639039,652.1221221607958,-7.024169775722594,-0.010771249029933419,-0.1443354989108114,0.1279302834957,6,1,3,-12.548736908163265,-1.0
routed_capped_d2_no_relaxed70_best_ask,full_size,279,38,35,135,0.4838709677419355,0.5173333333333334,1.0,1.0,1395.0,-8.686713012763711,-0.006227034417751764,-0.1605813659943687,0.15604726166937546,5,2,12,-40.0,-1.0
routed_capped_d2_no_relaxed70_best_ask,soft_moderate,279,38,35,135,0.4838709677419355,0.5173333333333334,0.6343512340272794,0.6343512340272794,884.9199714680548,-5.101279364171148,-0.005764678760394891,-0.17615569964195557,0.17243863568579626,6,2,6,-24.082407565816325,-1.0
routed_capped_d2_no_relaxed70_best_ask,soft_balanced,279,38,35,135,0.4838709677419355,0.5173333333333334,0.3325093700652329,0.33250937006523296,463.85057124099995,-2.4581466996809667,-0.005299436611890692,-0.20336674454492004,0.21121451179408535,10,2,4,-11.14943744897959,-1.0
