target_date,variant,weight_policy,trades,cities,wins,win_rate,weighted_cost_usd,weighted_profit_usd,weighted_roi,avg_weight,day_risk,regime_mix,loss_cities
2026-06-25,routed_capped_d1_no_relaxed70_first_eligible,full_size,6,6,3,0.5,30.0,-6.267472162994551,-0.20891573876648503,1.0,0.4069047619047619,"day_forecast_capped:2,day_marginal_runway:1,day_open_runway:3","CapeTown,Karachi,Manila"
2026-06-26,routed_capped_d1_no_relaxed70_first_eligible,full_size,6,6,3,0.5,30.0,-5.674246430460075,-0.1891415476820025,1.0,0.30323809523809525,"day_forecast_capped:1,day_marginal_runway:3,day_open_runway:2","Chongqing,TelAviv,Warsaw"
2026-06-30,routed_capped_d1_no_relaxed70_first_eligible,full_size,7,7,3,0.42857142857142855,35.0,-11.039731890495032,-0.31542091115700094,1.0,0.4028571428571429,"day_forecast_capped:3,day_open_runway:4","Busan,CapeTown,Helsinki,Singapore"
2026-05-20,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,14,14,4,0.2857142857142857,41.14760314160842,1.631597497995248,0.039652309573905115,0.5878229020229774,0.3971224489795918,"day_forecast_capped:7,day_marginal_runway:2,day_open_runway:5","Beijing,BuenosAires,Istanbul,Jeddah,Manila,Miami,SanFrancisco,SaoPaulo,Taipei,Wellington"
2026-05-21,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,9,9,4,0.4444444444444444,26.018315808545914,-8.553473180276189,-0.32874814969640487,0.5781847957454649,0.45650793650793653,"day_forecast_capped:6,day_marginal_runway:2,day_open_runway:1","Karachi,SanFrancisco,SaoPaulo,Singapore,TelAviv"
2026-05-22,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,17,17,8,0.47058823529411764,48.32432075841837,1.6339183954897019,0.03381151291619684,0.568521420687275,0.4063865546218488,"day_forecast_capped:11,day_marginal_runway:3,day_open_runway:3","Helsinki,Istanbul,LA,Miami,Munich,Singapore,TelAviv,Warsaw,Wellington"
2026-05-23,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,11,11,4,0.36363636363636365,31.257455617334184,-10.208739923914967,-0.3266017569982117,0.5683173748606216,0.39955844155844156,"day_forecast_capped:6,day_marginal_runway:1,day_open_runway:4","Ankara,Houston,Istanbul,Lucknow,Miami,SanFrancisco,Warsaw"
2026-05-24,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,9,9,6,0.6666666666666666,25.729664595790815,5.643346814317254,0.21933231167111536,0.571770324350907,0.4493650793650794,"day_forecast_capped:6,day_marginal_runway:2,day_open_runway:1","Helsinki,Istanbul,Lucknow"
2026-05-25,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,14,14,6,0.42857142857142855,39.96724971122449,-10.711140383720451,-0.26799793483694,0.5709607101603499,0.42969387755102045,"day_forecast_capped:9,day_marginal_runway:2,day_open_runway:3","CapeTown,Chengdu,LA,Shanghai,Tokyo,Warsaw,Wellington,Wuhan"
2026-05-26,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,9,9,8,0.8888888888888888,30.93723398596939,22.968740810363556,0.742430329123163,0.6874940885770975,0.3298412698412699,"day_forecast_capped:3,day_marginal_runway:5,day_open_runway:1",Wuhan
2026-05-27,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,13,13,4,0.3076923076923077,40.92967476528571,-20.429735599789776,-0.49914238793602994,0.6296873040813187,0.3831648351648352,"day_forecast_capped:6,day_marginal_runway:4,day_open_runway:3","Beijing,Denver,Helsinki,Houston,Manila,Miami,SaoPaulo,Singapore,Warsaw"
2026-05-28,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,15,15,8,0.5333333333333333,46.91530304719387,1.8643439458114415,0.03973850374441848,0.625537373962585,0.35095238095238096,"day_forecast_capped:6,day_marginal_runway:6,day_open_runway:3","Ankara,Chongqing,Karachi,LA,Manila,Warsaw,Wuhan"
2026-05-29,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,12,12,7,0.5833333333333334,32.737911419642856,3.628569951297859,0.11083694084164163,0.5456318569940476,0.4772619047619047,"day_forecast_capped:9,day_marginal_runway:2,day_open_runway:1","BuenosAires,Istanbul,LA,Manila,Tokyo"
2026-05-30,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,8,8,4,0.5,19.433722401785715,-3.258434425174616,-0.16766908355525376,0.4858430600446429,0.6075,day_forecast_capped:8,"Chongqing,Singapore,TelAviv,Tokyo"
2026-05-31,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,10,10,3,0.3,29.49107871920918,-16.638094404996895,-0.5641738155261028,0.5898215743841837,0.45917142857142856,"day_forecast_capped:7,day_marginal_runway:2,day_open_runway:1","Ankara,BuenosAires,Seattle,Taipei,Tokyo,Warsaw,Wuhan"
2026-06-01,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,9,9,5,0.5555555555555556,25.608850486607146,-3.659549508960058,-0.1429017483964741,0.5690855663690476,0.451904761904762,"day_forecast_capped:6,day_marginal_runway:2,day_open_runway:1","Amsterdam,Chengdu,NYC,Shanghai"
2026-06-02,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,16,16,10,0.625,45.07969640810714,3.982702650165279,0.08834803620037311,0.5634962051013392,0.4325357142857143,"day_forecast_capped:9,day_marginal_runway:2,day_open_runway:5","Beijing,LA,Munich,SanFrancisco,TelAviv,Wuhan"
2026-06-03,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,9,9,4,0.4444444444444444,23.55469966505102,-6.061433977588375,-0.25733437758843297,0.5234377703344671,0.473015873015873,"day_forecast_capped:8,day_open_runway:1","Ankara,Atlanta,Munich,NYC,Wuhan"
2026-06-04,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,11,11,7,0.6363636363636364,29.31780628635204,1.921529502807765,0.0655413806899417,0.533051023388219,0.42181818181818187,"day_forecast_capped:7,day_marginal_runway:1,day_open_runway:3","Ankara,CapeTown,LA,Manila"
