state_key,orderbook_file,snapshot_ts_utc,snapshot_ts_local,decision_hour_local,city,target_date,unit,winner_label,running_max_c,running_max_f,current_temp_c,final_max_c,final_max_f,running_value,decline,period,materialized_period,current_bracket,yes_current_ask,yes_current_size,current_yes_wins,yes_current_pnl,d1_no_bracket,d1_no_ask,d1_no_size,d1_hit,d1_no_pnl,d1_skip_over_wins_no_only,d2_no_bracket,d2_no_ask,d2_no_size,d2_hit,d2_no_pnl,d2_skip_over_wins_no_only,has_d1_no,has_d2_no,current_yes_cost,d1_no_cost,d2_no_cost,current_yes_pnl,settlement_state,ladder_cost,ladder_pnl,can_ladder,d1_no_minus_yes_pnl,d2_no_minus_yes_pnl,ladder_minus_yes_pnl
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|NYC|2026-05-22|2026-05-22T18:30:53+00:00|14|66-67,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,14,NYC,2026-05-22,F,68-69,18.88888888888889,66.0,18.88888888888889,20.0,68.0,66,0.0,train,factory_v1,66-67,0.73,57.0,False,-0.73,68-69,0.76,96.2,True,-0.76,False,70-71,0.998,37.15,False,0.0020000000000000018,False,True,True,0.73,0.76,0.998,-0.73,d1_hit,1.758,-0.758,True,-0.030000000000000027,0.732,-0.028000000000000025
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|SaoPaulo|2026-05-22|2026-05-22T18:30:53+00:00|15|17,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,15,SaoPaulo,2026-05-22,C,17,17.22222222222222,63.0,17.22222222222222,17.22222222222222,63.0,17,0.0,train,factory_v1,17,0.98,76.56,True,0.020000000000000018,18,0.98,27.02,False,0.020000000000000018,False,,,,False,,False,True,False,0.98,0.98,,0.020000000000000018,current_hit,,,False,0.0,,
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0300.jsonl.gz|Austin|2026-05-22|2026-05-22T19:00:53+00:00|14|82-83,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0300.jsonl.gz,2026-05-22T19:00:53+00:00,2026-05-22T19:00:53+00:00,14,Austin,2026-05-22,F,86+,28.333333333333332,83.0,28.333333333333332,30.555555555555557,87.0,83,0.0,train,factory_v1,82-83,0.009,131.74,False,-0.009,84-85,0.92,3.9,False,0.07999999999999996,True,86+,0.12,10.0,True,-0.12,False,True,True,0.009,0.92,0.12,-0.009,d2_hit,1.04,-0.040000000000000036,True,0.08899999999999995,-0.111,-0.031000000000000034
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0300.jsonl.gz|NYC|2026-05-22|2026-05-22T19:00:53+00:00|15|68-69,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0300.jsonl.gz,2026-05-22T19:00:53+00:00,2026-05-22T19:00:53+00:00,15,NYC,2026-05-22,F,68-69,20.0,68.0,20.0,20.0,68.0,68,0.0,train,factory_v1,68-69,0.98,103.97,True,0.020000000000000018,70-71,0.983,106.0,False,0.017000000000000015,False,72-73,0.999,15.0,False,0.0010000000000000009,False,True,True,0.98,0.983,0.999,0.020000000000000018,current_hit,1.982,0.018000000000000016,True,-0.0030000000000000027,-0.019000000000000017,-0.0020000000000000018
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz|Atlanta|2026-05-22|2026-05-22T19:30:53+00:00|15|84-85,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz,2026-05-22T19:30:53+00:00,2026-05-22T19:30:53+00:00,15,Atlanta,2026-05-22,F,86-87,29.444444444444443,85.0,29.444444444444443,30.555555555555557,87.0,85,0.0,train,factory_v1,84-85,0.001,861.97,False,-0.001,86-87,0.05,82.34,True,-0.05,False,88-89,0.969,60.0,False,0.031000000000000028,False,True,True,0.001,0.05,0.969,-0.001,d1_hit,1.019,-0.018999999999999975,True,-0.049,0.03200000000000003,-0.017999999999999974
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz|Austin|2026-05-22|2026-05-22T19:30:53+00:00|14|82-83,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz,2026-05-22T19:30:53+00:00,2026-05-22T19:30:53+00:00,14,Austin,2026-05-22,F,86+,28.333333333333332,83.0,28.333333333333332,30.555555555555557,87.0,83,0.0,train,factory_v1,82-83,0.009,131.74,False,-0.009,84-85,0.92,3.9,False,0.07999999999999996,True,86+,0.12,10.0,True,-0.12,False,True,True,0.009,0.92,0.12,-0.009,d2_hit,1.04,-0.040000000000000036,True,0.08899999999999995,-0.111,-0.031000000000000034
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz|BuenosAires|2026-05-22|2026-05-22T19:30:53+00:00|16|14,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz,2026-05-22T19:30:53+00:00,2026-05-22T19:30:53+00:00,16,BuenosAires,2026-05-22,C,14,13.88888888888889,57.0,12.77777777777778,13.88888888888889,57.0,14,1.111111111111109,train,factory_v1,14,0.999,400.0,True,0.0010000000000000009,15,0.999,406.74,False,0.0010000000000000009,False,16,0.999,465.68,False,0.0010000000000000009,False,True,True,0.999,0.999,0.999,0.0010000000000000009,current_hit,1.998,0.0020000000000000018,True,0.0,0.0,0.0010000000000000009
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz|Houston|2026-05-22|2026-05-22T19:30:53+00:00|14|86-87,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz,2026-05-22T19:30:53+00:00,2026-05-22T19:30:53+00:00,14,Houston,2026-05-22,F,90+,30.555555555555557,87.0,30.555555555555557,32.22222222222222,90.0,87,0.0,train,factory_v1,86-87,0.33,7.1,False,-0.33,88-89,0.439,8.49,False,0.5609999999999999,True,90+,0.958,7.0,True,-0.958,False,True,True,0.33,0.439,0.958,-0.33,d2_hit,1.397,-0.397,True,0.891,-0.6279999999999999,-0.067
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz|Miami|2026-05-22|2026-05-22T19:30:53+00:00|15|88-89,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz,2026-05-22T19:30:53+00:00,2026-05-22T19:30:53+00:00,15,Miami,2026-05-22,F,88-89,31.11111111111111,88.0,30.555555555555557,31.11111111111111,88.0,88,0.5555555555555536,train,factory_v1,88-89,0.95,13.54,True,0.050000000000000044,90-91,0.97,55.8,False,0.030000000000000027,False,92-93,0.997,38.01,False,0.0030000000000000027,False,True,True,0.95,0.97,0.997,0.050000000000000044,current_hit,1.967,0.03300000000000003,True,-0.020000000000000018,-0.04700000000000004,-0.017000000000000015
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz|NYC|2026-05-22|2026-05-22T19:30:53+00:00|15|68-69,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0330.jsonl.gz,2026-05-22T19:30:53+00:00,2026-05-22T19:30:53+00:00,15,NYC,2026-05-22,F,68-69,20.0,68.0,20.0,20.0,68.0,68,0.0,train,factory_v1,68-69,0.98,103.97,True,0.020000000000000018,70-71,0.983,106.0,False,0.017000000000000015,False,72-73,0.999,15.0,False,0.0010000000000000009,False,True,True,0.98,0.983,0.999,0.020000000000000018,current_hit,1.982,0.018000000000000016,True,-0.0030000000000000027,-0.019000000000000017,-0.0020000000000000018
