profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
d1_high_carry,holdout,d1_no,965,13,36,0.9745875647668395,940.4770000000001,-4.476999999999995,-0.0047603503328629984,0.9699481865284975,0.9564766839378238,0.03005181347150259,0.0051813471502590676,0.008290155440414507,-0.0013439117198439732,"[-0.00470697880152511, 0.0024543601799742187]",3000
d1_high_carry,holdout,d2_no,664,13,36,0.9924367469879517,658.978,0.022000000000001796,3.338502954575388e-05,0.9924698795180723,0.9457831325301205,0.03765060240963856,0.007530120481927711,0.009036144578313253,0.002449016734106289,"[-0.013736988625295068, 0.019403422676954652]",3000
d1_high_carry,holdout,no_ladder,664,13,36,1.9589743975903615,1300.759,-2.7589999999999932,-0.0021210693141465813,0.9548192771084337,0.9457831325301205,0.03765060240963856,0.007530120481927711,0.009036144578313253,0.00040893105793572823,"[-0.007766211558392911, 0.008934129014744314]",3000
d1_high_carry,new_2026_06_10_14,current_yes,294,4,33,0.964204081632653,283.476,-1.4759999999999982,-0.005206789992803617,0.9591836734693877,0.9591836734693877,0.04081632653061224,0.0,0.0,0.0,"[0.0, 0.0]",0
d1_high_carry,new_2026_06_10_14,d1_no,301,4,33,0.9715215946843854,292.428,-3.427999999999999,-0.011722543668868915,0.9601328903654485,0.9534883720930233,0.03986710963455149,0.0,0.006644518272425249,-0.006837857181013461,"[-0.010861334586934997, -0.004749292224250787]",3000
d1_high_carry,new_2026_06_10_14,d2_no,215,4,32,0.9956046511627907,214.055,0.9450000000000007,0.004414753217630986,1.0,0.958139534883721,0.04186046511627907,0.0,0.0,-0.0007035433508170898,"[-0.028829137044252006, 0.030167094441932548]",3000
d1_high_carry,new_2026_06_10_14,no_ladder,215,4,32,1.958204651162791,421.01400000000007,-0.013999999999998014,-3.325305096742154e-05,0.958139534883721,0.958139534883721,0.04186046511627907,0.0,0.0,-0.005151549619415499,"[-0.0181242669627409, 0.007751268648303717]",3000
d1_high_carry,all,current_yes,1723,26,36,0.9623023795705166,1658.047,-1.046999999999989,-0.000631465814901501,0.9616947185142194,0.9616947185142194,0.030179918746372606,0.0046430644225188625,0.003482298316889147,0.0,"[0.0, 0.0]",0
d1_high_carry,all,d1_no,1761,26,36,0.9750363429869392,1717.039,-8.03899999999999,-0.00468189714968617,0.9704713231118682,0.9585462805224304,0.029528676888131742,0.004542873367404884,0.0073821692220329355,-0.00419076899345084,"[-0.010312604428223984, 0.0007341548846325428]",3000
d1_high_carry,all,d2_no,1191,26,36,0.9924542401343408,1182.013,0.9870000000000035,0.0008350161969453836,0.9932829554995802,0.9479429051217464,0.038623005877413935,0.006717044500419815,0.006717044500419815,0.0005683140938136269,"[-0.010464096934182501, 0.01281457588255253]",3000
d1_high_carry,all,no_ladder,1191,26,36,1.9592544080604533,2333.4719999999998,-5.471999999999989,-0.002345003496935035,0.9546599496221663,0.9479429051217464,0.038623005877413935,0.006717044500419815,0.006717044500419815,-0.0025549838430019307,"[-0.010335039384340048, 0.00513926723724744]",3000
d2_tail_carry,train,current_yes,559,13,36,0.9156046511627907,511.823,0.17700000000000315,0.0003458226769801341,0.9159212880143113,0.9159212880143113,0.07513416815742398,0.008944543828264758,0.0,0.0,"[0.0, 0.0]",0
d2_tail_carry,train,d1_no,564,13,36,0.9355691489361702,527.661,-8.660999999999996,-0.016413947591351258,0.9202127659574468,0.9113475177304965,0.0797872340425532,0.008865248226950355,0.0,-0.016651928428830506,"[-0.03525221434817037, -0.0014581799984324322]",3000
d2_tail_carry,train,d2_no,564,13,36,0.9895070921985814,558.0819999999999,0.9180000000000024,0.0016449195637917055,0.9911347517730497,0.9113475177304965,0.0797872340425532,0.008865248226950355,0.0,0.0012904242607068837,"[-0.01979484658568703, 0.022918528697662314]",3000
d2_tail_carry,train,no_ladder,564,13,36,1.9250762411347517,1085.743,-7.742999999999995,-0.007131521916328262,0.9131205673758865,0.9113475177304965,0.0797872340425532,0.008865248226950355,0.0,-0.007451828712218133,"[-0.02291891970353167, 0.00711610732818219]",3000
