snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,target_bracket_low_native,target_bracket_high_native,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,heating_done_score_v1,heating_done_bucket_v1,heating_done_reasons_v1,leg_residual_done_score_v1,leg_residual_done_bucket_v1,leg_residual_done_reasons_v1,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,p_leg_win_physical_v1,p_model,model_edge_per_share,first_edge_ge_0
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1545.json,2026-07-06T07:45:43Z,2026-07-06 15:45:43,2026-07-06 15:45:43,15,45,Chengdu,t1_trading,2026-07-06,C,39,d2_no,no,39.0,39.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.25,open_meteo_live_ecmwf,0.96,0.959,0.001,180.47,1504.17,210.0,4.0000000000000036,0x90dec7927147020d6605548ee141d9d1ed420d1602f07d85e68c56402a0915a9,2791406,0.041,0.04,0.96,0.959,Will the highest temperature in Chengdu be 39°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.65,leg_residual_done_probable,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.00192,0.96192,,,post_forward_incomplete,95_97,3_5,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9105915665816126,0.9105915665816126,-0.05132843341838744,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1545.json,2026-07-06T07:45:43Z,2026-07-06 15:45:43,2026-07-06 15:45:43,15,45,Chengdu,t1_trading,2026-07-06,C,40,d3_no,no,40.0,40.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.25,open_meteo_live_ecmwf,0.999,0.996,0.003,1648.48,1648.48,478.58,0.1,0xaf755f100436b48f13583a5af3848d2764b9b21e93bad212b9846bae8fd12962,2791407,0.004,0.001,0.999,0.996,Will the highest temperature in Chengdu be 40°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.65,leg_residual_done_probable,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,5e-05,0.99905,,,post_forward_incomplete,99_plus,lt1,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9243305098679591,0.9243305098679591,-0.07471949013204093,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1602.json,2026-07-06T08:02:17Z,2026-07-06 16:02:17,2026-07-06 16:02:17,16,2,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,0.03,open_meteo_live_ecmwf,0.87,0.82,0.05,35.18,139.66,17.56,13.0,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.87,0.82,0.18,0.13,Will the highest temperature in Chengdu be 37°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.2,leg_residual_not_done,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00566,0.87566,,,post_forward_incomplete,lt90,gt10,near_peak,room_0_1,at_high,16,0.6479332493739995,0.6479332493739995,-0.22772675062600045,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1602.json,2026-07-06T08:02:17Z,2026-07-06 16:02:17,2026-07-06 16:02:17,16,2,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,0.03,open_meteo_live_ecmwf,0.86,0.82,0.04,4.11,22.11,66.0,14.000000000000002,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.18,0.14,0.86,0.82,Will the highest temperature in Chengdu be 38°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.2,leg_residual_not_done,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00602,0.86602,,,post_forward_incomplete,lt90,gt10,near_peak,room_0_1,at_high,16,0.9362270200458666,0.9362270200458666,0.07020702004586654,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1602.json,2026-07-06T08:02:17Z,2026-07-06 16:02:17,2026-07-06 16:02:17,16,2,Chengdu,t1_trading,2026-07-06,C,39,d2_no,no,39.0,39.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,0.03,open_meteo_live_ecmwf,0.988,0.982,0.006,75.45,886.36,207.53,1.200000000000001,0x90dec7927147020d6605548ee141d9d1ed420d1602f07d85e68c56402a0915a9,2791406,0.018,0.012,0.988,0.982,Will the highest temperature in Chengdu be 39°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.65,leg_residual_done_probable,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.00059,0.98859,,,post_forward_incomplete,97_99,1_3,near_peak,room_0_1,at_high,16,0.9376577033795077,0.9376577033795077,-0.05093229662049226,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1619.json,2026-07-06T08:19:07Z,2026-07-06 16:19:07,2026-07-06 16:19:07,16,19,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.32,open_meteo_live_ecmwf,0.91,0.85,0.06,22.22,411.15,35.21,8.999999999999996,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.91,0.85,0.15,0.09,Will the highest temperature in Chengdu be 37°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.3,leg_residual_not_done,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00409,0.9140900000000001,,,post_forward_incomplete,90_95,5_10,near_peak,room_0_1,at_high,16,0.6544417245315933,0.6544417245315933,-0.25964827546840674,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1619.json,2026-07-06T08:19:07Z,2026-07-06 16:19:07,2026-07-06 16:19:07,16,19,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.32,open_meteo_live_ecmwf,0.93,0.89,0.04,43.8,561.34,10.58,6.999999999999995,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.11,0.07,0.93,0.89,Will the highest temperature in Chengdu be 38°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.3,leg_residual_not_done,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00325,0.93325,,,post_forward_incomplete,90_95,5_10,near_peak,room_0_1,at_high,16,0.9379166212187923,0.9379166212187923,0.004666621218792244,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1619.json,2026-07-06T08:19:07Z,2026-07-06 16:19:07,2026-07-06 16:19:07,16,19,Chengdu,t1_trading,2026-07-06,C,39,d2_no,no,39.0,39.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.32,open_meteo_live_ecmwf,0.988,0.985,0.003,6.89,872.2,35.66,1.200000000000001,0x90dec7927147020d6605548ee141d9d1ed420d1602f07d85e68c56402a0915a9,2791406,0.015,0.012,0.988,0.985,Will the highest temperature in Chengdu be 39°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.75,leg_residual_done_confirmed,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.00059,0.98859,,,post_forward_incomplete,97_99,1_3,near_peak,room_0_1,at_high,16,0.9393118570799946,0.9393118570799946,-0.04927814292000532,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1619.json,2026-07-06T08:19:07Z,2026-07-06 16:19:07,2026-07-06 16:19:07,16,19,Chengdu,t1_trading,2026-07-06,C,40,d3_no,no,40.0,40.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.32,open_meteo_live_ecmwf,0.999,0.997,0.002,5.01,5.01,650.83,0.1,0xaf755f100436b48f13583a5af3848d2764b9b21e93bad212b9846bae8fd12962,2791407,0.003,0.001,0.999,0.997,Will the highest temperature in Chengdu be 40°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.75,leg_residual_done_confirmed,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,5e-05,0.99905,,,post_forward_incomplete,99_plus,lt1,near_peak,room_0_1,at_high,16,0.9488852325646506,0.9488852325646506,-0.05016476743534937,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1635.json,2026-07-06T08:35:57Z,2026-07-06 16:35:57,2026-07-06 16:35:57,16,35,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.58,open_meteo_live_ecmwf,0.89,0.85,0.04,10.0,790.07,383.8,10.999999999999998,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.89,0.85,0.15,0.11,Will the highest temperature in Chengdu be 37°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.3,leg_residual_not_done,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.0049,0.8949,,,post_forward_incomplete,lt90,gt10,post_peak_0_5_1_5h,room_0_1,at_high,16,0.6073794597539787,0.6073794597539787,-0.28752054024602136,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1635.json,2026-07-06T08:35:57Z,2026-07-06 16:35:57,2026-07-06 16:35:57,16,35,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.58,open_meteo_live_ecmwf,0.91,0.88,0.03,48.72,413.38,43.53,8.999999999999996,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.12,0.09,0.91,0.88,Will the highest temperature in Chengdu be 38°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.3,leg_residual_not_done,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00409,0.9140900000000001,,,post_forward_incomplete,90_95,5_10,post_peak_0_5_1_5h,room_0_1,at_high,16,0.9250392583707662,0.9250392583707662,0.010949258370766102,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1635.json,2026-07-06T08:35:57Z,2026-07-06 16:35:57,2026-07-06 16:35:57,16,35,Chengdu,t1_trading,2026-07-06,C,39,d2_no,no,39.0,39.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.6,0.6000000000000014,2026-07-06T16:00,0.58,open_meteo_live_ecmwf,0.998,0.985,0.013,144.7,384.03,45.66,0.2000000000000001,0x90dec7927147020d6605548ee141d9d1ed420d1602f07d85e68c56402a0915a9,2791406,0.015,0.002,0.998,0.985,Will the highest temperature in Chengdu be 39°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.75,leg_residual_done_confirmed,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.0001,0.9981,,,post_forward_incomplete,99_plus,lt1,post_peak_0_5_1_5h,room_0_1,at_high,16,0.9267012778809381,0.9267012778809381,-0.07139872211906184,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1653.json,2026-07-06T08:53:05Z,2026-07-06 16:53:05,2026-07-06 16:53:05,16,53,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.8,0.7999999999999972,2026-07-06T16:00,0.88,open_meteo_live_ecmwf,0.93,0.89,0.04,10.48,757.31,169.53,6.999999999999995,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.93,0.89,0.11,0.07,Will the highest temperature in Chengdu be 37°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.3,leg_residual_not_done,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00325,0.93325,,,post_forward_incomplete,90_95,5_10,post_peak_0_5_1_5h,room_0_1,at_high,16,0.6262503832378854,0.6262503832378854,-0.3069996167621146,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1653.json,2026-07-06T08:53:05Z,2026-07-06 16:53:05,2026-07-06 16:53:05,16,53,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T08:00:00Z,17,37.8,0.7999999999999972,2026-07-06T16:00,0.88,open_meteo_live_ecmwf,0.94,0.89,0.05,29.99,826.88,76.88,6.000000000000005,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.11,0.06,0.94,0.89,Will the highest temperature in Chengdu be 38°C on July 6?,0.3,heating_done_uncertain,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau,0.3,leg_residual_not_done,peak_recently_passed;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.00282,0.94282,,,post_forward_incomplete,90_95,5_10,post_peak_0_5_1_5h,room_0_1,at_high,16,0.9303919466189118,0.9303919466189118,-0.012428053381088211,False
