snapshot_ts_utc,city,target_date,leg,bracket,unit,win,entry_price,p_market_entry_v1,p_heating_done_score_v1,p_leg_win_physical_lodo_v1,p_leg_win_physical_expanding_v1,p_leg_win_physical_v1,local_time_float,forecast_peak_delta_hours_local,forecast_gap_to_running_native,decline_native,target_distance_native,forecast_margin_to_target_native,metar_obs_count_today,running_value,leg.1,unit.1,path_state,peak_delta_bucket,forecast_gap_bucket,fee_per_share,cost_per_share,p_model,model_edge_per_share,pnl_per_share,roi,pred_name,scope,edge_threshold,is_leaky_eval
2026-06-30T07:26:03Z,TelAviv,2026-06-30,d1_no,31,C,1.0,0.71,0.71,1e-06,0.8034345353394265,,0.7811257808968285,15.433333333333334,-3.57,2.3999999999999986,0.0,1.0,-1.3999999999999986,21,30,d1_no,C,at_high,peak_gt1h_ahead,room_gt2,0.0103,0.7202999999999999,0.8034345353394265,0.08313453533942661,0.27970000000000006,0.38831042621130096,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,TelAviv,2026-06-30,d2_no,32,C,0.0,0.49,0.49,1e-06,0.8128942977956926,,0.7968430428542219,15.433333333333334,-3.57,2.3999999999999986,0.0,2.0,-0.3999999999999986,21,30,d2_no,C,at_high,peak_gt1h_ahead,room_gt2,0.0125,0.5025,0.8128942977956926,0.3103942977956926,-0.5025,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Warsaw,2026-06-30,d3_no,30,C,1.0,0.93,0.93,1e-06,0.9713917874365252,,0.9797352702670404,15.433333333333334,-6.57,6.399999999999999,5.0,3.0,-3.3999999999999986,19,27,d3_no,C,decline,peak_gt1h_ahead,room_gt2,0.00325,0.93325,0.9713917874365252,0.03814178743652519,0.06674999999999998,0.07152424323600319,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Amsterdam,2026-06-30,d2_no,21,C,1.0,0.687,0.687,1e-06,0.848004489291386,,0.8450283134147241,16.033333333333335,-4.97,2.3999999999999986,0.0,2.0,-0.3999999999999986,20,19,d2_no,C,at_high,peak_gt1h_ahead,room_gt2,0.01075,0.6977500000000001,0.848004489291386,0.15025448929138596,0.3022499999999999,0.43317807237549244,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Amsterdam,2026-06-30,d3_no,22,C,0.0,0.52,0.52,0.35,0.8813328515618722,,0.8727131981108254,16.033333333333335,-4.97,2.3999999999999986,0.0,3.0,0.6000000000000014,20,19,d3_no,C,at_high,peak_gt1h_ahead,room_gt2,0.01248,0.5324800000000001,0.8813328515618722,0.3488528515618722,-0.5324800000000001,-1.0,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Helsinki,2026-06-30,current_yes,24,C,0.0,0.031,0.031,1e-06,0.2949978445931617,,0.2604875746026351,16.033333333333335,-5.97,2.0,0.0,0.0,-2.0,22,24,current_yes,C,at_high,peak_gt1h_ahead,room_1_2,0.0015,0.0325,0.2949978445931617,0.2624978445931617,-0.0325,-1.0,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Helsinki,2026-06-30,d2_no,26,C,0.0,0.72,0.72,0.2,0.7606503809037385,,0.7488948385406597,16.033333333333335,-5.97,2.0,0.0,2.0,0.0,22,24,d2_no,C,at_high,peak_gt1h_ahead,room_1_2,0.01008,0.73008,0.7606503809037385,0.030570380903738537,-0.73008,-1.0,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Helsinki,2026-06-30,d3_no,27,C,1.0,0.39,0.39,0.45,0.8088146534404744,,0.7894749080575825,16.033333333333335,-5.97,2.0,0.0,3.0,1.0,22,24,d3_no,C,at_high,peak_gt1h_ahead,room_1_2,0.0119,0.40190000000000003,0.8088146534404744,0.4069146534404744,0.5981,1.4881811395869617,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Jeddah,2026-06-30,current_yes,39,C,0.0,0.1,0.1,1e-06,0.2854163373792198,,0.2475002701828272,16.033333333333335,-1.97,2.3999999999999986,0.0,0.0,-2.3999999999999986,12,39,current_yes,C,at_high,peak_gt1h_ahead,room_gt2,0.0045,0.10450000000000001,0.2854163373792198,0.18091633737921978,-0.10450000000000001,-1.0,lodo,all_lodo,0.0,False
2026-06-30T08:02:37Z,Jeddah,2026-06-30,d1_no,40+,C,0.0,0.11,0.11,1e-06,0.7405257586124216,,0.7170212796998348,16.033333333333335,-1.97,2.3999999999999986,0.0,1.0,-1.3999999999999986,12,39,d1_no,C,at_high,peak_gt1h_ahead,room_gt2,0.0049,0.1149,0.7405257586124216,0.6256257586124216,-0.1149,-1.0,lodo,all_lodo,0.0,False
