city,target_date,states,complete_identity_states,complete_quoted_states,absolute_eligible_states,distinct_ladder_signatures,fixed_ladder_proven,all_states_complete_quoted,fixed_complete_ladder_proven,pre_cutoff
BuenosAires,2026-07-01,2,0,0,0,2,False,False,False,False
BuenosAires,2026-07-02,3,0,0,0,2,False,False,False,False
BuenosAires,2026-07-03,5,0,0,0,4,False,False,False,False
BuenosAires,2026-07-05,7,0,0,0,6,False,False,False,False
BuenosAires,2026-07-06,5,0,0,0,5,False,False,False,False
BuenosAires,2026-07-07,5,0,0,0,4,False,False,False,False
Busan,2026-06-26,1,0,0,0,1,False,False,False,False
Busan,2026-06-27,1,0,0,0,1,False,False,False,False
Busan,2026-06-30,8,0,0,0,6,False,False,False,False
Busan,2026-07-02,3,0,0,0,2,False,False,False,False
Busan,2026-07-03,2,0,0,0,2,False,False,False,False
Busan,2026-07-05,7,0,0,0,4,False,False,False,False
Busan,2026-07-06,8,0,0,0,5,False,False,False,False
Busan,2026-07-07,8,0,0,0,3,False,False,False,False
CapeTown,2026-06-29,1,0,0,0,1,False,False,False,False
CapeTown,2026-06-30,7,0,0,0,5,False,False,False,False
CapeTown,2026-07-01,7,0,0,0,3,False,False,False,False
CapeTown,2026-07-02,5,0,0,0,4,False,False,False,False
CapeTown,2026-07-03,8,0,0,0,4,False,False,False,False
CapeTown,2026-07-05,6,0,0,0,4,False,False,False,False
CapeTown,2026-07-06,5,0,0,0,5,False,False,False,False
CapeTown,2026-07-07,3,0,0,0,3,False,False,False,False
Chengdu,2026-06-27,1,0,0,0,1,False,False,False,False
Chengdu,2026-06-30,2,0,0,0,2,False,False,False,False
Chengdu,2026-07-01,8,3,3,3,6,False,False,False,False
Chengdu,2026-07-02,2,0,0,0,1,True,False,False,False
Chengdu,2026-07-05,7,0,0,0,6,False,False,False,False
Chengdu,2026-07-06,8,0,0,0,5,False,False,False,False
Chengdu,2026-07-07,5,0,0,0,4,False,False,False,False
Chongqing,2026-06-27,1,0,0,0,1,False,False,False,False
Chongqing,2026-06-30,7,0,0,0,5,False,False,False,False
Chongqing,2026-07-01,3,0,0,0,2,False,False,False,False
Chongqing,2026-07-02,2,0,0,0,1,True,False,False,False
Chongqing,2026-07-05,7,0,0,0,6,False,False,False,False
Chongqing,2026-07-06,8,0,0,0,5,False,False,False,False
Chongqing,2026-07-07,1,0,0,0,1,False,False,False,False
