scope,method,edge_threshold,selected_rows,dates,cities,avg_rows_per_date,avg_ask,avg_edge,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate,losing_days,worst_day_pnl,worst_day_roi,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
dev_cv,mkt_path_core_blend,0.05,206,19,32,10.842105263157896,0.47647087378640773,0.07695748113824082,0.529126213592233,98.15299999999999,10.846999999999998,0.1105111407700223,-0.01572355723916672,0.23057267333278142,0.5789473684210527,8,-1.6,-0.3478260869565218,29,55,77,45
dev_cv,mkt_regime_blend,0.05,352,19,36,18.526315789473685,0.49580397727272735,0.07557959174143604,0.5568181818181818,174.52300000000002,21.477,0.12306114380339553,0.000675221855668475,0.229086541210975,0.6842105263157895,6,-5.322,-0.5709075305728385,70,85,138,59
dev_cv,loo_no_city_source_blend,0.1,40,17,20,2.3529411764705883,0.4154,0.1449960709581713,0.4,16.616,-0.6159999999999995,-0.037072701011073635,-0.4010568800907026,0.3104815772339097,0.4117647058823529,10,-1.26,-1.0,6,15,11,8
dev_cv,loo_no_regime_blend,0.1,40,16,17,2.5,0.364175,0.14096832421877736,0.45,14.567,3.433,0.23566966430974118,-0.13493128293449178,0.6745518016725123,0.5,8,-1.26,-1.0,1,20,13,6
dev_cv,market_local_norm,0.1,5,5,5,1.0,0.18180000000000002,0.1869821293408275,0.4,0.909,1.091,1.2002200220022001,-1.0,3.0858018386108275,0.4,3,-0.18,-1.0,0,3,2,0
dev_cv,market_recal_blend,0.1,19,13,14,1.4615384615384615,0.37331578947368427,0.1401595098998031,0.42105263157894735,7.093000000000001,0.9069999999999999,0.12787255040180456,-0.4444249194552563,0.7128267873335282,0.5384615384615384,6,-0.89,-1.0,1,3,8,7
dev_cv,mkt_boundary_blend,0.1,28,12,12,2.3333333333333335,0.41703571428571434,0.1369255147082587,0.4642857142857143,11.677000000000001,1.3230000000000002,0.11329964888241843,-0.32893650287719167,0.5702569217651505,0.5,6,-1.097,-0.5231282784930854,0,14,8,6
dev_cv,mkt_city_source_blend,0.1,60,19,23,3.1578947368421053,0.40435000000000004,0.13440364161716273,0.4,24.261000000000003,-0.26099999999999973,-0.010758006677383443,-0.362481290280011,0.42826657878664615,0.47368421052631576,10,-2.7079999999999997,-1.0,10,23,15,12
dev_cv,mkt_meteo_blend,0.1,34,16,15,2.125,0.39076470588235296,0.14134045528312125,0.4411764705882353,13.286000000000001,1.714,0.1290079783230468,-0.23016887353660268,0.5704442462602111,0.5625,7,-1.26,-1.0,3,18,8,5
dev_cv,mkt_path_core_blend,0.1,30,14,16,2.142857142857143,0.41066666666666657,0.13316935210560452,0.4666666666666667,12.319999999999997,1.6800000000000004,0.13636363636363644,-0.2717580533307317,0.6612506416899936,0.5,7,-1.1,-1.0,2,14,7,7
dev_cv,mkt_regime_blend,0.1,40,17,20,2.3529411764705883,0.4154,0.1449960709581713,0.4,16.616,-0.6159999999999995,-0.037072701011073635,-0.4010568800907026,0.3104815772339097,0.4117647058823529,10,-1.26,-1.0,6,15,11,8
extension_forward,loo_no_city_source_blend,0.0,23,2,8,11.5,0.4197826086956522,0.01950660659080523,0.43478260869565216,9.655000000000001,0.3449999999999998,0.035732780942516806,,,0.5,1,-0.684,-0.4061757719714964,11,2,4,6
extension_forward,loo_no_regime_blend,0.0,20,2,8,10.0,0.35609999999999997,0.012370944742965264,0.35,7.122,-0.12200000000000011,-0.01713001965739962,,,0.5,1,-0.684,-0.4061757719714964,9,2,4,5
extension_forward,market_local_norm,0.0,2,1,1,2.0,0.18,0.027676154509947634,0.0,0.36,-0.36,-1.0,,,0.0,1,-0.36,-1.0,0,1,1,0
extension_forward,market_recal_blend,0.0,20,2,8,10.0,0.5012,0.015707735952686208,0.6,10.024,1.976,0.1971268954509178,,,1.0,0,0.15800000000000003,0.08577633007600435,7,3,2,8
extension_forward,mkt_boundary_blend,0.0,20,2,8,10.0,0.37494999999999995,0.012571740577919478,0.35,7.498999999999999,-0.4990000000000001,-0.06654220562741701,,,0.5,1,-0.807,-1.0,9,4,3,4
extension_forward,mkt_city_source_blend,0.0,21,2,8,10.5,0.46452380952380956,0.019987787631075022,0.42857142857142855,9.755,-0.755,-0.07739620707329574,,,0.0,2,-0.684,-0.40617577197149646,7,2,4,8
extension_forward,mkt_meteo_blend,0.0,22,2,8,11.0,0.37768181818181823,0.014307404286505836,0.4090909090909091,8.309000000000001,0.6909999999999998,0.0831628354796004,,,0.5,1,-0.807,-1.0,11,2,4,5
extension_forward,mkt_path_core_blend,0.0,19,2,8,9.5,0.36921052631578943,0.016097809857464868,0.3157894736842105,7.015,-1.015,-0.14468995010691374,,,0.5,1,-1.121,-0.18314000980231987,8,3,3,5
extension_forward,mkt_regime_blend,0.0,23,2,8,11.5,0.4197826086956522,0.01950660659080523,0.43478260869565216,9.655000000000001,0.3449999999999998,0.035732780942516806,,,0.5,1,-0.684,-0.4061757719714964,11,2,4,6
extension_forward,loo_no_city_source_blend,0.02,10,2,5,5.0,0.591,0.03376400072320547,0.6,5.91,0.09000000000000008,0.015228426395939099,,,0.5,1,-0.79,-1.0,1,2,3,4
extension_forward,loo_no_regime_blend,0.02,3,2,3,1.5,0.35433333333333333,0.038209348094425465,0.3333333333333333,1.063,-0.06300000000000001,-0.059266227657572924,,,0.0,2,-0.05000000000000002,-0.04761904761904763,1,1,0,1
extension_forward,market_local_norm,0.02,1,1,1,1.0,0.17,0.040280374569831384,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,market_recal_blend,0.02,6,2,5,3.0,0.5818333333333333,0.033870071982591815,0.6666666666666666,3.4909999999999997,0.5089999999999999,0.14580349470065881,,,1.0,0,0.121,0.13765642775881684,1,1,0,4
extension_forward,mkt_boundary_blend,0.02,3,1,3,3.0,0.62,0.0334998358731132,0.6666666666666666,1.86,0.13999999999999993,0.07526881720430104,,,1.0,0,0.13999999999999993,0.07526881720430104,0,1,0,2
extension_forward,mkt_city_source_blend,0.02,7,2,6,3.5,0.6085714285714285,0.039594315859182376,0.42857142857142855,4.26,-1.26,-0.29577464788732394,,,0.0,2,-0.79,-1.0,0,2,1,4
extension_forward,mkt_meteo_blend,0.02,6,2,5,3.0,0.5521666666666666,0.02905724199219246,0.6666666666666666,3.3129999999999997,0.687,0.2073649260488983,,,0.5,1,-0.013,-1.0,1,1,0,4
extension_forward,mkt_path_core_blend,0.02,9,2,5,4.5,0.5791111111111111,0.028485304005929628,0.5555555555555556,5.212,-0.21200000000000008,-0.04067536454336149,,,0.0,2,-0.21000000000000013,-0.04030710172744724,1,3,2,3
extension_forward,mkt_regime_blend,0.02,10,2,5,5.0,0.591,0.03376400072320547,0.6,5.91,0.09000000000000008,0.015228426395939099,,,0.5,1,-0.79,-1.0,1,2,3,4
extension_forward,loo_no_city_source_blend,0.05,1,1,1,1.0,0.17,0.07234995570829109,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,loo_no_regime_blend,0.05,1,1,1,1.0,0.17,0.06303463181761274,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,mkt_boundary_blend,0.05,1,1,1,1.0,0.17,0.051680267713264644,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,mkt_city_source_blend,0.05,1,1,1,1.0,0.17,0.07589238288448721,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,mkt_meteo_blend,0.05,1,1,1,1.0,0.17,0.054761738852044856,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,mkt_path_core_blend,0.05,1,1,1,1.0,0.17,0.052939771959047116,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
extension_forward,mkt_regime_blend,0.05,1,1,1,1.0,0.17,0.07234995570829109,0.0,0.17,-0.17,-1.0,,,0.0,1,-0.17,-1.0,0,1,0,0
verified_forward,loo_no_city_source_blend,0.0,1329,15,36,88.6,0.4142874341610233,0.027118597534457636,0.41911211437170803,550.588,6.411999999999996,0.011645731472534811,-0.054219616391549236,0.0807827214306729,0.4666666666666667,8,-10.749,-0.22511466208716413,387,439,266,237
verified_forward,loo_no_regime_blend,0.0,1333,15,36,88.86666666666666,0.41676069017254314,0.026232146603192185,0.41710427606901723,555.542,0.4579999999999984,0.0008244201158508238,-0.059342775023174005,0.06370238496884952,0.5333333333333333,7,-10.104,-0.24581549240949785,378,419,295,241
verified_forward,market_local_norm,0.0,345,15,36,23.0,0.17998260869565216,0.032142942324925934,0.1565217391304348,62.093999999999994,-8.094000000000001,-0.13035075852739397,-0.32059149300371714,0.03912403439689973,0.4,9,-4.913,-0.620877037785922,2,239,87,17
verified_forward,market_recal_blend,0.0,1176,15,36,78.4,0.6245212585034013,0.01989980129020793,0.6241496598639455,734.437,-0.4369999999999976,-0.0005950135954479385,-0.03600358727186106,0.03765838794708031,0.6,6,-8.972,-0.11218926624318512,324,194,228,430
verified_forward,mkt_boundary_blend,0.0,1233,15,36,82.2,0.37296512570965124,0.022064686188315984,0.36901865369018655,459.866,-4.8660000000000005,-0.01058134326086295,-0.07687175437105277,0.06061202901765616,0.4666666666666667,8,-9.524000000000001,-0.24096751340957395,365,407,264,197
