scope,method,target_date,rows,cities,cost,pnl,roi,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
dev_cv,loo_no_regime_blend,2026-06-08,47,26,26.77,-1.7700000000000002,-0.06611878968995145,14,14,12,7
dev_cv,loo_no_regime_blend,2026-06-09,56,27,31.598,6.402000000000001,0.2026077599848092,16,6,23,11
dev_cv,loo_no_regime_blend,2026-06-10,49,24,29.700000000000003,1.3000000000000003,0.04377104377104377,11,13,16,9
dev_cv,loo_no_regime_blend,2026-06-11,62,28,35.55100000000001,4.449,0.12514415909538407,17,13,21,11
dev_cv,loo_no_regime_blend,2026-06-12,58,26,32.162,4.837999999999999,0.1504259685342951,14,11,24,9
dev_cv,loo_no_regime_blend,2026-06-13,56,29,31.750999999999998,1.2490000000000006,0.03933734370571008,18,9,11,18
dev_cv,loo_no_regime_blend,2026-06-14,56,27,32.36,-0.3599999999999999,-0.011124845488257104,16,7,18,15
dev_cv,loo_no_regime_blend,2026-06-15,43,23,21.525000000000006,3.4750000000000005,0.1614401858304297,14,11,11,7
dev_cv,loo_no_regime_blend,2026-06-16,54,26,28.816999999999997,-1.8169999999999997,-0.0630530589582538,4,31,6,13
dev_cv,loo_no_regime_blend,2026-06-17,52,29,24.494,-1.4940000000000007,-0.060994529272474916,18,18,9,7
dev_cv,loo_no_regime_blend,2026-06-18,38,18,21.727000000000004,5.273000000000001,0.24269342292999493,7,7,14,10
dev_cv,loo_no_regime_blend,2026-06-19,59,28,25.993000000000002,-6.9929999999999986,-0.269033970684415,12,23,15,9
dev_cv,loo_no_regime_blend,2026-06-20,31,17,16.083000000000002,7.917,0.4922589069203506,7,6,9,9
dev_cv,market_local_norm,2026-06-02,2,2,0.75,-0.75,-1.0,0,1,1,0
dev_cv,market_local_norm,2026-06-04,2,2,0.39,-0.39,-1.0,0,0,2,0
dev_cv,market_local_norm,2026-06-05,4,4,1.6109999999999998,1.3890000000000002,0.8621973929236502,0,1,2,1
dev_cv,market_local_norm,2026-06-06,4,4,1.3900000000000001,1.6100000000000003,1.1582733812949642,0,3,0,1
dev_cv,market_local_norm,2026-06-07,1,1,0.18,0.8200000000000001,4.555555555555556,0,1,0,0
dev_cv,market_local_norm,2026-06-09,3,3,1.25,0.75,0.6,0,2,1,0
dev_cv,market_local_norm,2026-06-10,2,2,1.01,0.99,0.9801980198019802,0,0,2,0
dev_cv,market_local_norm,2026-06-11,1,1,0.32,-0.32,-1.0,0,0,1,0
dev_cv,market_local_norm,2026-06-12,1,1,0.26,-0.26,-1.0,0,0,1,0
dev_cv,market_local_norm,2026-06-13,1,1,0.383,-0.383,-1.0,0,1,0,0
dev_cv,market_local_norm,2026-06-15,3,3,0.62,-0.62,-1.0,0,1,2,0
dev_cv,market_local_norm,2026-06-16,4,4,0.55,0.4500000000000001,0.8181818181818183,0,4,0,0
dev_cv,market_local_norm,2026-06-17,7,7,2.249,1.751,0.7785682525566918,0,3,4,0
dev_cv,market_local_norm,2026-06-18,6,4,2.0700000000000003,-0.06999999999999998,-0.03381642512077293,0,3,2,1
dev_cv,market_local_norm,2026-06-19,10,7,1.586,-0.5860000000000001,-0.36948297604035313,2,6,2,0
dev_cv,market_local_norm,2026-06-20,8,8,1.52,0.48,0.3157894736842105,1,5,2,0
dev_cv,market_recal_blend,2026-06-02,42,25,29.637,4.363,0.1472146303606978,3,2,25,12
dev_cv,market_recal_blend,2026-06-03,35,20,18.675000000000004,-0.675,-0.036144578313253004,5,1,21,8
dev_cv,market_recal_blend,2026-06-04,47,24,28.698999999999998,-6.699,-0.2334227673438099,6,1,27,13
dev_cv,market_recal_blend,2026-06-05,39,25,24.69,1.31,0.0530579181855002,4,1,17,17
dev_cv,market_recal_blend,2026-06-06,31,21,14.599,-0.5990000000000001,-0.041030207548462226,9,4,12,6
dev_cv,market_recal_blend,2026-06-07,31,20,17.935,1.0650000000000004,0.05938109841092838,4,3,13,11
dev_cv,market_recal_blend,2026-06-08,26,19,17.665999999999997,0.3340000000000003,0.018906373825427394,3,0,11,12
dev_cv,market_recal_blend,2026-06-09,32,21,17.712,1.2879999999999998,0.07271906052393856,4,3,15,10
dev_cv,market_recal_blend,2026-06-10,35,19,20.874,-3.8740000000000006,-0.18558972884928623,7,1,13,14
dev_cv,market_recal_blend,2026-06-11,36,22,23.146999999999995,-1.1470000000000002,-0.04955285782174798,6,2,16,12
dev_cv,market_recal_blend,2026-06-12,43,28,26.183000000000003,1.8170000000000004,0.06939617308940917,15,3,10,15
dev_cv,market_recal_blend,2026-06-13,36,23,20.508,0.4920000000000002,0.023990637799882985,13,3,7,13
dev_cv,market_recal_blend,2026-06-14,29,26,18.078000000000003,-3.0780000000000007,-0.17026219714570198,5,2,10,12
dev_cv,market_recal_blend,2026-06-15,18,15,9.533,1.467,0.15388649952795555,7,2,3,6
dev_cv,market_recal_blend,2026-06-16,23,19,13.826,-0.8260000000000001,-0.05974251410386229,1,6,5,11
dev_cv,market_recal_blend,2026-06-17,22,19,12.189,2.811,0.23061777012060053,3,7,7,5
dev_cv,market_recal_blend,2026-06-18,29,16,16.821,-0.8209999999999998,-0.048808037572082505,5,4,8,12
dev_cv,market_recal_blend,2026-06-19,39,20,15.758,-4.758000000000001,-0.3019418707957863,9,8,13,9
dev_cv,market_recal_blend,2026-06-20,23,16,10.420000000000002,-0.4200000000000005,-0.04030710172744726,3,5,9,6
dev_cv,mkt_boundary_blend,2026-06-02,42,23,24.060999999999996,2.939,0.12214787415319399,5,1,24,12
