scope,method,slice,value,rows,dates,cost,pnl,roi,roi_ci_low,roi_ci_high
dev_cv,mkt_path_core_blend,actual_bucket,current,228,19,112.681,28.319000000000003,0.25132009833068575,0.09389300237008608,0.40445743309538257
dev_cv,mkt_path_core_blend,actual_bucket,d1,247,19,122.22099999999999,-39.221000000000004,-0.3209022999320903,-0.45994637853597886,-0.1703670079464488
dev_cv,mkt_path_core_blend,actual_bucket,d2,144,18,88.499,2.5009999999999994,0.028260206330015025,-0.15249257235306357,0.22018602923726485
dev_cv,mkt_path_core_blend,actual_bucket,tail,106,19,68.599,28.401000000000007,0.41401478155658256,0.34156995278717484,0.48736556107522416
dev_cv,mkt_path_core_blend,ask_bucket,0-0.25,118,19,16.471,6.528999999999999,0.3963936615870317,-0.0639384143134107,1.0258700191855248
dev_cv,mkt_path_core_blend,ask_bucket,0.25-0.50,177,19,68.852,-1.8519999999999985,-0.026898274559925616,-0.2995910437044945,0.23084957143456228
dev_cv,mkt_path_core_blend,ask_bucket,0.50-0.75,262,19,167.417,11.583000000000002,0.06918652227671027,-0.011837806290170918,0.1413469399912195
dev_cv,mkt_path_core_blend,ask_bucket,0.75-1.00,168,19,139.26000000000002,3.7399999999999984,0.02685624012638229,-0.04583346093126826,0.09607213529338074
dev_cv,mkt_path_core_blend,day_regime,day_forecast_busted,153,19,74.54599999999999,5.454,0.07316287929600515,-0.05669150552505163,0.20529645047722045
dev_cv,mkt_path_core_blend,day_regime,day_forecast_capped,159,19,81.375,-4.375,-0.053763440860215055,-0.2617802928182733,0.12199560733802438
dev_cv,mkt_path_core_blend,day_regime,day_marginal_runway,146,19,82.595,1.4049999999999994,0.01701071493431805,-0.10025080191127585,0.13186526129382037
dev_cv,mkt_path_core_blend,day_regime,day_open_runway,267,19,153.48399999999998,17.516,0.11412264470563707,0.011283257300341624,0.2155436408974024
dev_cv,mkt_path_core_blend,edge_bucket,0.02-0.05,519,19,293.84700000000004,9.153,0.031148863183901823,-0.04510119211668014,0.1055516668878258
dev_cv,mkt_path_core_blend,edge_bucket,0.05-0.10,176,19,85.833,9.167000000000002,0.10680041475889229,0.0020106035972629133,0.21106206509034364
dev_cv,mkt_path_core_blend,edge_bucket,0.10+,30,14,12.319999999999997,1.6800000000000004,0.13636363636363644,-0.2717580533307317,0.6612506416899936
dev_cv,mkt_path_core_blend,expression,current_no,157,19,66.401,3.599,0.0542009909489315,-0.07114224671730121,0.2261600102820676
dev_cv,mkt_path_core_blend,expression,current_yes,154,19,74.26400000000001,8.735999999999999,0.11763438543574273,-0.05840370766198222,0.32208911784102195
dev_cv,mkt_path_core_blend,expression,d1_no,260,19,141.815,1.1850000000000005,0.008355956704156828,-0.08093789617494146,0.10811615028601103
dev_cv,mkt_path_core_blend,expression,d2_no,154,19,109.52000000000001,6.48,0.0591672753834916,-0.05644495219444839,0.1713149379797157
dev_cv,mkt_path_core_blend,intraday_state,active_warming,370,19,201.99599999999998,12.004,0.059426919344937525,-0.0161587115208852,0.13424940413093023
dev_cv,mkt_path_core_blend,intraday_state,false_fade_risk,72,19,39.939,2.061,0.05160369563584466,-0.09475592198989966,0.22616276642559022
dev_cv,mkt_path_core_blend,intraday_state,fresh_high,135,19,71.091,0.9090000000000003,0.012786428661855935,-0.2247385191940808,0.21086164977043415
dev_cv,mkt_path_core_blend,intraday_state,mature_fade,32,14,18.643,1.357,0.07278871426272596,-0.2019817931287706,0.36253046961915975
dev_cv,mkt_path_core_blend,intraday_state,plateau_near_high,84,19,42.168000000000006,4.831999999999999,0.11458926199962052,-0.0800721905178262,0.271830744038623
dev_cv,mkt_path_core_blend,intraday_state,pullback_uncertain,17,10,9.731,1.2689999999999997,0.13040797451443836,-0.1059886761956251,0.32216277541518906
dev_cv,mkt_path_core_blend,intraday_state,reheating_after_dip,12,8,6.5920000000000005,-1.592,-0.24150485436893204,-0.6478896164653639,0.23092783505154627
dev_cv,mkt_path_core_blend,intraday_state,slow_warming,2,2,1.03,-1.03,-1.0,,
dev_cv,mkt_path_core_blend,intraday_state,state_unknown,1,1,0.81,0.18999999999999995,0.23456790123456783,,
dev_cv,mkt_path_core_blend,moisture_cloud_regime,cloud_suppression,45,16,24.223000000000003,-1.2229999999999999,-0.050489204475085654,-0.2948509470653638,0.18638732330262153
dev_cv,mkt_path_core_blend,moisture_cloud_regime,dry_heat_inertia,122,19,62.745000000000005,0.25500000000000034,0.004064068850107583,-0.11502897615699051,0.13250378842575178
dev_cv,mkt_path_core_blend,moisture_cloud_regime,humid_convective_risk,117,19,67.11300000000001,1.887000000000001,0.02811675830316035,-0.10859286359341731,0.1645323351126319
dev_cv,mkt_path_core_blend,moisture_cloud_regime,humid_overcast_suppression,32,11,16.432000000000002,5.568,0.3388510223953261,0.04830684755472299,0.5639711109224961
dev_cv,mkt_path_core_blend,moisture_cloud_regime,mixed_moisture,408,19,220.67700000000002,13.322999999999997,0.0603733057817534,-0.010789867615929781,0.13212506416909714
dev_cv,mkt_path_core_blend,moisture_cloud_regime,moisture_cloud_unknown,1,1,0.81,0.18999999999999995,0.23456790123456783,,
dev_cv,mkt_path_core_blend,running_max_state,fresh_running_high,424,19,226.668,14.331999999999997,0.06322903982917746,-0.01861559430232195,0.13765288744065562
dev_cv,mkt_path_core_blend,running_max_state,mature_fade,83,19,47.370999999999995,1.6290000000000004,0.03438812775748877,-0.12557755928089598,0.18653127303903838
dev_cv,mkt_path_core_blend,running_max_state,near_high_plateau,4,3,2.5100000000000002,-0.51,-0.20318725099601592,-1.0,0.23456790123456783
dev_cv,mkt_path_core_blend,running_max_state,pullback_from_high,53,18,29.663,1.3370000000000009,0.04507298654889933,-0.11811113581606013,0.24227723011961366
dev_cv,mkt_path_core_blend,running_max_state,running_max_clock_unknown,10,6,6.09,0.9099999999999998,0.14942528735632182,-0.569938523174691,0.6304347826086956
dev_cv,mkt_path_core_blend,running_max_state,stalled_high,151,19,79.69800000000002,2.3020000000000014,0.02888403724058321,-0.09454345251756582,0.16065003346097523
dev_cv,mkt_path_core_blend,wind_regime,light_wind,435,19,234.243,4.756999999999999,0.02030797078247802,-0.06250566956036101,0.09234422431019756
dev_cv,mkt_path_core_blend,wind_regime,moderate_wind,252,19,140.03300000000002,14.966999999999999,0.10688194925481849,0.008631834571823357,0.20644200652566094
dev_cv,mkt_path_core_blend,wind_regime,wind_unknown,1,1,0.81,0.18999999999999995,0.23456790123456783,,
dev_cv,mkt_path_core_blend,wind_regime,windy_mixing_noise,37,11,16.913999999999998,0.08600000000000052,0.005084545347049813,-0.4763076441139414,0.45210593286975886
dev_cv,mkt_regime_blend,actual_bucket,current,370,19,192.188,47.812,0.2487772389535247,0.1419230419085304,0.3497517524227521
dev_cv,mkt_regime_blend,actual_bucket,d1,365,19,187.189,-44.189,-0.23606622183995854,-0.32590313908052937,-0.15428622920342097
dev_cv,mkt_regime_blend,actual_bucket,d2,207,19,117.469,6.531000000000001,0.05559764703879322,-0.07325121373275516,0.17953449042319092
dev_cv,mkt_regime_blend,actual_bucket,tail,126,19,76.676,30.324,0.3954822891126298,0.3396457257902025,0.4578564975603414
dev_cv,mkt_regime_blend,ask_bucket,0-0.25,196,19,21.846000000000004,6.154,0.2816991668955415,-0.15216727609700226,0.7559943640569848
dev_cv,mkt_regime_blend,ask_bucket,0.25-0.50,224,19,88.97200000000001,5.028,0.056512161129344055,-0.1587659490762951,0.2544102850037117
dev_cv,mkt_regime_blend,ask_bucket,0.50-0.75,392,19,251.79000000000002,18.209999999999997,0.07232217323960441,0.007928700921683275,0.12753972227363694
dev_cv,mkt_regime_blend,ask_bucket,0.75-1.00,256,19,210.914,11.085999999999999,0.05256170761542619,-0.0051964237978590734,0.10686619566920534
dev_cv,mkt_regime_blend,day_regime,day_forecast_busted,233,19,116.906,5.094,0.043573469283013706,-0.1044712957215307,0.17926174610128712
dev_cv,mkt_regime_blend,day_regime,day_forecast_capped,237,19,128.174,18.826,0.1468784620905956,0.02938278464347027,0.25402656356878484
