target_date,jma_observation_jst,jma_first_seen_jst,decision_jst,first_seen_latency_seconds,book_after_first_seen_seconds,current_bracket,evaluation_status,not_scorable_reason,captured_brackets,jma_temp_c,jma_running_max_c,jma_slope_60m_cph,minutes_since_jma_strict_high,prior_metar_temp_c,prior_metar_running_max_c,official_last_obs_utc,official_snapshot_fetched_at_utc,no_bid,no_ask,no_mid,fee_per_share,model_p_no_v2,edge_after_fee_v2,would_enter_v2,model_p_no_no_floor,edge_after_fee_no_floor,would_enter_no_floor,final_bracket,no_label,v2_prediction_correct_at_050,availability_clock_class,book_snapshot_id,capture_cycle_id,source_payload_hash
2026-08-01,2026-08-01T11:40:00+09:00,2026-08-01T11:47:30.264036+09:00,2026-08-01T11:48:07.090925+09:00,450.264,36.827,32,scored,,,32.1,32.1,1.2000000000000028,0.0,32.0,32.0,2026-08-01T02:30:00+00:00,2026-08-01T02:46:29.660468+00:00,0.97,0.988,0.979,0.00059,0.9784037774253492,-0.01018622257465076,0,0.9784037774253492,-0.01018622257465076,0,35,1,1,collector_exact_hash_verified,,,bfb58cabbe21e3d7
2026-08-01,2026-08-01T11:50:00+09:00,2026-08-01T11:57:14.260103+09:00,2026-08-01T11:58:07.255457+09:00,434.26,52.995,32,scored,,,31.8,32.1,0.6000000000000014,10.0,32.0,32.0,2026-08-01T02:30:00+00:00,2026-08-01T02:56:50.963596+00:00,0.973,0.988,0.9804999999999999,0.00059,0.9756966350418691,-0.012893364958130892,0,0.9756966350418691,-0.012893364958130892,0,35,1,1,collector_exact_hash_verified,,,bb2053994b03efef
2026-08-01,2026-08-01T12:00:00+09:00,2026-08-01T12:06:48.044488+09:00,2026-08-01T12:07:06.964952+09:00,408.044,18.92,32,scored,,,32.1,32.1,0.9000000000000021,20.0,32.0,32.0,2026-08-01T02:30:00+00:00,2026-08-01T03:02:12.148442+00:00,0.973,0.988,0.9804999999999999,0.00059,0.9775251960538717,-0.01106480394612832,0,0.9775251960538717,-0.01106480394612832,0,35,1,1,collector_exact_hash_verified,,,2e0a596cfaf39952
2026-08-01,2026-08-01T12:10:00+09:00,2026-08-01T12:17:02.082209+09:00,2026-08-01T12:17:07.471359+09:00,422.082,5.389,32,scored,,,32.0,32.1,0.8999999999999986,30.0,32.0,32.0,2026-08-01T03:00:00+00:00,2026-08-01T03:13:17.372226+00:00,0.965,0.984,0.9744999999999999,0.00079,0.9702902488192516,-0.014499751180748354,0,0.9702902488192516,-0.014499751180748354,0,35,1,1,collector_exact_hash_verified,,,5b8026e1f3b1bf06
2026-08-01,2026-08-01T12:20:00+09:00,2026-08-01T12:27:10.716901+09:00,2026-08-01T12:28:06.900414+09:00,430.717,56.184,32,scored,,,31.8,32.1,0.5,40.0,32.0,32.0,2026-08-01T03:00:00+00:00,2026-08-01T03:23:58.321305+00:00,0.94,0.955,0.9475,0.00215,0.9309161258265447,-0.026233874173455254,0,0.9309161258265447,-0.026233874173455254,0,35,1,1,collector_exact_hash_verified,,,8318d8a3352a7746
2026-08-01,2026-08-01T12:30:00+09:00,2026-08-01T12:37:02.976566+09:00,2026-08-01T12:37:07.155195+09:00,422.977,4.179,32,scored,,,32.1,32.1,0.5,50.0,32.0,32.0,2026-08-01T03:00:00+00:00,2026-08-01T03:34:27.460916+00:00,0.93,0.951,0.9405,0.00233,0.921010918573914,-0.032319081426085916,0,0.921010918573914,-0.032319081426085916,0,35,1,1,collector_exact_hash_verified,,,f39489ab1fd06789
2026-08-01,2026-08-01T12:40:00+09:00,2026-08-01T12:47:12.868936+09:00,2026-08-01T12:48:07.416884+09:00,432.869,54.548,32,scored,,,32.4,32.4,0.29999999999999716,0.0,32.0,32.0,2026-08-01T03:30:00+00:00,2026-08-01T03:45:03.951749+00:00,0.92,0.947,0.9335,0.00251,0.9013659712379514,-0.04814402876204858,0,0.9013659712379514,-0.04814402876204858,0,35,1,1,collector_exact_hash_verified,,,71f5176bd21df9ed
2026-08-01,2026-08-01T12:50:00+09:00,2026-08-01T12:56:45.175055+09:00,2026-08-01T12:57:06.800120+09:00,405.175,21.625,32,scored,,,32.5,32.5,0.6999999999999993,0.0,32.0,32.0,2026-08-01T03:30:00+00:00,2026-08-01T03:55:30.610314+00:00,0.954,0.976,0.965,0.00117,0.9624743236581095,-0.014695676341890503,0,0.9624743236581095,-0.014695676341890503,0,35,1,1,collector_exact_hash_verified,,,8e20b7a855803bc8
2026-08-01,2026-08-01T13:00:00+09:00,2026-08-01T13:07:15.008705+09:00,2026-08-01T13:08:07.336168+09:00,435.009,52.327,33,scored,,,33.0,33.0,0.8999999999999986,0.0,33.0,33.0,2026-08-01T04:00:00+00:00,2026-08-01T04:06:22.124186+00:00,0.86,0.92,0.89,0.00368,0.8741976971354377,-0.04948230286456233,0,0.8741976971354377,-0.04948230286456233,0,35,1,1,collector_exact_hash_verified,,,3acb8d74fbe268fa
2026-08-01,2026-08-01T13:10:00+09:00,2026-08-01T13:17:10.535708+09:00,2026-08-01T13:18:07.552632+09:00,430.536,57.017,33,scored,,,33.1,33.1,1.1000000000000014,0.0,33.0,33.0,2026-08-01T04:00:00+00:00,2026-08-01T04:16:48.983167+00:00,0.87,0.9,0.885,0.0045,0.8716802722026938,-0.03281972779730618,0,0.8716802722026938,-0.03281972779730618,0,35,1,1,collector_exact_hash_verified,,,b19e0cc3f6ec26c0
