window,arm,tie_band,capacity,rows,dates,cities,wins,win_rate,avg_ask,avg_calibrated_p,cost_5,pnl_5,roi,roi_ci_low,roi_ci_high,losing_days,le_minus_50pct_days,max_daily_loss_5,daily_pnl_p10,daily_pnl_median,daily_pnl_p90
recent_ge_2026_06_21,source_tiebreak,0.05,1,20,20,11,3,0.15,0.10574999999999998,0.14137982734388554,10.575000000000001,3.961803999999999,0.37463867612293134,-1.0441739391197897,1.8921699053807173,17,17,-0.96269375,-0.7642618999999999,-0.43011996875,4.045048124999999
recent_ge_2026_06_21,overshoot_tiebreak,0.01,1,20,20,11,3,0.15,0.10574999999999998,0.14137982734388554,10.575000000000001,3.961803999999999,0.37463867612293134,-1.0441739391197897,1.8921699053807173,17,17,-0.96269375,-0.7642618999999999,-0.43011996875,4.045048124999999
recent_ge_2026_06_21,overshoot_tiebreak,0.02,1,20,20,11,3,0.15,0.10574999999999998,0.14137982734388554,10.575000000000001,3.961803999999999,0.37463867612293134,-1.0441739391197897,1.8921699053807173,17,17,-0.96269375,-0.7642618999999999,-0.43011996875,4.045048124999999
recent_ge_2026_06_21,overshoot_tiebreak,0.05,1,20,20,11,3,0.15,0.10574999999999998,0.14137982734388554,10.575000000000001,3.961803999999999,0.37463867612293134,-1.0441739391197897,1.8921699053807173,17,17,-0.96269375,-0.7642618999999999,-0.43011996875,4.045048124999999
recent_ge_2026_06_21,old,0.0,3,60,20,26,7,0.11666666666666667,0.10093333333333333,0.13430233583178294,30.279999999999998,3.3875308749999946,0.11187354276750314,-0.5482665314728002,0.8196787368530775,13,13,-2.00869375,-1.8634317187499998,-1.22496184375,3.521773156249999
recent_ge_2026_06_21,source_tiebreak,0.01,3,60,20,26,7,0.11666666666666667,0.10093333333333333,0.13430233583178294,30.28,3.3875308749999973,0.1118735427675032,-0.5482665314728002,0.8196787368530775,13,13,-2.00869375,-1.8634317187499998,-1.22496184375,3.521773156249999
recent_ge_2026_06_21,source_tiebreak,0.02,3,60,20,25,7,0.11666666666666667,0.10010833333333334,0.13428773267978494,30.0325,3.646419687499996,0.12141578914509268,-0.5408380137105988,0.8282925356672229,13,13,-2.00869375,-1.8634317187499998,-1.2102984375,3.521773156249999
recent_ge_2026_06_21,source_tiebreak,0.05,3,60,20,26,7,0.11666666666666667,0.10220000000000001,0.13419274729122144,30.66,2.9930523749999973,0.0976207558708414,-0.5684517362927686,0.8172831108161456,13,13,-2.21548125,-1.908928525,-1.3381895000000001,3.57173643125
recent_ge_2026_06_21,overshoot_tiebreak,0.01,3,60,20,26,7,0.11666666666666667,0.10093333333333333,0.13430233583178294,30.28,3.3875308749999973,0.1118735427675032,-0.5482665314728002,0.8196787368530775,13,13,-2.00869375,-1.8634317187499998,-1.22496184375,3.521773156249999
recent_ge_2026_06_21,overshoot_tiebreak,0.02,3,60,20,26,8,0.13333333333333333,0.099775,0.13426996470260485,29.932499999999997,8.750719687499995,0.2923484402405411,-0.386416820360059,1.044591625693103,12,12,-2.00869375,-1.8634317187499998,-1.1143579375,3.6792916
recent_ge_2026_06_21,overshoot_tiebreak,0.05,3,60,20,27,8,0.13333333333333333,0.10186666666666667,0.13417497931404135,30.56,8.097352374999996,0.264965719077225,-0.4215253649198895,1.042745408300548,12,12,-2.21548125,-1.908928525,-1.22496184375,3.6792916
recent_ge_2026_06_21,old,0.0,5,100,20,32,13,0.13,0.099925,0.13070102030379033,49.962500000000006,12.831088437499993,0.2568143795346508,-0.23295331269641276,0.7648719856124743,8,8,-3.0654979375,-2.8155176062500002,1.8197289062499995,2.67170785
recent_ge_2026_06_21,source_tiebreak,0.01,5,100,20,32,13,0.13,0.100175,0.130700678706225,50.0875,12.700869687499992,0.2535736398802095,-0.23668267189786277,0.7613202152856307,8,8,-3.0654979375,-2.8155176062500002,1.8197289062499995,2.67170785
recent_ge_2026_06_21,source_tiebreak,0.02,5,100,20,33,13,0.13,0.10064000000000001,0.1306688842515714,50.31999999999999,12.458619124999998,0.2475878204491256,-0.16029490414906603,0.6195294134317574,7,7,-3.0654979375,-2.63522033125,2.0184220625,2.6641799812499998
recent_ge_2026_06_21,source_tiebreak,0.05,5,100,20,35,14,0.14,0.09911500000000001,0.13057050164141581,49.557500000000005,18.250191312499997,0.3682629533874791,-0.13051922349973782,0.888496680472144,7,7,-2.7878773750000003,-2.6297119875,1.9665970625,2.67170785
recent_ge_2026_06_21,overshoot_tiebreak,0.01,5,100,20,32,13,0.13,0.100175,0.130700678706225,50.0875,12.700869687499992,0.2535736398802095,-0.23668267189786277,0.7613202152856307,8,8,-3.0654979375,-2.8155176062500002,1.8197289062499995,2.67170785
recent_ge_2026_06_21,overshoot_tiebreak,0.02,5,100,20,33,12,0.12,0.10154,0.13066185974195282,50.769999999999996,6.990619124999994,0.13769192682686615,-0.2836730709548689,0.5370632603099482,8,8,-3.26118125,-2.81563943125,1.8197289062499995,2.6641799812499998
recent_ge_2026_06_21,overshoot_tiebreak,0.05,5,100,20,35,13,0.13,0.100015,0.13058812727817076,50.0075,12.782191312499993,0.2556054854271858,-0.24772156385193353,0.7843666139224276,8,8,-3.26118125,-2.7383022812499997,1.7418789062499995,2.67170785
fresh_ge_2026_07_08,old,0.0,1,4,4,4,1,0.25,0.106375,0.14433616670747254,2.1275,2.7786825624999993,1.306078760282021,-1.0459663629160063,4.09465719178082,3,3,-0.5198999375000001,-0.5035108812500001,-0.420986875,2.7853781750000004
fresh_ge_2026_07_08,source_tiebreak,0.01,1,4,4,3,0,0.0,0.10112499999999999,0.14423021113969003,2.0225,-2.1126896875,-1.0445931705809641,-1.0459663629160063,-1.0432697696737043,4,4,-0.7508159999999999,-0.68154118125,-0.49258484375,-0.40327372499999997
fresh_ge_2026_07_08,source_tiebreak,0.02,1,4,4,3,0,0.0,0.10112499999999999,0.14423021113969003,2.0225,-2.1126896875,-1.0445931705809641,-1.0459663629160063,-1.0432697696737043,4,4,-0.7508159999999999,-0.68154118125,-0.49258484375,-0.40327372499999997
fresh_ge_2026_07_08,source_tiebreak,0.05,1,4,4,3,0,0.0,0.10112499999999999,0.14423021113969003,2.0225,-2.1126896875,-1.0445931705809641,-1.0459663629160063,-1.0432697696737043,4,4,-0.7508159999999999,-0.68154118125,-0.49258484375,-0.40327372499999997
