cell,leg,rows,dates,cities,avg_ask,settle_win,touch15,touch20,touch30,pump_die,hold_roi,hold_ci_lo,hold_ci_hi,tp20_roi,tp20_ci_lo,tp20_ci_hi,tp30_roi,top5_rm_hold,worst_day_hold,recent_hold_roi,recent_rows,maker_fill_rate_win,maker_fill_rate_lose,maker_roi_filled
A3_conflict,d2_yes,281,36,35,0.06170106761565837,0.021352313167259787,0.13167259786476868,0.09608540925266904,0.07473309608540925,0.07473309608540925,-0.6997527098357467,-0.9198968937306765,-0.40254313071607334,-0.76790261708283,-0.8742373504367719,-0.6431574455939734,-0.7175988057180627,-0.9552692789407765,-17.0,-1.0,17,0.0,0.9381818181818182,-1.0
A3_conflict,tail_yes,14,9,9,0.06078571428571428,0.0,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,-1.0,-1.0,-1.0,-0.8115079365079365,-1.0,-0.2958964646464631,-1.0,-1.0,-3.0,,0,,1.0,-1.0
A4_hot_city,d1_yes,377,39,12,0.05997877984084881,0.058355437665782495,0.09283819628647215,0.07427055702917772,0.07427055702917772,0.026525198938992044,-0.23145662974798595,-0.6145835617618256,0.20384771753871642,-0.6987675934354224,-0.8624882611028716,-0.47764297152908874,-0.5986496676573612,-0.47162142146626546,-17.0,-0.5689655172413793,58,0.18181818181818182,0.9577464788732394,-0.7806955996400946
A4_hot_city,d2_yes,323,39,12,0.06026006191950464,0.043343653250773995,0.08668730650154799,0.06501547987616099,0.04953560371517028,0.02476780185758514,-0.3545155758645612,-0.7138030167112897,0.06531470256886435,-0.7743478927850412,-0.9125582078440774,-0.5642618414680927,-0.7423692262491931,-0.6373523944050696,-14.0,-0.6825396825396826,35,0.07142857142857142,0.9449838187702265,-0.88231140402495
A4_hot_city,tail_yes,65,28,10,0.055723076923076924,0.03076923076923077,0.09230769230769231,0.046153846153846156,0.03076923076923077,0.015384615384615385,-0.6629089301503095,-1.0,0.11411455289304512,-0.8762980656453563,-1.0,-0.7026375205254515,-0.9022435897435896,-1.0,-8.0,-1.0,4,1.0,1.0,-0.5679497250589159
A5_phys_core(warm+peak+conflict),d1_yes,175,33,32,0.06154857142857143,0.011428571428571429,0.08571428571428572,0.03428571428571429,0.017142857142857144,0.02857142857142857,-0.812987012987013,-1.0,-0.4872997296170053,-0.848166563595135,-0.9590078521496019,-0.6945531400966185,-0.8702106782106781,-1.0,-11.0,-1.0,1,0.0,0.930635838150289,-1.0
A5_phys_core(warm+peak+conflict),d2_yes,122,32,31,0.06266393442622951,0.02459016393442623,0.16393442622950818,0.10655737704918032,0.08196721311475409,0.08196721311475409,-0.6792508746060658,-1.0,-0.3206083940149822,-0.741180499534224,-0.8752667134262335,-0.589809482958859,-0.6896500315476645,-0.9999999999999999,-8.0,-1.0,1,0.0,0.9159663865546218,-1.0
A5_phys_core(warm+peak+conflict),tail_yes,8,8,8,0.062875,0.0,0.25,0.125,0.0,0.125,-1.0,-1.0,-1.0,-0.6701388888888888,-1.0,-0.010416666666666519,-1.0,-1.0,-1.0,,0,,1.0,-1.0
A6_A5_hot_city,d1_yes,57,23,10,0.06296491228070175,0.017543859649122806,0.07017543859649122,0.0,0.0,0.0,-0.8245614035087719,-1.0,-0.4,-0.8245614035087719,-1.0,-0.4,-0.8245614035087719,-1.0,-7.0,-1.0,1,0.0,0.9821428571428571,-1.0
A6_A5_hot_city,d2_yes,51,26,12,0.062058823529411763,0.0392156862745098,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0784313725490196,-0.4778158176850987,-1.0,0.35097001763668445,-0.7296448501967197,-0.9285384693411758,-0.46740702069913936,-0.7899452004296691,-1.0,-4.0,-1.0,1,0.0,0.8775510204081632,-1.0
B0_rich_current,current_bracket_no,3053,41,36,0.13545528987880773,0.10153946937438585,0.16148051097281363,0.13691451031772028,0.10809040288241074,0.04716672125777923,-0.5022320663103198,-0.6035682858125967,-0.3891603498349583,-0.8170168653511767,-0.8673811713751964,-0.7517169079280364,-0.7837950271899046,-0.5558639482953485,-89.55829983508555,-0.5602504924726666,559,0.25483870967741934,0.9300036456434561,-0.8647011760501999
B0_rich_current,d1_yes,2765,40,36,0.1300010849909584,0.10307414104882459,0.16600361663652802,0.14141048824593128,0.11645569620253164,0.044122965641952984,-0.39586980101314084,-0.5232794294938539,-0.2536245248512206,-0.8120970610834177,-0.8661364097665125,-0.7284848285068674,-0.7664876459933708,-0.46335714278516255,-80.59093982420555,-0.5048990366174324,486,0.22105263157894736,0.9354838709677419,-0.8633497719583914
B0_rich_current,d2_yes,1794,40,36,0.03784559643255296,0.013377926421404682,0.023968784838350056,0.020066889632107024,0.017279821627647716,0.007803790412486065,-0.832432300935732,-0.9429371018002521,-0.6755135809367854,-0.9386777650441908,-0.9748263494536146,-0.8916987558351669,-0.9227905916095983,-0.9006732301386283,-82.0,-0.5261274871062926,312,0.20833333333333334,0.9327683615819209,-0.9696382038398171
B1_warming,current_bracket_no,681,41,36,0.19485903083700443,0.16886930983847284,0.2540381791483113,0.2261380323054332,0.17474302496328928,0.0763582966226138,-0.36422717311603275,-0.49513928418361935,-0.22601125368616126,-0.788379384482461,-0.8300024150394848,-0.7367744141721251,-0.7427223803037569,-0.46655400780029976,-22.0,-0.20125855312820537,117,0.23478260869565218,0.9328621908127208,-0.8286771296637344
B1_warming,d1_yes,646,40,36,0.1746656346749226,0.16873065015479877,0.25541795665634676,0.2260061919504644,0.18421052631578946,0.06501547987616099,-0.24106160031729149,-0.4134765869878404,-0.0521713686925263,-0.784473546375292,-0.828198027787282,-0.7303014061399182,-0.7308730335583384,-0.3862505284851569,-24.0,-0.09253838173573284,112,0.2018348623853211,0.9348230912476723,-0.8180651504242423
B1_warming,d2_yes,468,40,36,0.04617948717948718,0.01282051282051282,0.027777777777777776,0.02564102564102564,0.021367521367521368,0.01282051282051282,-0.8037451761357118,-1.0,-0.5315783758649498,-0.9381072995394675,-0.9833214117828202,-0.8806370939142607,-0.9134035269052568,-0.9934550690490216,-19.0,-0.35008061580069694,85,0.16666666666666666,0.9437229437229437,-0.9583940087372581
B2_conflict_no,current_bracket_no,686,38,34,0.17693002915451897,0.14285714285714285,0.23760932944606414,0.18950437317784258,0.15597667638483964,0.06268221574344024,-0.46367226326751554,-0.6514365828147333,-0.23057791591327237,-0.8084631087375828,-0.8907254695493705,-0.6853383749977471,-0.7783621669407939,-0.5529166837765419,-37.22222222222222,-0.49573435847138303,27,0.29591836734693877,0.9387755102040817,-0.8315005650814281
B2_conflict_no,d1_yes,658,38,34,0.15723252279635258,0.13677811550151975,0.22340425531914893,0.18085106382978725,0.1534954407294833,0.05623100303951368,-0.3652515889921829,-0.5899270357364101,-0.10130257961465226,-0.7914069489821456,-0.8713706425209369,-0.6615220189366786,-0.742572773579044,-0.4703235219641204,-34.833333333333336,-0.47238930755414277,26,0.26666666666666666,0.9313380281690141,-0.8335544327509982
B2_conflict_no,d2_yes,490,38,34,0.04386326530612245,0.0163265306122449,0.04081632653061224,0.03469387755102041,0.030612244897959183,0.018367346938775512,-0.8493472474823636,-0.9724902616817108,-0.6808630334839628,-0.9306752528255945,-0.9704554621960282,-0.8771213211804506,-0.9055320812013997,-0.9751873516537576,-32.0,-0.8500749625187407,23,0.25,0.9315352697095436,-0.9639689578713969
B3_warm+conflict,current_bracket_no,154,35,32,0.23075324675324677,0.2532467532467532,0.3246753246753247,0.2922077922077922,0.24675324675324675,0.06493506493506493,-0.13961666414604296,-0.4921647535895109,0.24284259476420733,-0.7258229025535066,-0.8503091992810023,-0.5648988000768435,-0.6716274935407974,-0.38026048871084633,-8.0,0.3704070107875168,4,0.23076923076923078,0.9304347826086956,-0.7530940270199492
B3_warm+conflict,d1_yes,155,35,32,0.18974193548387094,0.23870967741935484,0.2903225806451613,0.25161290322580643,0.23225806451612904,0.03225806451612903,-0.02840967833287115,-0.42977879237778926,0.3992570585730705,-0.7048461449872115,-0.8536893815407278,-0.5052328857906268,-0.6286845341700906,-0.30475349300745896,-8.0,0.15122972265829404,4,0.16216216216216217,0.940677966101695,-0.8528262747227925
B3_warm+conflict,d2_yes,117,33,31,0.053700854700854714,0.017094017094017096,0.05982905982905983,0.05128205128205128,0.05128205128205128,0.03418803418803419,-0.9446275308344274,-1.0,-0.8535179922102574,-0.9116904157815904,-0.9945695938400047,-0.7781707980945414,-0.8652116872455855,-1.0,-10.0,-0.13793103448275867,4,0.0,0.9304347826086956,-1.0
B4_B3+peak_ahead,current_bracket_no,70,29,26,0.2690571428571429,0.32857142857142857,0.4857142857142857,0.42857142857142855,0.34285714285714286,0.12857142857142856,0.09303996669826074,-0.4270924015879503,0.6984489913111896,-0.6004356429290894,-0.7974121527870449,-0.33136569026055357,-0.5494007324308047,-0.29783591668973763,-5.0,,0,0.30434782608695654,0.9574468085106383,-0.5312407014606728
B4_B3+peak_ahead,d1_yes,70,29,26,0.2169142857142857,0.32857142857142857,0.44285714285714284,0.37142857142857144,0.32857142857142857,0.05714285714285714,0.30751934961619337,-0.330364189040379,1.0567139700672998,-0.5857257051061867,-0.821148678495941,-0.24967407501034405,-0.49637494416685946,-0.1718778188504487,-5.0,,0,0.17391304347826086,0.9574468085106383,-0.7439711670621425
B4_B3+peak_ahead,d2_yes,57,28,24,0.056561403508771924,0.0,0.08771929824561403,0.07017543859649122,0.07017543859649122,0.07017543859649122,-1.0,-1.0,-1.0,-0.8403282216841539,-1.0,-0.5549253710551243,-0.7562904436231823,-1.0,-7.0,,0,,0.9473684210526315,-1.0
