city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
Karachi,2026-06-23,15,True,0.0,,0.0,,30.35,,0.981,d1_yes,1,35,0.042,9.76,0.004,0.003,0.5084269662921348
Karachi,2026-06-23,15,True,0.0,,0.0,,30.35,,0.981,d2_yes,2,36,0.002,121.56,0.001,0.002,0.5084269662921348
Karachi,2026-06-23,15,True,0.0,,0.0,,30.35,,0.981,current_bracket_no,-1,34,0.04,,0.011,0.002,0.5084269662921348
Warsaw,2026-06-23,12,True,3.0,,0.0,,30.35,,0.01,d1_yes,1,25,0.22,22.0,0.16,0.22,0.41171088746569073
Warsaw,2026-06-23,12,True,3.0,,0.0,,30.35,,0.01,d2_yes,2,26,0.58,65.0,0.8,0.68,0.41171088746569073
Warsaw,2026-06-23,12,True,3.0,,0.0,,30.35,,0.01,tail_yes,6,30,0.004,63.0,0.001,0.002,0.41171088746569073
Warsaw,2026-06-23,12,True,3.0,,0.0,,30.35,,0.01,current_bracket_no,-1,24,0.997,,,,0.41171088746569073
Wuhan,2026-06-23,18,True,0.0,0.0,0.0,8.0,330.35,-0.1999999999999993,0.999,d1_yes,1,26,0.004,65.0,,0.004,0.4747191011235955
Wuhan,2026-06-23,18,True,0.0,0.0,0.0,8.0,330.35,-0.1999999999999993,0.999,current_bracket_no,-1,25,0.002,,0.001,0.002,0.4747191011235955
Shanghai,2026-06-23,18,True,0.0,,0.0,,180.35,,0.999,d1_yes,1,25,0.002,109.79,0.001,0.002,0.6806953339432754
Shanghai,2026-06-23,18,True,0.0,,0.0,,180.35,,0.999,current_bracket_no,-1,24,0.004,,0.001,0.002,0.6806953339432754
TelAviv,2026-06-23,13,True,0.0,,0.0,,40.35,,,d1_yes,1,31,0.008,26.67,0.002,0.004,0.37640449438202245
TelAviv,2026-06-23,13,True,0.0,,0.0,,40.35,,,d2_yes,2,32,0.003,46.84,0.002,0.003,0.37640449438202245
TelAviv,2026-06-23,13,True,0.0,,0.0,,40.35,,,tail_yes,3,33,0.003,104.68,0.001,0.002,0.37640449438202245
TelAviv,2026-06-23,13,True,0.0,,0.0,,40.35,,,current_bracket_no,-1,30,0.029,,0.002,0.002,0.37640449438202245
