rows,dates,cities,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,p_col,shadow_variant
18,14,13,0.5,0.2838888888888889,0.5375284173011478,9.675511511420659,9.74604435148019,1.0072898306178724,0.10999175669188753,1.862574607135309,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_p_ge_ask_plus05_size_p
16,14,12,0.5,0.27375,0.5509375124125651,8.815000198601041,9.446985570342306,1.071694311684935,0.11604298558296061,2.023380310839868,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_ratio_ge125_size_p
18,14,14,0.4444444444444444,0.2544444444444445,0.4586267777777778,8.255282000000001,8.680202541992957,1.0514725653215669,-0.06490486114835795,2.2964742624893257,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,agreement_current_and_prob_size_score
28,17,19,0.4642857142857143,0.31253571428571425,0.396177640324169,11.092973929076733,8.545115836605012,0.7703178508521223,0.09124291454364879,1.4780090712339613,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,current_gate_size_min_score_p
23,15,15,0.43478260869565216,0.28913043478260875,0.4731960652851483,10.883509501558411,8.346199657137108,0.7668665751559287,-0.024177627955908974,1.64165864296846,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,blend50_gate_size_blend50
23,15,17,0.43478260869565216,0.2930434782608696,0.47568399405575884,10.940731863282453,8.538053199732628,0.7803914131546068,-0.00517443989629717,1.660111332010287,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,blend70score_gate_size_blend70
11,10,8,0.45454545454545453,0.4119090909090909,0.5179630545454547,5.697593600000001,0.008782890270958688,0.0015415087293973874,-0.7774337035301,0.767978922754174,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,diagnostic_current_gate_prob_disagrees
25,17,16,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658355,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,baseline_current_score_gate_size_score
20,15,15,0.5,0.27749999999999997,0.5046751144593195,10.09350228918639,9.954788618582288,0.986257131902302,0.08608500953712035,1.8807479158190523,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_p
29,15,17,0.4827586206896552,0.34351724137931033,0.3799171365517242,11.017596960000002,8.591306455594482,0.7797804264201802,-0.026358207250379264,1.6270639922668961,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
15,14,11,0.4666666666666667,0.27999999999999997,0.5721214464184802,8.581821696277203,7.889264262455502,0.9192994846161704,-0.13194902457038407,1.9790531383627923,7,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
16,14,12,0.5,0.27,0.5468157450699639,8.749051921119422,9.11561924463178,1.0418979481225272,0.04735339538534539,2.037281323218612,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
18,14,13,0.4444444444444444,0.2644444444444444,0.4693628888888889,8.448532,8.497369208659624,1.005780555563928,-0.08581362548471562,2.2564918027704373,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
28,17,18,0.4642857142857143,0.3168214285714286,0.4009051242212611,11.225343478195311,7.999708955019091,0.7126471426516383,0.030184499019405765,1.4620486220338116,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
22,15,16,0.4090909090909091,0.29045454545454547,0.48329294260555783,10.632444737322272,7.579458830788749,0.712861342620775,-0.1170365937983207,1.642356741698517,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,blend50_gate_size_blend50
23,15,16,0.43478260869565216,0.3008695652173914,0.48530991987986105,11.162128157236804,8.329837012475895,0.7462588580901901,-0.03134864325534573,1.6419810940572195,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,blend70score_gate_size_blend70
11,10,8,0.45454545454545453,0.4119090909090909,0.5179630545454547,5.697593600000001,0.008782890270958688,0.0015415087293973874,-0.7774337035301,0.767978922754174,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,diagnostic_current_gate_prob_disagrees
5,4,5,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702285,2.0358411617002425,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,baseline_current_score_gate_size_score
5,5,5,0.4,0.284,0.444035328119341,2.220176640596705,0.7932778002190817,0.3573039125417862,-1.0,2.2089923445538444,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,prob_p_ge_ask_size_p
6,5,5,0.3333333333333333,0.32166666666666666,0.2611946,1.5671676,0.2892435498257836,0.18456452891559497,-1.0,2.543364068474611,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,prob_p_ge_ask_size_current_score
5,5,5,0.4,0.284,0.444035328119341,2.220176640596705,0.7932778002190817,0.3573039125417862,-1.0,2.2089923445538444,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,prob_p_ge_ask_plus05_size_p
5,5,5,0.4,0.284,0.444035328119341,2.220176640596705,0.7932778002190817,0.3573039125417862,-1.0,2.2089923445538444,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,prob_ratio_ge125_size_p
3,3,3,0.3333333333333333,0.26333333333333336,0.35189999999999994,1.0556999999999999,0.2014428571428567,0.19081449004722623,-1.0,3.761904761904762,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,agreement_current_and_prob_size_score
5,4,5,0.6,0.34199999999999997,0.36025088219479057,1.8012544109739528,1.2787973489268993,0.7099482122769338,-0.4533184001143295,2.1467874436310783,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,current_gate_size_min_score_p
5,4,5,0.4,0.292,0.3812946114898369,1.9064730574491844,0.7107813498910014,0.3728252791791403,-1.0,2.2193550110589073,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,blend50_gate_size_blend50
5,4,5,0.6,0.34199999999999997,0.4305907893255081,2.1529539466275405,1.478247372846079,0.6866135595522865,-0.4555923914982198,2.1215354806863447,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,blend70score_gate_size_blend70
2,2,2,1.0,0.45999999999999996,0.5513728000000002,1.1027456000000004,1.2992001210401898,1.17815035583927,,,0,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_wf_logit_market_route,diagnostic_current_gate_prob_disagrees
5,4,5,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702285,2.0358411617002425,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,baseline_current_score_gate_size_score
4,4,4,0.25,0.2525,0.4444465039062343,1.7777860156249372,0.4374735828741767,0.24607775009434618,-1.0,2.4859118677432614,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_p_ge_ask_size_p
6,4,5,0.3333333333333333,0.36000000000000004,0.30837333333333333,1.85024,-0.22557456221198208,-0.12191637961128397,-1.0,0.5133973500412395,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_p_ge_ask_size_current_score
4,4,4,0.25,0.2525,0.4444465039062343,1.7777860156249372,0.4374735828741767,0.24607775009434618,-1.0,2.4859118677432614,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_p_ge_ask_plus05_size_p
3,3,3,0.3333333333333333,0.26333333333333336,0.5009842540007206,1.5029527620021617,0.7123068364969523,0.47393827304861613,-1.0,3.761904761904762,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_ratio_ge125_size_p
3,3,3,0.3333333333333333,0.26333333333333336,0.35189999999999994,1.0556999999999999,0.2014428571428567,0.19081449004722623,-1.0,3.761904761904762,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,agreement_current_and_prob_size_score
