target_date,rows,cost,pnl,wins,roi,evidence_layer,scope,model,shadow_variant
2026-06-11,2,0.8685000000000002,2.519735294117648,1.0,2.9012496190185924,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-12,2,0.9895400000000001,3.2209863157894736,1.0,3.2550339711274665,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-13,3,0.8861670000000001,0.7684216363636366,2.0,0.8671296001359072,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-14,3,0.9305500000000001,0.37770000000000004,2.0,0.40588899038203213,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-15,2,0.8644999999999999,1.5457150537634408,2.0,1.7879873380722278,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-16,3,0.9351325000000001,-0.9351325000000001,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-17,3,0.91326,-0.6025386885245902,1.0,-0.6597668665271558,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-18,2,0.2490344999999999,-0.08732378571428559,1.0,-0.35064935064935027,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-19,3,0.8995,-0.10857894736842111,2.0,-0.12071033615166327,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-20,3,0.8727680000000001,-0.4372414693877552,1.0,-0.5009824711581488,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-21,3,0.9809600000000002,0.9946108274894817,2.0,1.0139157840171684,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-22,1,0.0525,-0.0525,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-23,3,0.9612809999999999,0.591192502304147,2.0,0.615004876101938,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-24,1,0.2249999999999999,-0.2249999999999999,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-25,2,0.5167812,-0.327555528358209,1.0,-0.6338379344260375,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-26,2,0.7270640000000002,-0.3595414193548388,1.0,-0.4945113763779237,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_size_current_score
2026-06-07,1,0.651713337092145,0.6783138814632529,1.0,1.0408163265306123,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-08,1,0.4191290004371579,0.9329000332310933,1.0,2.225806451612903,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-09,2,0.9359283355897929,2.8137212251809345,2.0,3.006342599305763,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-10,1,0.6930209403200588,-0.6930209403200588,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-11,2,0.9801333507316717,1.9242625877149853,1.0,1.963266106880782,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-12,1,0.8083472235079429,3.446111847586493,1.0,4.263157894736842,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-13,1,0.4672050547190388,0.7008075820785582,1.0,1.5,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-14,2,0.9951679969151428,1.5516285342504166,1.0,1.559162411834193,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-15,1,0.8248334242015916,1.2901240737512074,1.0,1.5641025641025643,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-16,1,0.4857616655958354,-0.4857616655958354,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-17,1,0.4862235860693786,-0.4862235860693786,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-18,1,0.8110685440468149,0.3476008045914921,1.0,0.42857142857142855,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-19,1,0.8141165075393354,0.43837042713656527,1.0,0.5384615384615385,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-20,1,0.6580163635037181,-0.6580163635037181,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
