rows,active_dates,cities,avg_p,avg_entry,avg_edge,hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,model,edge_threshold,slice,leg
42,4,16,0.8580890643846688,0.6627142857142857,0.18544025486085922,0.6428571428571429,28.25125,-1.2512499999999995,-0.044290075660368994,-0.18759748830140383,0.1512839432521678,clean_expanding,0.02,by_leg,d3_no
40,4,16,0.8563486421098547,0.652775,0.19343989210985474,0.65,26.51635,-0.5163500000000003,-0.019472891253886765,-0.10829771217351965,0.15349966029435,clean_expanding,0.03,by_leg,d3_no
58,6,19,0.4329627785554594,0.1737758620689655,0.2544807095899422,0.13793103448275862,10.351959999999998,-2.3519599999999996,-0.22719948686045927,-0.7452310435973377,0.37713647422459556,plus_expanding,0.0,by_leg,current_yes
58,6,19,0.4329627785554594,0.1737758620689655,0.2544807095899422,0.13793103448275862,10.351959999999998,-2.3519599999999996,-0.22719948686045927,-0.7452310435973377,0.37713647422459556,plus_expanding,0.01,by_leg,current_yes
56,6,19,0.4340736363282354,0.1664642857142857,0.26305095775680687,0.14285714285714285,9.577269999999999,-1.57727,-0.16468889359911543,-0.7452310435973377,0.7671122734782955,plus_expanding,0.02,by_leg,current_yes
56,6,19,0.4340736363282354,0.1664642857142857,0.26305095775680687,0.14285714285714285,9.577269999999999,-1.57727,-0.16468889359911543,-0.7452310435973377,0.7671122734782955,plus_expanding,0.03,by_leg,current_yes
87,6,24,0.8453264651135555,0.6574252873563218,0.17879577545838307,0.7126436781609196,57.98817,4.011829999999999,0.06918359382612004,-0.06019469468363679,0.22362389534729865,plus_expanding,0.0,by_leg,d1_no
84,6,24,0.8407956034323498,0.6463928571428571,0.18502953200377842,0.7142857142857143,55.08434999999999,4.9156499999999985,0.0892385949911363,-0.02678133079118637,0.22967255050024316,plus_expanding,0.01,by_leg,d1_no
75,6,23,0.8307824862231656,0.6152,0.20557448622316565,0.68,46.89059999999999,4.109399999999999,0.08763803406226407,-0.05047031611953244,0.2541445558368672,plus_expanding,0.02,by_leg,d1_no
72,6,23,0.8260003233381956,0.6026111111111112,0.21312060111597345,0.6666666666666666,44.12734,3.8726599999999993,0.08776101165399953,-0.0618980087357689,0.25854097891506117,plus_expanding,0.03,by_leg,d1_no
52,6,20,0.8277640859538373,0.6725384615384618,0.1453862013384527,0.5961538461538461,35.48365,-4.483650000000001,-0.1263581959578567,-0.27563369375386176,0.03546312630658916,plus_expanding,0.0,by_leg,d2_no
48,6,19,0.8307322828396283,0.6635833333333333,0.15713374117296153,0.5833333333333334,32.33273,-4.33273,-0.13400445925846657,-0.32522185741359455,0.012555690562980946,plus_expanding,0.01,by_leg,d2_no
46,6,19,0.8330139393484125,0.6596304347826087,0.1632765480440646,0.6086956521739131,30.807920000000003,-2.8079200000000006,-0.09114279704699313,-0.29699535816077915,0.09445053384560913,plus_expanding,0.02,by_leg,d2_no
41,6,16,0.8210447364195269,0.6298536585365854,0.18035449251708788,0.6097560975609756,26.268300000000004,-1.2683000000000004,-0.048282530654819696,-0.28964533767596823,0.2440793134491759,plus_expanding,0.03,by_leg,d2_no
51,4,17,0.869448571705691,0.7038627450980391,0.15666308150961242,0.6862745098039216,36.35206,-1.3520599999999996,-0.037193490547715854,-0.1540503245145487,0.15693427842009053,plus_expanding,0.0,by_leg,d3_no
