strategy,target_date,rows,cities,wins,avg_entry_raw,exec_fee_pnl,win_rate,exec_fee_roi
rich_current_b4_current_bracket_no,2026-05-23,2,2,1,0.21000000000000002,0.42199999999999993,0.5,0.21099999999999997
rich_current_b4_current_bracket_no,2026-05-24,2,2,1,0.195,3.183657894736843,0.5,1.5918289473684215
rich_current_b4_current_bracket_no,2026-05-25,1,1,0,0.17,-1.041,0.0,-1.041
rich_current_b4_current_bracket_no,2026-05-26,1,1,1,0.348,1.7611960893854748,1.0,1.7611960893854748
rich_current_b4_current_bracket_no,2026-05-27,7,5,1,0.2652857142857143,-4.550947297297298,0.14285714285714285,-0.6501353281853283
rich_current_b4_current_bracket_no,2026-05-28,2,1,1,0.1495,1.2492833333333333,0.5,0.6246416666666667
rich_current_b4_current_bracket_no,2026-05-29,3,3,1,0.4266666666666667,-0.30672222222222234,0.3333333333333333,-0.10224074074074078
rich_current_b4_current_bracket_no,2026-05-30,2,2,0,0.59,-2.04,0.0,-1.02
rich_current_b4_current_bracket_no,2026-05-31,1,1,0,0.39,-1.03,0.0,-1.03
rich_current_b4_current_bracket_no,2026-06-01,2,2,0,0.07,-2.092,0.0,-1.046
rich_current_b4_current_bracket_no,2026-06-02,1,1,0,0.46,-1.0265,0.0,-1.0265
rich_current_b4_current_bracket_no,2026-06-03,2,2,0,0.1,-2.0890000000000004,0.0,-1.0445000000000002
rich_current_b4_current_bracket_no,2026-06-05,5,3,0,0.11299999999999999,-5.219250000000001,0.0,-1.0438500000000002
rich_current_b4_current_bracket_no,2026-06-06,2,2,0,0.17,-2.082,0.0,-1.041
rich_current_b4_current_bracket_no,2026-06-07,5,3,2,0.3,0.9073548094373867,0.4,0.18147096188747733
rich_current_b4_current_bracket_no,2026-06-08,1,1,0,0.07,-1.046,0.0,-1.046
rich_current_b4_current_bracket_no,2026-06-09,1,1,0,0.08,-1.0455,0.0,-1.0455
rich_current_b4_current_bracket_no,2026-06-10,5,4,0,0.29500000000000004,-5.17375,0.0,-1.03475
rich_current_b4_current_bracket_no,2026-06-11,2,2,1,0.15500000000000003,4.583166666666665,0.5,2.2915833333333326
rich_current_b4_current_bracket_no,2026-06-12,2,2,0,0.3055,-2.06845,0.0,-1.034225
rich_current_b4_current_bracket_no,2026-06-13,2,1,2,0.425,2.6158952738990333,1.0,1.3079476369495167
rich_current_b4_current_bracket_no,2026-06-14,1,1,0,0.01,-1.049,0.0,-1.049
rich_current_b4_current_bracket_no,2026-06-15,3,1,2,0.3633333333333333,1.786952380952381,0.6666666666666666,0.5956507936507937
rich_current_b4_current_bracket_no,2026-06-16,5,4,5,0.368,12.015804318630234,1.0,2.403160863726047
rich_current_b4_current_bracket_no,2026-06-17,1,1,0,0.05,-1.047,0.0,-1.047
rich_current_b4_current_bracket_no,2026-06-19,2,2,0,0.07500000000000001,-2.0915,0.0,-1.04575
rich_current_b4_current_bracket_no,2026-06-20,2,1,2,0.49,1.9904040404040404,1.0,0.9952020202020202
rich_current_b4_d1_yes,2026-05-20,3,3,3,0.19000000000000003,15.297366946778713,1.0,5.099122315592904
rich_current_b4_d1_yes,2026-05-21,2,2,0,0.295,-2.0694999999999997,0.0,-1.0347499999999998
rich_current_b4_d1_yes,2026-05-23,2,2,1,0.19,0.6977777777777776,0.5,0.3488888888888888
rich_current_b4_d1_yes,2026-05-24,2,2,1,0.17,3.473555555555554,0.5,1.736777777777777
rich_current_b4_d1_yes,2026-05-25,1,1,0,0.14,-1.0425,0.0,-1.0425
