strategy,description,city,target_date,decision_hour_local,entry_raw,entry_stress,fee_usd_per_1_notional,win,raw_pnl_per_1,exec_no_fee_pnl_per_1,exec_fee_pnl_per_1,cash_roi_exec_fee,current_high_yes_ask,forecast_gap_native,temp_trend_1h_f,forecast_peak_delta_hours_local_x,current_yes_ask,forecast_steps,steps,leg_steps,leg,ask_size,relative_humidity_pct,wind_speed_kt,temp_trend_3h_f,minutes_since_running_max,forecast_source,forecast_peak_delta_hours_local_y,city_family,solar_window,day_regime,moisture_cloud_regime,wind_regime,running_max_state,intraday_state,current_no,tmax_p_current,tmax_p_not_d1,d2_no,scope,tmax_p_d1,current_yes_ref,trend3h_positive,no_trend3h_flat,day_open_runway,active_warming_or_reheat,tmax_d1_yes_edge_exec,tmax_current_overprice,tmax_d1_edge_pos,tmax_current_overprice_pos,tmax_both_pos,ask_band
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Austin,2026-06-15,18,0.28,0.29,0.0355,False,-1.0,-1.0,-1.0355,-1.0,,1.0999999999999943,1.0,0.0,0.94,1.0,0.0,1.0,d1_yes,9.0,71.94,4.0,0.0,37.733333333333334,gfs_seamless,0.0,continental_dry_hot,evening_tail,day_marginal_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,0.1516085862772398,0.8483914137227602,0.8513160135480551,0.997490849235436,dev_cv,0.14868398645194492,0.94,False,False,False,True,-0.14131601354805506,0.09160858627723978,False,True,False,20-30c
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Wellington,2026-06-16,19,0.09,0.0999999999999999,0.045,True,10.11111111111111,9.0,8.955,8.569377990430622,,0.4444444444444428,1.8000000000000045,-4.0,0.9,1.0,1.0,1.0,d1_yes,54.41,81.47,11.0,-3.5999999999999943,1380.55,gfs_seamless,-4.0,southern_or_maritime,evening_tail,day_forecast_capped,humid_convective_risk,moderate_wind,mature_fade,reheating_after_dip,0.0913241936254241,0.908675806374576,0.9252142029212714,0.9968863170670584,dev_cv,0.07478579707872857,0.9,False,True,False,True,-0.025214202921271328,-0.00867580637457599,False,False,False,5-10c
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Istanbul,2026-06-16,11,0.24,0.25,0.0375,True,3.166666666666667,3.0,2.9625,2.8554216867469875,,2.722222222222225,1.8000000000000114,-1.0,0.779,3.0,1.0,1.0,d1_yes,3.76,68.99,13.0,0.0,10.666666666666666,gfs_seamless,-1.0,southern_or_maritime,late_morning,day_open_runway,mixed_moisture,moderate_wind,pullback_from_high,reheating_after_dip,0.2161716722564974,0.7838283277435025,0.8216235332023412,0.963212573293417,dev_cv,0.17837646679765884,0.779,False,False,True,True,-0.07162353320234116,-0.004828327743502503,False,False,False,20-30c
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",NYC,2026-06-16,15,0.4,0.41,0.0295,True,1.5,1.4390243902439024,1.4095243902439023,1.3691349103874717,,4.700000000000003,2.0,-1.0,0.63,2.0,1.0,1.0,d1_yes,15.0,29.62,10.0,5.0,40.38333333333333,gfs_seamless,-1.0,southern_or_maritime,afternoon_decay_window,day_open_runway,dry_heat_inertia,moderate_wind,fresh_running_high,active_warming,0.4410689985323281,0.5589310014676718,0.5959115698452204,0.9658509439704662,dev_cv,0.4040884301547796,0.63,True,True,True,True,-0.005911569845220399,0.07106899853232818,False,True,False,40c+
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Houston,2026-06-16,14,0.53,0.54,0.023,True,0.8867924528301885,0.8518518518518516,0.8288518518518516,0.8102168639803047,,3.4000000000000057,1.0,-2.0,0.61,1.0,1.0,1.0,d1_yes,45.0,87.66,5.0,1.0,38.38333333333333,gfs_seamless,-2.0,humid_low_latitude,solar_peak_window,day_open_runway,humid_convective_risk,light_wind,fresh_running_high,active_warming,0.51251893355897,0.4874810664410299,0.565834766472461,0.9264524351219812,dev_cv,0.434165233527539,0.61,True,True,True,True,-0.10583476647246104,0.12251893355897009,False,True,False,40c+
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",NYC,2026-06-16,16,0.53,0.54,0.023,True,0.8867924528301885,0.8518518518518516,0.8288518518518516,0.8102168639803047,,3.700000000000003,1.0,0.0,0.66,2.0,1.0,1.0,d1_yes,55.0,26.52,11.0,4.0,39.71666666666667,gfs_seamless,0.0,southern_or_maritime,afternoon_decay_window,day_open_runway,dry_heat_inertia,moderate_wind,fresh_running_high,active_warming,0.4263030309542702,0.5736969690457298,0.5839436601981441,0.990694751908067,dev_cv,0.41605633980185586,0.66,True,True,True,True,-0.12394366019814418,0.08630303095427028,False,True,False,40c+
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Beijing,2026-06-17,15,0.041,0.051,0.04745,False,-1.0,-1.0,-1.04745,-1.0,,0.3888888888888928,1.7999999999999972,0.0,0.97,1.0,0.0,1.0,d1_yes,10.0,43.44,5.83,3.5999999999999943,21510.883333333335,gfs_seamless,0.0,continental_dry_hot,afternoon_decay_window,day_forecast_capped,dry_heat_inertia,light_wind,stalled_high,active_warming,0.0767456676551934,0.9232543323448066,0.932015542808564,0.992272552256872,dev_cv,0.06798445719143598,0.97,True,True,False,True,0.01698445719143598,0.04674566765519339,True,True,True,0-5c
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Busan,2026-06-19,14,0.058,0.068,0.0466,False,-1.0,-1.0,-1.0466,-1.0,,1.3888888888888893,1.7999999999999972,0.0,0.97,1.0,0.0,1.0,d1_yes,8.0,74.17,6.0,-1.8000000000000114,211.03333333333333,gfs_seamless,0.0,humid_low_latitude,solar_peak_window,day_marginal_runway,mixed_moisture,light_wind,mature_fade,reheating_after_dip,0.0592751114401429,0.940724888559857,0.952242039584194,0.9889867766809562,dev_cv,0.047757960415806044,0.97,False,True,False,True,-0.02024203958419396,0.029275111440142942,False,True,False,5-10c
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Austin,2026-06-19,16,0.099,0.109,0.04455,False,-1.0,-1.0,-1.04455,-1.0,,3.5,3.0,-1.0,0.93,2.0,0.0,1.0,d1_yes,46.7,55.41,8.0,2.0,37.61666666666667,gfs_seamless,-1.0,continental_dry_hot,afternoon_decay_window,day_open_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,0.0948915854376779,0.905108414562322,0.9173716240030274,0.9908197590310877,dev_cv,0.08262837599697259,0.93,True,True,True,True,-0.026371624003027408,0.024891585437678,False,True,False,5-10c
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Singapore,2026-06-20,13,0.25,0.26,0.037,True,3.0,2.846153846153846,2.809153846153846,2.708923670350864,,0.7777777777777786,3.6000000000000085,-2.0,0.7,1.0,1.0,1.0,d1_yes,7.12,79.1,6.0,1.7999999999999972,240.78333333333333,open_meteo_live_gfs,9.9,humid_low_latitude,solar_peak_window,day_marginal_runway,humid_convective_risk,light_wind,mature_fade,false_fade_risk,0.4202500440693864,0.5797499559306136,0.7082185289971425,0.8751685118852365,dev_cv,0.29178147100285745,0.7,True,True,False,False,0.03178147100285744,0.12025004406938633,True,True,True,20-30c
