label,period,rows,dates,cities,win_rate,avg_entry,avg_shares,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,denom_rows,row_share,complement_rows,complement_roi,roi_minus_complement,delta_ci_low,delta_ci_high
source_hot_clean_feasible_book,train_le_2026_06_20,116,32,22,0.07758620689655173,0.09949137931034481,7.4655172413793105,95.86762685000001,-21.867626850000004,-0.22810230698852438,-0.6345748821191013,0.1799928451741377,-0.685573971607196,23,23,-6.4593464,-1.0,275,0.4218181818181818,159.0,0.7183798685665104,-0.9464821755550348,-1.69849604610145,-0.23754154569921818
fit_best_model_match,train_le_2026_06_20,218,43,41,0.14678899082568808,0.105848623853211,7.678899082568807,197.82779184999998,68.17220815,0.34460379662777907,-0.07835893750531646,0.8256060665385003,0.1374069664060377,21,19,-9.422097500000001,-1.0,275,0.7927272727272727,57.0,0.3780484172549028,-0.03344462062712372,-1.0578250670699039,0.9053163221551658
best_hot_model_match,train_le_2026_06_20,145,44,22,0.13793103448275862,0.10514827586206897,7.627586206896551,129.84075145000003,40.15924855,0.3092961809102345,-0.15692407520930235,0.8351479466856601,-0.015318678699510174,27,27,-6.1681173750000005,-1.0,275,0.5272727272727272,130.0,0.39774093862308896,-0.08844475771285448,-0.7818581780479963,0.6437223322403781
wrong_source_hot_alt,train_le_2026_06_20,97,38,19,0.18556701030927836,0.10954123711340205,7.876288659793815,93.247657225,54.75234277499999,0.5871712427357446,-0.0038462558055179586,1.2080764315944927,0.15836084398229,22,22,-5.2561101,-1.0,275,0.3527272727272727,178.0,0.20837850382249132,0.37879273891325327,-0.32133491194898706,1.0484101724224388
source_score_ge4,train_le_2026_06_20,228,43,33,0.14473684210526316,0.10620614035087719,7.692982456140351,207.987032325,66.01296767499998,0.3173898244379404,-0.07198754345469802,0.7491817717678112,0.1190581317143915,21,18,-9.855662500000001,-1.0,275,0.8290909090909091,47.0,0.5311627887356494,-0.21377296429770898,-1.2959944785426605,0.8825770966115353
source_score_le2,train_le_2026_06_20,20,16,8,0.15,0.10124999999999999,7.6,17.337996200000003,10.662003800000003,0.6149501751534586,-1.0,2.1394598275100654,-1.0,13,13,-2.0284875,-1.0,275,0.07272727272727272,255.0,0.33139024961154134,0.2835599255419173,-1.2536855637167152,1.7962023802102225
source_attention_score_ge5,train_le_2026_06_20,176,43,30,0.14204545454545456,0.11003125000000001,7.806818181818182,168.074010375,43.92598962499997,0.2613490897670262,-0.1558252743468289,0.7162915625942543,0.012520896691037352,24,23,-8.8949525,-1.0,275,0.64,99.0,0.5423723719155661,-0.2810232821485399,-1.1305934027417106,0.49846177970559835
baseline_hot_only,recent_ge_2026_06_21,58,9,28,0.1724137931034483,0.099,7.379310344827586,47.532178650000006,36.467821349999994,0.7672238552019326,0.31739456109401154,1.3387156726271483,-0.08439214331853122,1,1,-4.2643981250000005,-1.0,58,1.0,,,,,
source_hot_clean,recent_ge_2026_06_21,40,9,16,0.175,0.0967625,7.35,31.890833825,26.109166175,0.8187044063593091,0.07032600318157524,1.7261803759192362,-0.5134463534945537,2,2,-4.2643981250000005,-1.0,58,0.6896551724137931,18.0,0.6622611604625884,0.15644324589672065,-1.8541351405466697,2.089368040005592
source_hot_clean_and_fit_best,recent_ge_2026_06_21,33,9,14,0.12121212121212122,0.09040909090909091,7.090909090909091,23.518836075,4.481163924999999,0.1905351060192718,-0.6777155484528732,1.2942645669233657,-1.0,5,5,-3.918805625,-1.0,58,0.5689655172413793,25.0,1.3320368593042486,-1.141501753284977,-2.184280885461813,0.15351826688434866
source_hot_clean_attention,recent_ge_2026_06_21,15,7,8,0.13333333333333333,0.09683333333333333,7.333333333333333,11.880578825000002,2.119421175,0.1783937639923869,-1.0,1.0506334844016982,-1.0,5,5,-2.14747,-1.0,58,0.25862068965517243,43.0,0.9634462504797283,-0.7850524864873414,-2.3819505472001037,0.5193703089064885
source_hot_clean_feasible_book,recent_ge_2026_06_21,25,9,12,0.2,0.09672,7.36,20.010254999999997,23.989745,1.1988725281112111,-0.17911092285234134,2.9148374001240778,-1.0,4,4,-3.918805625,-1.0,58,0.43103448275862066,33.0,0.4533867802514597,0.7454857478597514,-1.3360782061856777,3.053702243116068
fit_best_model_match,recent_ge_2026_06_21,50,9,25,0.14,0.0955,7.24,38.65810090000001,15.341899099999997,0.3968611686250732,-0.31228161754967404,1.2398612200976582,-0.6344027522014575,3,3,-5.442633225,-1.0,58,0.8620689655172413,8.0,2.3806329902845396,-1.9837718216594664,-3.9062174532742953,1.6303853272663436
best_hot_model_match,recent_ge_2026_06_21,29,9,14,0.20689655172413793,0.09875862068965519,7.379310344827586,24.036182625,27.963817374999998,1.1634050968607166,0.1275831096653085,2.7578800583367,-0.6430400991484683,3,3,-3.303688125,-1.0,58,0.5,29.0,0.3619341766125449,0.8014709202481717,-0.87480646699868,3.1637158114677373
wrong_source_hot_alt,recent_ge_2026_06_21,21,7,11,0.14285714285714285,0.10823809523809522,7.714285714285714,19.219238524999994,4.7807614749999985,0.24874874562700708,-1.0,1.3510125616127062,-1.0,5,5,-3.0802356,-1.0,58,0.3620689655172414,37.0,1.1191723549410078,-0.8704236093140006,-3.0135631145763435,1.0797158358374082
source_score_ge4,recent_ge_2026_06_21,48,9,21,0.16666666666666666,0.10094791666666665,7.458333333333333,40.709913825,27.290086175,0.67035480085544,0.16899996929548514,1.3849168817479631,-0.3845373150675323,1,1,-4.2643981250000005,-1.0,58,0.8275862068965517,10.0,1.3452622274890949,-0.6749074266336549,-3.8191560371243902,2.1666804401338533
source_score_le2,recent_ge_2026_06_21,7,4,5,0.14285714285714285,0.08878571428571427,7.142857142857143,4.8471323250000005,3.1528676749999995,0.65046040908322,-1.0,2.5914045164897157,-1.0,3,3,-1.79651,-1.0,58,0.1206896551724138,51.0,0.7804830155587278,-0.13002260647550778,-2.40001707618938,2.1056989037007834
source_attention_score_ge5,recent_ge_2026_06_21,35,9,16,0.11428571428571428,0.08895714285714287,7.0285714285714285,24.335241074999995,3.664758925,0.15059472448641031,-0.6863068725955542,1.2567594876492905,-1.0,5,5,-4.2643981250000005,-1.0,58,0.603448275862069,23.0,1.4141117688031712,-1.263517044316761,-2.695322527613423,0.08433910438747645
