strategy,mechanism,rows,dates,cities,support,win_rate,avg_entry_stress,roi,roi_ci_low,roi_ci_high,top5_removed_roi,recent_rows,recent_roi,complement_roi,roi_delta_vs_complement
rich_current_b4_current_bracket_no,trend3h_flat_abs_lt0_5,9,8,7,thin_do_not_select,0.2222222222222222,0.21544444444444444,-0.39643574335726095,-1.0,0.5535982465557538,-1.0,0.0,,0.12292282695378302,-0.5193585703110439
rich_current_b4_current_bracket_no,trend3h_warming_ge0_5,51,27,23,support_ok,0.37254901960784315,0.31982352941176473,0.14549472825667542,-0.37364455630716137,0.7873366166922355,-0.2862778591415632,0.0,,-0.18367686248026505,0.32917159073694047
rich_current_b4_current_bracket_no,trend3h_strong_warming_ge2,43,25,21,support_ok,0.3953488372093023,0.2979302325581395,0.27438575178575,-0.3336195778825003,1.0559626440624792,-0.23132698249513434,0.0,,-0.291415428623031,0.565801180408781
rich_current_b4_current_bracket_no,legacy_trend3h_positive_gt0,51,27,23,support_ok,0.37254901960784315,0.31982352941176473,0.14549472825667542,-0.37364455630716137,0.7873366166922355,-0.2862778591415632,0.0,,-0.18367686248026505,0.32917159073694047
rich_current_b4_current_bracket_no,sustained_warming_1h3h,51,27,23,support_ok,0.37254901960784315,0.31982352941176473,0.14549472825667542,-0.37364455630716137,0.7873366166922355,-0.2862778591415632,0.0,,-0.18367686248026505,0.32917159073694047
rich_current_b4_current_bracket_no,one_hour_warm_without_3h,19,17,13,support_ok,0.21052631578947367,0.1696315789473684,-0.18367686248026505,-1.0,0.8442141910664959,-1.0,0.0,,0.14549472825667542,-0.32917159073694047
rich_current_b4_current_bracket_no,runway_sustained_warming,48,25,21,support_ok,0.3958333333333333,0.3135625,0.21708814877271773,-0.32744660393188346,0.9113360953810667,-0.2364832911746955,0.0,,-0.2949936539602289,0.5120818027329467
rich_current_b4_current_bracket_no,solar_runway_sustained_warming,31,20,18,support_ok,0.3870967741935484,0.35835483870967744,0.136369329801156,-0.4483059145583513,0.8031649714528333,-0.4204635331098595,0.0,,-0.007617396663344224,0.1439867264645002
rich_current_b4_current_bracket_no,late_reheat_after_dip,10,7,7,thin_do_not_select,0.6,0.2949,0.7350569798640104,-0.3481778152279654,2.237798953641928,-0.6443654145365638,0.0,,-0.0570033174112449,0.7920602972752553
rich_current_b4_current_bracket_no,humid_or_cloud_warming,13,11,8,thin_do_not_select,0.5384615384615384,0.40230769230769237,0.36253028911860213,-0.5031713907918894,1.173278748973857,-0.5472945232121,0.0,,-0.013728473764498534,0.3762587628831007
rich_current_b4_current_bracket_no,mature_cooling_or_fade,0,0,0,thin_do_not_select,,,,,,,,,,
rich_current_b4_current_bracket_no,plateau_flat_path,0,0,0,thin_do_not_select,,,,,,,,,,
