rows,dates,cities,wins,win_rate,avg_ask,avg_weight,avg_cost_usd,cost_usd,pnl_usd,roi,daily_negative_100pct,evidence_layer,window,cap_mode,base_notional_usd,daily_cap_usd
5,4,4,2,0.4,0.358,0.4167643200000001,2.5005859200000002,12.502929600000002,1.6009352024316108,0.12804480658929812,2,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_fixed5_diagnostic,6.0,5.0
99,34,28,46,0.46464646464646464,0.36773737373737375,0.4984134715151516,3.7381010363636373,370.0720026000001,158.59263421723253,0.42854534550848106,12,frozen_live_like_route_price,all,no_daily_cap_signal_quality,7.5,
7,4,5,3,0.42857142857142855,0.39142857142857146,0.4377866285714287,3.2833997142857148,22.983798000000004,4.459366336372846,0.1940221688501111,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_daily_cap_signal_quality,7.5,
53,34,22,23,0.4339622641509434,0.35569811320754713,0.43448931471698105,3.258669860377358,172.70950259999998,33.95326366181703,0.1965917517604908,14,frozen_live_like_route_price,all,daily_cap_equals_baseN_live_like,7.5,7.5
7,4,5,3,0.42857142857142855,0.39142857142857146,0.4377866285714287,3.2833997142857148,22.983798000000004,4.459366336372846,0.1940221688501111,1,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_equals_baseN_live_like,7.5,7.5
42,34,20,19,0.4523809523809524,0.34099999999999997,0.4000941352380952,3.000706014285715,126.02965260000002,30.42783517726486,0.24143393677231206,18,frozen_live_like_route_price,all,daily_cap_fixed5_diagnostic,7.5,5.0
4,4,3,1,0.25,0.395,0.4549554000000001,3.4121655000000004,13.648662000000002,-5.447402425531914,-0.3991162229332013,3,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_fixed5_diagnostic,7.5,5.0
101,34,29,47,0.46534653465346537,0.3701584158415841,0.4946389473267327,3.9571115786138615,399.66826944,169.2659826208303,0.4235161897090288,11,frozen_live_like_route_price,all,no_daily_cap_signal_quality,8.0,
7,4,5,3,0.42857142857142855,0.39142857142857146,0.4377866285714287,3.5022930285714295,24.516051200000007,4.75665742546437,0.1940221688501111,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_daily_cap_signal_quality,8.0,
54,34,23,24,0.4444444444444444,0.3581851851851852,0.43214321629629626,3.45714573037037,186.68586943999998,38.77972069505382,0.2077271344177308,13,frozen_live_like_route_price,all,daily_cap_equals_baseN_live_like,8.0,8.0
7,4,5,3,0.42857142857142855,0.39142857142857146,0.4377866285714287,3.5022930285714295,24.516051200000007,4.75665742546437,0.1940221688501111,1,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_equals_baseN_live_like,8.0,8.0
39,34,18,17,0.4358974358974359,0.3523076923076922,0.41310845333333335,3.304867626666667,128.88983744,21.206203660885393,0.16452967962471962,19,frozen_live_like_route_price,all,daily_cap_fixed5_diagnostic,8.0,5.0
4,4,3,1,0.25,0.395,0.4549554000000001,3.639643200000001,14.558572800000004,-5.810562587234042,-0.39911622293320126,3,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_fixed5_diagnostic,8.0,5.0
114,36,30,56,0.49122807017543857,0.38523684210526316,0.47042198087719306,4.70421980877193,536.2810582,226.60186891743803,0.42254311513074067,9,frozen_live_like_route_price,all,no_daily_cap_signal_quality,10.0,
9,5,6,4,0.4444444444444444,0.4256666666666667,0.4095475377777779,4.095475377777778,36.85927840000001,5.850443745466828,0.15872377321056907,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_daily_cap_signal_quality,10.0,
62,36,24,30,0.4838709677419355,0.38004838709677413,0.39547422290322587,3.9547422290322585,245.19401820000002,55.75897624705948,0.22740757158919742,11,frozen_live_like_route_price,all,daily_cap_equals_baseN_live_like,10.0,10.0
9,5,6,4,0.4444444444444444,0.4256666666666667,0.4095475377777779,4.095475377777778,36.85927840000001,5.850443745466828,0.15872377321056907,1,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_equals_baseN_live_like,10.0,10.0
33,32,19,17,0.5151515151515151,0.344030303030303,0.34182447939393945,3.4182447939393947,112.80207820000003,37.5691893989145,0.33305405359911616,16,frozen_live_like_route_price,all,daily_cap_fixed5_diagnostic,10.0,5.0
5,5,4,2,0.4,0.3724,0.35951644800000004,3.59516448,17.975822400000002,0.7144425350649337,0.03974463694439558,3,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_fixed5_diagnostic,10.0,5.0
