policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage
recover_stake_bid_ge_0p40,sell_minus_1c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.25675675675675674,7,12,0.5319013175764384,0.09261107172420051,0.04250419689850287,0.1470158136778276,-0.3144995159322804,1.60886600286402,-0.2445408683907647,0.5,3,1,-0.546651929630653,1.0
recover_stake_bid_ge_0p40,sell_minus_1c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.15789473684210525,1,2,0.6703177969612472,0.010860339994750386,-0.13042186571598346,0.08989796856328709,-0.3906215119561934,8.090909090909092,-0.9999999999999999,0.6666666666666666,1,0,-0.3906215119561934,0.8947368421052632
recover_stake_bid_ge_0p40,sell_minus_1c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.23655913978494625,8,14,0.5601799531496789,0.07590930932786123,-0.0033429243610593323,0.11169906208540852,-0.11235933046325332,3.217830711751796,-0.14556237747351358,0.5555555555555556,4,1,-0.546651929630653,0.978494623655914
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c,full,476,53,48,0.13655462184873948,0.1150997899159664,0.15756302521008403,27,48,0.19226242658190237,0.053330048695239184,0.023244851323324163,0.06113842675543361,-0.07794741783289648,0.6233694103207844,0.054312958944123,0.4716981132075472,28,15,-1.0,0.8319327731092437
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.11471148825065274,0.13838120104438642,19,34,0.13802297183989254,0.04784735616564687,0.020191503573294346,0.057950514009971074,-0.18909728849128252,0.401360747183401,-0.0266001359497362,0.45454545454545453,24,14,-1.0,0.7963446475195822
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.11851351351351351,0.25675675675675674,7,12,0.39953447306520756,0.09261107172420054,0.0425041968985029,0.14701581367782765,-0.34813077553608324,1.3552004891414846,-0.285810787260191,0.5,3,1,-0.5682969512756747,1.0
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.10963157894736841,0.15789473684210525,1,2,0.4783455700779647,0.010860339994750386,-0.13042186571598333,0.08989796856328702,-0.41870154003622156,6.692307692307691,-1.0,0.6666666666666666,1,0,-0.41870154003622156,0.8947368421052632
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.11669892473118279,0.23655913978494625,8,14,0.41563566492802895,0.07590930932786126,-0.0033429243610592946,0.11169906208540853,-0.16908148588070734,2.643865710351508,-0.1969947782174505,0.5555555555555556,4,1,-0.5682969512756747,0.978494623655914
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_2c,full,476,53,48,0.13655462184873948,0.1150997899159664,0.15756302521008403,27,48,0.19116022369100702,0.05222784580434384,0.022106098791966275,0.06017844341861933,-0.07878022555438888,0.6223256309003314,0.05328690152033493,0.4716981132075472,28,15,-1.0,0.8319327731092437
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_2c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.11471148825065274,0.13838120104438642,19,34,0.13708887607127299,0.046913260397027305,0.019271754922143516,0.0570926755804481,-0.18994575081242687,0.40026377543670144,-0.027409637983985744,0.45454545454545453,24,14,-1.0,0.7963446475195822
