policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage,slice,slice_value
hold_to_settlement,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.0,0,0,-0.0949138007961537,0.0,0.0,0.0,-0.9170918367346932,0.9049854790401007,-1.0,0.25,6,5,-1.0,1.0,source_aware_bucket,source_aware_false
full_sell_bid_ge_0p20,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.358974358974359,11,3,0.9495004477002473,1.0444142484964012,0.5533231715180247,1.515030530553162,0.009856594545541296,1.731697857645317,-0.03919265267627339,0.75,2,1,-1.0,1.0,source_aware_bucket,source_aware_false
full_sell_bid_ge_0p30,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.3076923076923077,8,4,0.7224785939718066,0.8173923947679604,0.329465585476615,1.3272113638578968,-0.21948660714285717,1.5420898535696312,-0.2996000731294849,0.5,4,1,-1.0,1.0,source_aware_bucket,source_aware_false
recover_stake_bid_ge_0p30,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.3076923076923077,8,4,0.10896863331367353,0.20388243410982734,0.09042280538009878,0.2979790852511217,-0.7503202344767694,1.061722011490577,-0.7941176470588235,0.25,6,5,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_entry_2x_floor20_cap30_full,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.38461538461538464,11,4,0.9479131461129455,1.0428269469090994,0.5522177293411539,1.5139250883762911,0.007700982300643309,1.731697857645317,-0.04101338096759017,0.75,2,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_entry_le10c_full20_else30,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.38461538461538464,11,4,0.9479131461129455,1.0428269469090994,0.5522177293411539,1.5139250883762911,0.007700982300643309,1.731697857645317,-0.04101338096759017,0.75,2,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_model_high_full30_else20,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.3333333333333333,9,4,0.7842013024011019,0.8791151031972557,0.3583426312752535,1.3849720734582025,-0.1643610078378042,1.5850189842836904,-0.22880049581352846,0.625,3,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_model_high_recover30_else_full20,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.3333333333333333,9,4,0.22552368888300825,0.320437489679162,0.12252723447032357,0.4373293106044468,-0.6665169660678643,1.1379834653356191,-0.7233180697428673,0.375,5,4,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_path_high_full30_else20,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,39,8,23,0.10256410256410256,0.10519230769230767,0.358974358974359,11,3,0.9495004477002473,1.0444142484964012,0.5533231715180247,1.515030530553162,0.009856594545541296,1.731697857645317,-0.03919265267627339,0.75,2,1,-1.0,1.0,source_aware_bucket,source_aware_false
hold_to_settlement,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.0,0,0,-1.0,0.0,,,,,-1.0,0.0,2,2,-1.0,1.0,source_aware_bucket,source_aware_false
full_sell_bid_ge_0p20,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.25,2,0,-0.03660179640718553,0.9633982035928145,,,,,-1.0,0.5,1,1,-1.0,1.0,source_aware_bucket,source_aware_false
full_sell_bid_ge_0p30,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.125,1,0,-0.3374999999999999,0.6625000000000001,,,,,-1.0,0.0,2,1,-1.0,1.0,source_aware_bucket,source_aware_false
recover_stake_bid_ge_0p30,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.125,1,0,-0.875,0.125,,,,,-1.0,0.0,2,2,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_entry_2x_floor20_cap30_full,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.25,2,0,-0.03660179640718553,0.9633982035928145,,,,,-1.0,0.5,1,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_entry_le10c_full20_else30,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.25,2,0,-0.03660179640718553,0.9633982035928145,,,,,-1.0,0.5,1,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_model_high_full30_else20,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.25,2,0,-0.03660179640718553,0.9633982035928145,,,,,-1.0,0.5,1,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_model_high_recover30_else_full20,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.25,2,0,-0.5741017964071856,0.4258982035928144,,,,,-1.0,0.0,2,1,-1.0,1.0,source_aware_bucket,source_aware_false
adaptive_path_high_full30_else20,entry_plus_1c_sell_minus_1c,closed_forward_2026_06_27_30,8,2,8,0.0,0.09325,0.25,2,0,-0.03660179640718553,0.9633982035928145,,,,,-1.0,0.5,1,1,-1.0,1.0,source_aware_bucket,source_aware_false
hold_to_settlement,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.0,0,0,0.37753483770756374,0.0,0.0,0.0,0.024403173093757675,0.9835119234299781,0.15678006566164365,0.5094339622641509,26,20,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
full_sell_bid_ge_0p20,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.35986159169550175,68,36,0.9751205577291305,0.5975857200215666,0.32238034988014824,0.7140899661225879,0.5452802439829781,1.465977198336306,0.7666606382322153,0.6792452830188679,17,11,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
full_sell_bid_ge_0p30,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.2422145328719723,34,36,0.7716541984434446,0.3941193607358808,0.18525401897102264,0.4709851975017571,0.3477172353870699,1.2887469897311616,0.5596121247337531,0.5849056603773585,22,15,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
recover_stake_bid_ge_0p30,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.2422145328719723,34,36,0.4901340043102413,0.11259916660267758,0.06213458302939605,0.13062600114704068,0.12454281818039956,1.0733997475926993,0.2714935375839217,0.5471698113207547,24,20,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
