slice_type,slice,method,n,dates,cities,logloss,brier,top1,winner_prob,winner_rank,entropy
forecast_source,open_meteo_live_gfs,uniform,819,16,34,1.3862943611198906,0.75,0.518925518925519,0.25,1.0,1.0
forecast_source,,forecast_anchor,474,14,31,1.3862943611198906,0.75,0.43248945147679324,0.25,1.0,1.0
forecast_source,,market_local_norm,474,14,31,0.6354921487903347,0.3416362171653621,0.759493670886076,0.6378819487895512,1.3080168776371308,0.48584588758635927
forecast_source,,runningmax_anchor,474,14,31,3.045497233146764,0.7894118773081713,0.43248945147679324,0.3737581957539243,1.9831223628691983,0.5302255841511603
forecast_source,,uniform,474,14,31,1.3862943611198906,0.75,0.43248945147679324,0.25,1.0,1.0
hour_bucket,10_11,forecast_anchor,1891,47,36,1.859024497837875,0.7111297248147054,0.40613432046536224,0.3926672003427387,1.7969328397673188,0.6275414281356594
hour_bucket,10_11,market_local_norm,1891,47,36,0.9010185529234471,0.4759983248369267,0.6292966684294025,0.5188548075461786,1.5187731359069276,0.6180592972215083
hour_bucket,10_11,runningmax_anchor,1891,47,36,4.934517254505923,1.1223004302199453,0.14701216287678476,0.1856492622187303,2.8270756213643575,0.5872872046409204
hour_bucket,10_11,uniform,1891,47,36,1.3862943611198906,0.75,0.14701216287678476,0.25,1.0,1.0
hour_bucket,12_13,forecast_anchor,2279,47,36,2.26959063013684,0.7703173907198821,0.3883282141290039,0.3686964840052949,1.8626590609916631,0.6118113176032748
hour_bucket,12_13,market_local_norm,2279,47,36,0.8667045068629767,0.47406266085030924,0.6362439666520404,0.5168319566217526,1.4910048266783678,0.6176016132968324
hour_bucket,12_13,runningmax_anchor,2279,47,36,3.0283737039228535,0.866099119258984,0.3514699429574375,0.31365059360754644,2.157086441421676,0.5850159791879757
hour_bucket,12_13,uniform,2279,47,36,1.3862943611198906,0.75,0.3514699429574375,0.25,1.0,1.0
hour_bucket,14_16,forecast_anchor,3108,48,36,2.0592270358811255,0.647374497608993,0.5537323037323038,0.4524081089079852,1.7191119691119692,0.5577508164203586
hour_bucket,14_16,market_local_norm,3108,48,36,0.48442562007987805,0.2677374776443411,0.8053410553410554,0.7264846469852361,1.233912483912484,0.35801867695280476
hour_bucket,14_16,runningmax_anchor,3108,48,36,1.1018942644616685,0.5244997743879458,0.703989703989704,0.4862204184836236,1.3963963963963963,0.581804876234259
hour_bucket,14_16,uniform,3108,48,36,1.3862943611198901,0.75,0.703989703989704,0.25,1.0,1.0
hour_bucket,17_21,forecast_anchor,1069,46,36,1.9276116498066695,0.5377308785933637,0.686623012160898,0.5168709938109958,1.6333021515434987,0.5320459915738406
hour_bucket,17_21,market_local_norm,1069,46,36,0.1262330945708228,0.06720854272250719,0.9569691300280636,0.9221084910768658,1.0430308699719364,0.1275059229588451
hour_bucket,17_21,runningmax_anchor,1069,46,36,0.5913052748794501,0.3651098126316292,0.9438727782974743,0.5682176879180746,1.0570626753975678,0.5750342912275146
hour_bucket,17_21,uniform,1069,46,36,1.3862943611198904,0.75,0.9438727782974743,0.25,1.0,1.0
intraday_state,active_warming,forecast_anchor,3442,48,36,2.1952350954915,0.7499466376594185,0.4061592097617664,0.38622266919754955,1.8041836141778036,0.5925787973840931
intraday_state,active_warming,market_local_norm,3442,48,36,0.8215275590377623,0.4476980144823391,0.6507844276583382,0.547717409675913,1.4616502033701337,0.5743955803434034
intraday_state,active_warming,runningmax_anchor,3442,48,36,3.9673616908339064,0.9654646771052957,0.2771644392794887,0.27577467676882894,2.4090644973852413,0.5557354511132184
intraday_state,active_warming,uniform,3442,48,36,1.3862943611198906,0.75,0.2771644392794887,0.25,1.0,1.0
intraday_state,false_fade_risk,forecast_anchor,532,47,36,1.8135275027847655,0.6630170901234537,0.47368421052631576,0.4258042006739441,1.7255639097744362,0.6026649139565147
intraday_state,false_fade_risk,market_local_norm,532,47,36,0.8353001663938222,0.42602148986158384,0.706766917293233,0.5698330065986066,1.3984962406015038,0.5564684407111197
intraday_state,false_fade_risk,runningmax_anchor,532,47,36,2.131490656087453,0.7365621333264717,0.4868421052631579,0.3729876404820426,1.8834586466165413,0.5994529057141955
intraday_state,false_fade_risk,uniform,532,47,36,1.3862943611198906,0.75,0.4868421052631579,0.25,1.0,1.0
intraday_state,fresh_high,forecast_anchor,1826,48,36,1.9949761190391084,0.6989289798455979,0.4879518072289157,0.40264220530846345,1.7469879518072289,0.6237328928314568
intraday_state,fresh_high,market_local_norm,1826,48,36,0.6082457029985036,0.3425375369952174,0.7431544359255202,0.6396409778774436,1.3258488499452354,0.4782307393042945
intraday_state,fresh_high,runningmax_anchor,1826,48,36,1.67360587379862,0.6447798912007014,0.559145673603505,0.4240015799938462,1.7026286966046003,0.5844668549438131
intraday_state,fresh_high,uniform,1826,48,36,1.3862943611198901,0.75,0.559145673603505,0.25,1.0,1.0
intraday_state,mature_fade,forecast_anchor,966,48,36,1.9776636364161495,0.5398095364949583,0.6563146997929606,0.5131041128752496,1.7070393374741202,0.5365640291580926
intraday_state,mature_fade,market_local_norm,966,48,36,0.21445351051902153,0.10662455497596371,0.9296066252587992,0.8894145729420687,1.1076604554865424,0.16308753834235065
intraday_state,mature_fade,runningmax_anchor,966,48,36,0.8598711362133338,0.4226795752334227,0.9213250517598344,0.5296293011062143,1.129399585921325,0.6018779228595728
intraday_state,mature_fade,uniform,966,48,36,1.3862943611198906,0.75,0.9213250517598344,0.25,1.0,1.0
intraday_state,plateau_near_high,forecast_anchor,662,42,35,2.1743298005811362,0.7196944196802718,0.4743202416918429,0.40109321058308567,1.9425981873111782,0.5947610779304313
intraday_state,plateau_near_high,market_local_norm,662,42,35,0.7106014665056181,0.3727062155310986,0.7175226586102719,0.6204107926442083,1.3716012084592144,0.4898294387654313
intraday_state,plateau_near_high,runningmax_anchor,662,42,35,1.3330290949685153,0.649267174043967,0.5347432024169184,0.387886832269879,1.7250755287009063,0.6823840063164668
intraday_state,plateau_near_high,uniform,662,42,35,1.3862943611198906,0.75,0.5347432024169184,0.25,1.0,1.0
intraday_state,pullback_uncertain,forecast_anchor,654,47,36,1.7048733315251563,0.5070217379670808,0.6987767584097859,0.5384496292255209,1.5779816513761469,0.516753788552047
intraday_state,pullback_uncertain,market_local_norm,654,47,36,0.19261117635128042,0.10114342422639494,0.9342507645259939,0.888839698150828,1.0779816513761469,0.17168385254220064
intraday_state,pullback_uncertain,runningmax_anchor,654,47,36,0.6720567132059628,0.3746401198144724,0.9235474006116208,0.5666245005547725,1.1039755351681957,0.5655365383168205
intraday_state,pullback_uncertain,uniform,654,47,36,1.3862943611198906,0.75,0.9235474006116208,0.25,1.0,1.0
intraday_state,reheating_after_dip,forecast_anchor,188,45,30,2.283346557643194,0.5972270294015244,0.5904255319148937,0.4861860885606067,1.7287234042553192,0.5328021178840133
intraday_state,reheating_after_dip,market_local_norm,188,45,30,0.46887022823938,0.26593415116226465,0.8031914893617021,0.7548548539682822,1.2659574468085106,0.2992855296535024
intraday_state,reheating_after_dip,runningmax_anchor,188,45,30,0.9571136022060016,0.49544376916241417,0.7553191489361702,0.4950023642662656,1.3563829787234043,0.5928207496987337
intraday_state,reheating_after_dip,uniform,188,45,30,1.3862943611198908,0.75,0.7553191489361702,0.25,1.0,1.0
intraday_state,slow_warming,forecast_anchor,61,19,17,0.9058750764748624,0.43865645638448875,0.6557377049180327,0.6048461244407931,1.5245901639344261,0.43276810988600933
intraday_state,slow_warming,market_local_norm,61,19,17,0.5667451156044216,0.3335400819962442,0.7377049180327869,0.6801355825926294,1.3278688524590163,0.39443728950065926
intraday_state,slow_warming,runningmax_anchor,61,19,17,1.1098605135847637,0.5866326142247125,0.6721311475409836,0.413546554236899,1.4918032786885247,0.6977906545686611
intraday_state,slow_warming,uniform,61,19,17,1.3862943611198908,0.75,0.6721311475409836,0.25,1.0,1.0
split,forward_2026_06_21_plus,forecast_anchor,2048,15,36,1.866715714134874,0.7168361716564724,0.48583984375,0.3432283040899709,1.4716796875,0.7715691427600878
split,forward_2026_06_21_plus,market_local_norm,2048,15,36,0.6488819579660993,0.3310970287016957,0.759765625,0.6577930693973251,1.322265625,0.4499925482526737
