city,icao,timezone,cache_path,cache_exists,input_rows,usable_days,output_rows
NYC,KLGA,America/New_York,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KLGA.csv,True,20184,735,2940
PanamaCity,MPTO,America/Panama,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_MPTO.csv,True,9042,361,1444
Paris,LFPG,Europe/Paris,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LFPG.csv,True,35315,735,2940
SanFrancisco,KSFO,America/Los_Angeles,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KSFO.csv,True,10109,366,1464
SaoPaulo,SBGR,America/Sao_Paulo,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_SBGR.csv,True,9382,365,1460
Seattle,KSEA,America/Los_Angeles,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KSEA.csv,True,10605,365,1460
Seoul,RKSI,Asia/Seoul,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_RKSI.csv,True,35266,736,2944
Shanghai,ZSPD,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZSPD.csv,True,36052,736,2944
Shenzhen,ZGSZ,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZGSZ.csv,True,8758,366,1464
Singapore,WSSS,Asia/Singapore,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_WSSS.csv,True,17872,366,1464
Taipei,RCSS,Asia/Taipei,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_RCSS.csv,True,10398,237,948
TelAviv,LLBG,Asia/Jerusalem,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LLBG.csv,True,17438,365,1460
Tokyo,RJTT,Asia/Tokyo,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_RJTT.csv,True,36828,736,2944
Warsaw,EPWA,Europe/Warsaw,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EPWA.csv,True,35252,735,2940
Wellington,NZWN,Pacific/Auckland,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_NZWN.csv,True,17515,366,1464
Wuhan,ZHHH,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZHHH.csv,True,8759,366,1464
