target_date,knmi_obs_ts_utc,knmi_ta_c,knmi_tx_c,knmi_ta_round_c,knmi_tx_round_c,next_metar_report_ts_utc,next_metar_detect_ts_utc,next_metar_temp_c,lead_to_next_metar_min,ta_minus_next_metar_c,tx_minus_next_metar_c,ta_exact_next_metar,tx_exact_next_metar,ta_within1_next_metar,tx_within1_next_metar,raw_metar
2026-07-22,2026-07-22T03:00:00+00:00,15.0,15.1,15,15,2026-07-22T03:25:00+00:00,2026-07-22T03:30:36.573004+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220325Z 34006KT 310V010 8000 -RADZ FEW006 SCT017 BKN030 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T03:10:00+00:00,14.9,15.1,15,15,2026-07-22T03:25:00+00:00,2026-07-22T03:30:36.573004+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220325Z 34006KT 310V010 8000 -RADZ FEW006 SCT017 BKN030 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T03:20:00+00:00,14.7,14.9,15,15,2026-07-22T03:25:00+00:00,2026-07-22T03:30:36.573004+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220325Z 34006KT 310V010 8000 -RADZ FEW006 SCT017 BKN030 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T03:30:00+00:00,14.7,14.7,15,15,2026-07-22T03:55:00+00:00,2026-07-22T04:02:04.743479+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220355Z 33006KT 9999 FEW008 BKN028 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T03:40:00+00:00,14.7,14.7,15,15,2026-07-22T03:55:00+00:00,2026-07-22T04:02:04.743479+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220355Z 33006KT 9999 FEW008 BKN028 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T03:50:00+00:00,14.8,14.8,15,15,2026-07-22T03:55:00+00:00,2026-07-22T04:02:04.743479+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220355Z 33006KT 9999 FEW008 BKN028 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T04:00:00+00:00,14.8,14.8,15,15,2026-07-22T04:25:00+00:00,2026-07-22T04:27:17.108508+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220425Z 32005KT 290V360 9999 -RADZ FEW012 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T04:10:00+00:00,14.9,14.9,15,15,2026-07-22T04:25:00+00:00,2026-07-22T04:27:17.108508+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220425Z 32005KT 290V360 9999 -RADZ FEW012 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T04:20:00+00:00,15.0,15.0,15,15,2026-07-22T04:25:00+00:00,2026-07-22T04:27:17.108508+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220425Z 32005KT 290V360 9999 -RADZ FEW012 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T04:30:00+00:00,15.1,15.2,15,15,2026-07-22T04:55:00+00:00,2026-07-22T04:58:37.206662+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220455Z 31004KT 9999 FEW012 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T04:40:00+00:00,14.8,15.1,15,15,2026-07-22T04:55:00+00:00,2026-07-22T04:58:37.206662+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220455Z 31004KT 9999 FEW012 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T04:50:00+00:00,14.8,14.8,15,15,2026-07-22T04:55:00+00:00,2026-07-22T04:58:37.206662+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220455Z 31004KT 9999 FEW012 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T05:00:00+00:00,14.9,14.9,15,15,2026-07-22T05:25:00+00:00,2026-07-22T05:28:47.872024+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220525Z VRB02KT 9999 FEW018 SCT033 BKN039 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T05:10:00+00:00,15.0,15.0,15,15,2026-07-22T05:25:00+00:00,2026-07-22T05:28:47.872024+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220525Z VRB02KT 9999 FEW018 SCT033 BKN039 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T05:20:00+00:00,15.1,15.1,15,15,2026-07-22T05:25:00+00:00,2026-07-22T05:28:47.872024+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220525Z VRB02KT 9999 FEW018 SCT033 BKN039 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T05:30:00+00:00,15.3,15.3,15,15,2026-07-22T05:55:00+00:00,2026-07-22T05:58:45.955872+00:00,16.0,25.0,-1,-1,0,0,1,1,METAR EHAM 220555Z 26003KT 9999 FEW018 BKN035 16/14 Q1023 NOSIG
