target_date,knmi_filename,interval_end_utc,created_at_utc,last_modified_at_utc,created_delay_sec,last_modified_delay_sec,revision_lag_after_created_sec
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221040.nc,2026-07-22T10:40:00+00:00,2026-07-22T10:43:41+00:00,2026-07-22T10:53:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221050.nc,2026-07-22T10:50:00+00:00,2026-07-22T10:53:41+00:00,2026-07-22T11:03:41+00:00,221.0,821.0,600.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221100.nc,2026-07-22T11:00:00+00:00,2026-07-22T11:03:43+00:00,2026-07-22T11:13:39+00:00,223.0,819.0,596.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221110.nc,2026-07-22T11:10:00+00:00,2026-07-22T11:13:41+00:00,2026-07-22T11:23:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221120.nc,2026-07-22T11:20:00+00:00,2026-07-22T11:23:42+00:00,2026-07-22T11:33:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221130.nc,2026-07-22T11:30:00+00:00,2026-07-22T11:33:42+00:00,2026-07-22T11:43:44+00:00,222.0,824.0,602.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221140.nc,2026-07-22T11:40:00+00:00,2026-07-22T11:43:47+00:00,2026-07-22T11:53:40+00:00,227.0,820.0,593.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221150.nc,2026-07-22T11:50:00+00:00,2026-07-22T11:53:42+00:00,2026-07-22T12:03:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221200.nc,2026-07-22T12:00:00+00:00,2026-07-22T12:03:41+00:00,2026-07-22T12:13:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221210.nc,2026-07-22T12:10:00+00:00,2026-07-22T12:13:41+00:00,2026-07-22T12:23:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221220.nc,2026-07-22T12:20:00+00:00,2026-07-22T12:23:40+00:00,2026-07-22T12:33:39+00:00,220.0,819.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221230.nc,2026-07-22T12:30:00+00:00,2026-07-22T12:33:41+00:00,2026-07-22T12:43:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221240.nc,2026-07-22T12:40:00+00:00,2026-07-22T12:43:41+00:00,2026-07-22T12:53:38+00:00,221.0,818.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221250.nc,2026-07-22T12:50:00+00:00,2026-07-22T12:53:40+00:00,2026-07-22T13:03:39+00:00,220.0,819.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221300.nc,2026-07-22T13:00:00+00:00,2026-07-22T13:03:41+00:00,2026-07-22T13:13:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221310.nc,2026-07-22T13:10:00+00:00,2026-07-22T13:13:42+00:00,2026-07-22T13:23:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221320.nc,2026-07-22T13:20:00+00:00,2026-07-22T13:23:42+00:00,2026-07-22T13:33:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221330.nc,2026-07-22T13:30:00+00:00,2026-07-22T13:33:41+00:00,2026-07-22T13:43:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221340.nc,2026-07-22T13:40:00+00:00,2026-07-22T13:43:42+00:00,2026-07-22T13:53:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221350.nc,2026-07-22T13:50:00+00:00,2026-07-22T13:53:41+00:00,2026-07-22T14:03:42+00:00,221.0,822.0,601.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221400.nc,2026-07-22T14:00:00+00:00,2026-07-22T14:03:44+00:00,2026-07-22T14:13:39+00:00,224.0,819.0,595.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221410.nc,2026-07-22T14:10:00+00:00,2026-07-22T14:13:42+00:00,2026-07-22T14:23:42+00:00,222.0,822.0,600.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221420.nc,2026-07-22T14:20:00+00:00,2026-07-22T14:23:44+00:00,2026-07-22T14:33:39+00:00,224.0,819.0,595.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221430.nc,2026-07-22T14:30:00+00:00,2026-07-22T14:33:41+00:00,2026-07-22T14:43:40+00:00,221.0,820.0,599.0
