schema_version,source,source_kind,city,station,station_label,icao,target_date,observation_time_utc,local_detect_ts_utc,fetched_at_utc,temp_c,temp_f,temp_round_f,raw_payload_hash,source_note,wigos_station_id,knmi_station_code,max_temp_c_past_10m,measurement_interval_end_utc,knmi_filename,knmi_file_created_at_utc,knmi_file_last_modified_at_utc,payload_hash,collection_mode,historical_retrieved_at_utc
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T12:40:00+00:00,2026-07-27T16:11:38.819188+00:00,2026-07-27T16:11:38.819188+00:00,24.8,76.64,77,a3cb0d98b0241b45,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.8,2026-07-25T12:40:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251240.nc,2026-07-25T12:43:41+00:00,2026-07-25T12:53:39+00:00,8ba3d91a51ae63f3,historical_backfill_not_pit,2026-07-27T16:11:38.819188+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T12:50:00+00:00,2026-07-27T16:11:38.826851+00:00,2026-07-27T16:11:38.826851+00:00,24.8,76.64,77,f572784f753d02de,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.9,2026-07-25T12:50:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251250.nc,2026-07-25T12:53:42+00:00,2026-07-25T13:03:39+00:00,9bd350bfec234a3c,historical_backfill_not_pit,2026-07-27T16:11:38.826851+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T13:00:00+00:00,2026-07-27T16:11:38.834534+00:00,2026-07-27T16:11:38.834534+00:00,24.1,75.38,75,27d6362df90979cf,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.9,2026-07-25T13:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251300.nc,2026-07-25T13:03:41+00:00,2026-07-25T13:13:38+00:00,1c00d7e35e7e324d,historical_backfill_not_pit,2026-07-27T16:11:38.834534+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T13:10:00+00:00,2026-07-27T16:11:38.842447+00:00,2026-07-27T16:11:38.842447+00:00,24.4,75.92,76,161a882e469bba9f,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.5,2026-07-25T13:10:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251310.nc,2026-07-25T13:13:40+00:00,2026-07-25T13:23:39+00:00,170387c709cdfa95,historical_backfill_not_pit,2026-07-27T16:11:38.842447+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T13:20:00+00:00,2026-07-27T16:11:38.850453+00:00,2026-07-27T16:11:38.850453+00:00,24.6,76.28,76,4ecd1ae6ad605654,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.6,2026-07-25T13:20:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251320.nc,2026-07-25T13:23:41+00:00,2026-07-25T13:33:39+00:00,64c63d6c2b7e9b76,historical_backfill_not_pit,2026-07-27T16:11:38.850453+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T13:30:00+00:00,2026-07-27T16:11:38.858513+00:00,2026-07-27T16:11:38.858513+00:00,24.0,75.2,75,067f03432b9ff96f,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,25.1,2026-07-25T13:30:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251330.nc,2026-07-25T13:33:42+00:00,2026-07-25T13:43:40+00:00,aea5f7917e90b331,historical_backfill_not_pit,2026-07-27T16:11:38.858513+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T13:40:00+00:00,2026-07-27T16:11:38.866208+00:00,2026-07-27T16:11:38.866208+00:00,24.1,75.38,75,735e39875e034288,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.8,2026-07-25T13:40:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251340.nc,2026-07-25T13:43:41+00:00,2026-07-25T13:53:38+00:00,8b2f4ac98f56ec56,historical_backfill_not_pit,2026-07-27T16:11:38.866208+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T13:50:00+00:00,2026-07-27T16:11:38.874307+00:00,2026-07-27T16:11:38.874307+00:00,24.3,75.74,76,d277d281594f2452,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.7,2026-07-25T13:50:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251350.nc,2026-07-25T13:53:39+00:00,2026-07-25T14:03:39+00:00,556d0c532c4ef8b2,historical_backfill_not_pit,2026-07-27T16:11:38.874307+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T14:00:00+00:00,2026-07-27T16:11:38.882133+00:00,2026-07-27T16:11:38.882133+00:00,23.7,74.66,75,3b38c362c08a10c6,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.4,2026-07-25T14:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251400.nc,2026-07-25T14:03:41+00:00,2026-07-25T14:13:38+00:00,28f2aafb8214ae52,historical_backfill_not_pit,2026-07-27T16:11:38.882133+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T14:10:00+00:00,2026-07-27T16:11:38.890063+00:00,2026-07-27T16:11:38.890063+00:00,24.1,75.38,75,e1149e950ca06bfe,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.2,2026-07-25T14:10:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251410.nc,2026-07-25T14:13:40+00:00,2026-07-25T14:23:39+00:00,1f0f8da667d85fde,historical_backfill_not_pit,2026-07-27T16:11:38.890063+00:00
