city,icao,decision_hour_local,city_days,rows,p50_residual_c,p75_residual_c,p90_residual_c,p95_residual_c,p99_residual_c,max_residual_c,residual_ge_0_5c_rate,residual_ge_1_0c_rate,residual_ge_1_5c_rate,bucket_delta_ge_1_rate,avg_obs_count_day,avg_obs_count_to_decision,physical_candidate_v0
Miami,KMIA,20,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0012970168612191958,0.0012970168612191958,0.0,0.0012970168612191958,27.084306095979247,22.763942931258107,True
Miami,KMIA,21,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0012970168612191958,0.0012970168612191958,0.0,0.0012970168612191958,27.084306095979247,23.827496757457848,True
Denver,KBKF,20,766,766,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0013054830287206266,0.0013054830287206266,0.0,0.0013054830287206266,25.640992167101828,21.348563968668408,True
Denver,KBKF,21,766,766,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0013054830287206266,0.0013054830287206266,0.0,0.0013054830287206266,25.640992167101828,22.4621409921671,True
Lucknow,VILK,18,727,727,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.001375515818431912,0.001375515818431912,0.001375515818431912,0.001375515818431912,43.414030261348,33.49931224209078,True
Lucknow,VILK,19,727,727,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.001375515818431912,0.001375515818431912,0.001375515818431912,0.001375515818431912,43.414030261348,35.30949105914718,True
Lucknow,VILK,20,727,727,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.001375515818431912,0.001375515818431912,0.001375515818431912,0.001375515818431912,43.414030261348,37.11416781292985,True
Busan,RKPK,21,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0038860103626943004,0.0025906735751295338,0.0,0.0025906735751295338,26.60621761658031,24.409326424870468,True
Seoul,RKSI,20,772,772,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0038860103626943004,0.0025906735751295338,0.0012953367875647669,0.0025906735751295338,47.91968911917098,40.932642487046635,True
Seoul,RKSI,21,772,772,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0025906735751295338,0.0025906735751295338,0.0012953367875647669,0.0025906735751295338,47.91968911917098,42.9300518134715,True
Shanghai,ZSPD,21,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0025906735751295338,0.0025906735751295338,0.0,0.0025906735751295338,48.968911917098445,43.873056994818654,True
Wellington,NZWN,20,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.007772020725388601,0.0025906735751295338,0.0,0.0025906735751295338,47.92875647668394,40.93782383419689,True
Wellington,NZWN,21,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0051813471502590676,0.0025906735751295338,0.0,0.0025906735751295338,47.92875647668394,42.93523316062176,True
Austin,KAUS,18,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.005188067444876783,0.0012970168612191958,0.0,0.0025940337224383916,27.487678339818416,21.04928664072633,True
BuenosAires,SAEZ,20,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0025940337224383916,0.0025940337224383916,0.0012970168612191958,0.0025940337224383916,26.219195849546043,22.96757457846952,True
BuenosAires,SAEZ,21,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0025940337224383916,0.0025940337224383916,0.0012970168612191958,0.0025940337224383916,26.219195849546043,24.01686121919585,True
Dallas,KDAL,21,771,771,0.0,0.0,0.0,0.0,0.0,0.5555555555555571,0.005188067444876783,0.0,0.0,0.0025940337224383916,27.738002594033723,24.461738002594032,True
Istanbul,LTFM,20,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.005188067444876783,0.0025940337224383916,0.0,0.0025940337224383916,47.94422827496757,39.94811932555123,True
Karachi,OPKC,18,771,771,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,47.66147859922179,36.71206225680934,True
Karachi,OPKC,19,771,771,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,47.66147859922179,38.704280155642024,True
Karachi,OPKC,20,771,771,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,47.66147859922179,40.69260700389105,True
Karachi,OPKC,21,771,771,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,0.0025940337224383916,47.66147859922179,42.68093385214008,True
LA,KLAX,21,771,771,0.0,0.0,0.0,0.0,0.0,0.5555555555555554,0.0025940337224383916,0.0,0.0,0.0025940337224383916,28.8715953307393,25.311284046692606,True
MexicoCity,MMMX,18,771,771,0.0,0.0,0.0,0.0,0.0,2.7777777777777786,0.0025940337224383916,0.0025940337224383916,0.0012970168612191958,0.0025940337224383916,31.79247730220493,23.189364461738002,True
Milan,LIML,20,771,771,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0025940337224383916,0.0025940337224383916,0.0012970168612191958,0.0025940337224383916,47.715953307392994,39.74578469520104,True
Milan,LIML,21,771,771,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0025940337224383916,0.0025940337224383916,0.0012970168612191958,0.0025940337224383916,47.715953307392994,41.73800259403372,True
