window,cushion,mode,rows,dates,cities,wins,win_rate,avg_snapshot_ask,avg_fresh_ask,avg_lag_min,cost,pnl,roi,losing_days,le_minus_50pct_days,max_daily_loss
pre_choice_2026-05-29_2026-06-30,0.05,per_share,208,32,44,23,0.11057692307692307,0.09841586538461539,0.10922596153846155,0.22756410256410253,23.71353985,-0.7135398500000002,-0.030089976212471718,15,13,-1.16888
pre_choice_2026-05-29_2026-06-30,0.05,price_tier,208,32,44,23,0.11057692307692307,0.09841586538461539,0.10922596153846155,0.22756410256410253,195.2219266,-5.221926599999996,-0.026748668507403185,14,13,-9.30568
post_choice_2026-07-01_2026-07-07,0.05,per_share,18,5,14,5,0.2777777777777778,0.09708333333333334,0.10933333333333334,1.7046296296296297,2.0541643,2.9458357,1.434079883483517,1,1,-0.3590932
post_choice_2026-07-01_2026-07-07,0.05,price_tier,18,5,14,5,0.2777777777777778,0.09708333333333334,0.10933333333333334,1.7046296296296297,17.0989686,22.9010314,1.33932238462617,1,1,-3.1979119999999996
full_2026-05-29_2026-07-07,0.05,per_share,226,37,45,28,0.12389380530973451,0.09830973451327434,0.1092345132743363,0.3452064896755162,25.76770415,2.23229585,0.08663153833982527,16,14,-1.16888
full_2026-05-29_2026-07-07,0.05,price_tier,226,37,45,28,0.12389380530973451,0.09830973451327434,0.1092345132743363,0.3452064896755162,212.3208952,17.679104800000005,0.08326596769171876,15,14,-9.30568
pre_choice_2026-05-29_2026-06-30,0.08,per_share,213,32,44,24,0.11267605633802817,0.09806338028169014,0.1099718309859155,0.2222222222222222,24.448598,-0.4485980000000003,-0.018348618599725034,15,13,-1.16888
pre_choice_2026-05-29_2026-06-30,0.08,price_tier,213,32,44,24,0.11267605633802817,0.09806338028169014,0.1099718309859155,0.2222222222222222,201.5101502,-3.510150199999997,-0.017419222786128404,14,13,-9.30568
post_choice_2026-07-01_2026-07-07,0.08,per_share,18,5,14,5,0.2777777777777778,0.09708333333333334,0.10933333333333334,1.7046296296296297,2.0541643,2.9458357,1.434079883483517,1,1,-0.3590932
post_choice_2026-07-01_2026-07-07,0.08,price_tier,18,5,14,5,0.2777777777777778,0.09708333333333334,0.10933333333333334,1.7046296296296297,17.0989686,22.9010314,1.33932238462617,1,1,-3.1979119999999996
full_2026-05-29_2026-07-07,0.08,per_share,231,37,45,29,0.12554112554112554,0.097987012987013,0.10992207792207792,0.3377344877344877,26.5027623,2.4972377,0.09422556304630932,16,14,-1.16888
full_2026-05-29_2026-07-07,0.08,price_tier,231,37,45,29,0.12554112554112554,0.097987012987013,0.10992207792207792,0.3377344877344877,218.6091188,19.390881200000006,0.08870115440033513,15,14,-9.30568
