orders,active_dates,cities,notional_usd,yes_wins,yes_win_rate,yes_roi,d1_no_win_rate,d1_no_roi,yes_minus_d1_no_roi,pnl_usd,avg_yes_ask,avg_d1_no_ask,avg_p_yes_win,avg_edge_snapshot,avg_gfs_delta,avg_ecmwf_delta,models_agree_rate,orders_per_active_day,date_min,date_max,yes_roi_ci95,yes_minus_d1_no_roi_ci95,rule,description,period,taker_cushion
7,6,6,35.0,7,1.0,0.1715078916088406,1.0,0.11354892162823335,0.057958969980607275,6.002776206309422,0.8384285714285714,0.8847142857142858,0.9342526747267789,0.09582410329820742,1.5714285714285714,1.5714285714285714,1.0,1.1666666666666667,2026-06-03,2026-06-13,"[0.1285915952089359, 0.2045984895042851]","[0.022411411447091127, 0.09981906081704756]",v9_fixed_fade_after_peak_agree,v9 plus both peaks passed and models agree within 1h,holdout,0.02
20,15,10,100.0,20,1.0,0.14456538843791567,1.0,0.09764727952214272,0.046918108915772944,14.456538843791567,0.8568,0.8941499999999998,0.9463758582067268,0.08957585820672669,1.3,0.85,1.0,1.3333333333333333,2026-05-20,2026-06-13,"[0.1200508925269035, 0.168929933281755]","[0.02861924753543987, 0.06575678494806848]",v9_fixed_fade_after_peak_agree,v9 plus both peaks passed and models agree within 1h,all,0.02
9,6,8,45.0,9,1.0,0.1143687263023602,1.0,0.0758774948520709,0.0384912314502893,5.146592683606209,0.8777777777777778,0.9100000000000001,0.9583563979885762,0.08057862021079827,0.6666666666666666,1.0,0.7777777777777778,1.5,2026-05-20,2026-05-30,"[0.0980221600589757, 0.12543867568567293]","[0.02710653688017963, 0.048889567485595524]",forecast_fade_no_fixed_hour,"fade-confirmed, no fixed clock, both peaks passed within +4h",train,0.02
6,4,5,30.0,6,1.0,0.1070280905701033,1.0,0.0803982945455814,0.026629796024521913,3.210842717103099,0.8843333333333333,0.9081666666666667,0.9632505757618915,0.07891724242855826,1.8333333333333333,1.1666666666666667,0.6666666666666666,1.5,2026-06-03,2026-06-13,"[0.0875479017836022, 0.11676818496335387]","[0.00450355491584876, 0.039553870309874097]",forecast_fade_no_fixed_hour,"fade-confirmed, no fixed clock, both peaks passed within +4h",holdout,0.02
15,10,10,75.0,15,1.0,0.11143247200945744,1.0,0.0776858147294751,0.03374665727998234,8.357435400709308,0.8803999999999998,0.9092666666666667,0.9603140690979024,0.07991406909790227,1.1333333333333333,1.0666666666666667,0.7333333333333333,1.5,2026-05-20,2026-06-13,"[0.09990865816596559, 0.11940437855532764]","[0.02405377020196991, 0.04302939424376046]",forecast_fade_no_fixed_hour,"fade-confirmed, no fixed clock, both peaks passed within +4h",all,0.02
26,12,13,130.0,24,0.9230769230769231,0.18574457839149316,0.9230769230769231,0.12123876404258038,0.06450581434891278,24.14679519089411,0.7684615384615385,0.8102307692307692,0.8637891472673636,0.09532760880582516,-0.11538461538461539,-0.38461538461538464,1.0,2.1666666666666665,2026-05-20,2026-05-31,"[0.05930811257854205, 0.29916717940915916]","[0.03622535034437017, 0.09666367205791405]",forecast_peak_forming_agree,"early current-YES sleeve: no visible fade, near agreed forecast peak",train,0.02
23,11,9,115.0,20,0.8695652173913043,0.10041246566292047,0.8695652173913043,0.06169657610205027,0.03871588956087021,11.547433551235855,0.7698695652173914,0.7928260869565217,0.8795538282845208,0.10968426306712958,0.0,-0.21739130434782608,1.0,2.090909090909091,2026-06-01,2026-06-13,"[-0.1219498373924555, 0.2746639837116997]","[0.020438715649923868, 0.05958003811666305]",forecast_peak_forming_agree,"early current-YES sleeve: no visible fade, near agreed forecast peak",holdout,0.02
49,23,15,245.0,44,0.8979591836734694,0.14569072955971418,0.8979591836734694,0.09329039011131116,0.05240033944840303,35.69422874212997,0.7691224489795919,0.8020612244897958,0.8711888954999067,0.102066446520315,-0.061224489795918366,-0.30612244897959184,1.0,2.130434782608696,2026-05-20,2026-06-13,"[0.020258028697027936, 0.25322246937867326]","[0.034312692746483374, 0.0728877771303871]",forecast_peak_forming_agree,"early current-YES sleeve: no visible fade, near agreed forecast peak",all,0.02
45,12,19,225.0,39,0.8666666666666667,0.10074667587788501,0.8666666666666667,0.04654374248633846,0.054202933391546554,22.66800207252413,0.7715555555555557,0.8103777777777778,0.873586622906721,0.10203106735116549,-0.13333333333333333,-0.2222222222222222,0.8888888888888888,3.75,2026-05-20,2026-05-31,"[-0.008595678724852092, 0.21947202703317673]","[0.029580736092088132, 0.08130038643773327]",gfs_peak_forming_shadow,"looser early sleeve: no visible fade, GFS peak nearby",train,0.02
40,12,18,200.0,34,0.85,0.090852929430559,0.85,0.049746521955544055,0.041106407475014956,18.1705858861118,0.771675,0.7987250000000001,0.8748678054592334,0.1031928054592334,-0.225,0.175,0.775,3.3333333333333335,2026-06-01,2026-06-13,"[-0.09577598172079527, 0.2768276007849872]","[0.02011446561364917, 0.06524229180381129]",gfs_peak_forming_shadow,"looser early sleeve: no visible fade, GFS peak nearby",holdout,0.02
85,24,23,425.0,73,0.8588235294117647,0.09609079519679041,0.8588235294117647,0.048050932824788145,0.04803986237200227,40.83858795863593,0.7716117647058826,0.804894117647059,0.8741895323431974,0.10257776763731509,-0.17647058823529413,-0.03529411764705882,0.8352941176470589,3.5416666666666665,2026-05-20,2026-06-13,"[-0.004575553677179465, 0.20489204435333055]","[0.03101065641031892, 0.06619271125923717]",gfs_peak_forming_shadow,"looser early sleeve: no visible fade, GFS peak nearby",all,0.02
