city,decision_snapshot_ts_utc,expression,history_delay_min,history_point_ts_utc,history_price,status,target_date,token_id
Shanghai,2026-07-08T08:52:13Z,current_yes,0.8666666666666667,2026-07-08T08:53:05Z,0.9745,ok,2026-07-08,93230150948424881105003009548197240129454156816435427868159187768059302186609
Shanghai,2026-07-08T08:52:13Z,d1_no,0.85,2026-07-08T08:53:04Z,0.9975,ok,2026-07-08,37416186851868115018923990750227080799552551088378899135947196335000029005848
Taipei,2026-07-08T06:41:55Z,current_yes,0.16666666666666666,2026-07-08T06:42:05Z,0.994,ok,2026-07-08,99281132004203337540611216545437002274297243438309306663803632219393578504053
Taipei,2026-07-08T06:41:55Z,d1_no,0.16666666666666666,2026-07-08T06:42:05Z,0.9935,ok,2026-07-08,58858760579278799501478127427530178111945835819849413431745406416161145363492
Tokyo,2026-07-08T07:12:01Z,current_yes,0.13333333333333333,2026-07-08T07:12:09Z,0.996,ok,2026-07-08,95383415891847800667762728830211991869318026632584993299575523123845805335492
Tokyo,2026-07-08T07:12:01Z,d1_no,0.13333333333333333,2026-07-08T07:12:09Z,0.9975,ok,2026-07-08,63450128387533160749740759182000583590167786576762454761925215370793869812386
Warsaw,2026-07-08T13:17:34Z,current_yes,0.5166666666666667,2026-07-08T13:18:05Z,0.985,ok,2026-07-08,65600059200646560840492439641693968246227759972594428532606440734327833824376
Warsaw,2026-07-08T13:17:34Z,d1_no,0.5166666666666667,2026-07-08T13:18:05Z,0.986,ok,2026-07-08,75291984267066312294674593812671544486566412113694154361761924436828647448544
Wellington,2026-07-08T04:15:19Z,current_yes,0.8,2026-07-08T04:16:07Z,0.9935,ok,2026-07-08,73886295692488234939376176720715843274631342641044538211150019972855302261742
Wellington,2026-07-08T04:15:19Z,d1_no,0.8,2026-07-08T04:16:07Z,0.994,ok,2026-07-08,7267488035623502921133556382464955285082764177241227139796205513982818217001
Atlanta,2026-07-09T20:26:24Z,current_yes,0.6666666666666666,2026-07-09T20:27:04Z,0.996,ok,2026-07-09,111024900635092933474532054419650951829357759210524160530387582862194470223189
Atlanta,2026-07-09T20:26:24Z,d1_no,0.6666666666666666,2026-07-09T20:27:04Z,0.9955,ok,2026-07-09,96864404549184405079778394863698462007864570481324013359298376538199184466860
Beijing,2026-07-09T08:51:51Z,current_yes,0.21666666666666667,2026-07-09T08:52:04Z,0.9955,ok,2026-07-09,74178217614406732095357226259131316211258227479245113057766609557130592613909
Beijing,2026-07-09T08:51:51Z,d1_no,0.2,2026-07-09T08:52:03Z,0.997,ok,2026-07-09,75777986688102581267243789281567334742216371021966653845521529652822076423019
Busan,2026-07-09T06:10:11Z,current_yes,0.8833333333333333,2026-07-09T06:11:04Z,0.96,ok,2026-07-09,36970437087142522300906768077926120347442935999805019705295734931510419802663
Busan,2026-07-09T06:10:11Z,d1_no,0.8833333333333333,2026-07-09T06:11:04Z,0.95,ok,2026-07-09,113276852080932193448091687349754692403307611301270843815282130745805859088714
Denver,2026-07-09T21:11:08Z,current_yes,0.9166666666666666,2026-07-09T21:12:03Z,0.965,ok,2026-07-09,115461886649030148734780447895627568423408901567984314530498054553154941739455
Denver,2026-07-09T21:11:08Z,d1_no,0.9166666666666666,2026-07-09T21:12:03Z,0.9745,ok,2026-07-09,74741601006354215830591336342828877182129788361508815063447576385161842957634
Guangzhou,2026-07-09T06:25:06Z,current_yes,0.95,2026-07-09T06:26:03Z,0.915,ok,2026-07-09,97411272954830291998471730601984063126540998153796582545834789584568763476935
Guangzhou,2026-07-09T06:25:06Z,d1_no,0.95,2026-07-09T06:26:03Z,0.945,ok,2026-07-09,5413884008763231859469870243451535818502431621739376807551557462148878879934
Jeddah,2026-07-09T11:26:33Z,current_yes,0.5166666666666667,2026-07-09T11:27:04Z,0.81,ok,2026-07-09,24423281539356764790607118303705007510492782888076750875736801664054014732458
Jeddah,2026-07-09T11:26:33Z,d1_no,0.5166666666666667,2026-07-09T11:27:04Z,0.89,ok,2026-07-09,101825033883248873509162603647077435167428653743763977629231303416968884958614
Karachi,2026-07-09T11:26:33Z,current_yes,0.5,2026-07-09T11:27:03Z,0.9955,ok,2026-07-09,76038199754454326495804516603001688562221481288957089143814833731146952248303
Karachi,2026-07-09T11:26:33Z,d1_no,0.5,2026-07-09T11:27:03Z,0.9965,ok,2026-07-09,67354419609449373701995886776312949317054164704854234426581711406401332758660
LA,2026-07-09T22:10:52Z,current_yes,0.21666666666666667,2026-07-09T22:11:05Z,0.995,ok,2026-07-09,55734739166609746298051562156035587832818140737555880127724635019878695781535
LA,2026-07-09T22:10:52Z,d1_no,0.21666666666666667,2026-07-09T22:11:05Z,0.9955,ok,2026-07-09,75889221505966434483924345697069832192911486814487170489328513980051300006901
Manila,2026-07-09T07:08:52Z,current_yes,0.21666666666666667,2026-07-09T07:09:05Z,0.9855,ok,2026-07-09,50710688216439534843536896351515294767840538598648573274771164328955023647293
Manila,2026-07-09T07:08:52Z,d1_no,0.2,2026-07-09T07:09:04Z,0.9875,ok,2026-07-09,85540744589808695660452690021016651354723646852989221187421127138770564444076
NYC,2026-07-09T18:06:04Z,current_yes,0.016666666666666666,2026-07-09T18:06:05Z,0.9885,ok,2026-07-09,88938188381591374473700876821799526063877605109273754047067718393560957582723
NYC,2026-07-09T18:06:04Z,d1_no,0.016666666666666666,2026-07-09T18:06:05Z,0.9945,ok,2026-07-09,109968648476324916246300839568504623122479283593939827829439038336501337927176
PanamaCity,2026-07-09T18:06:04Z,current_yes,0.0,2026-07-09T18:06:04Z,0.985,ok,2026-07-09,18959869474931873510700684013168003433815279310019459225949875413595662184775
PanamaCity,2026-07-09T18:38:09Z,current_yes,0.9166666666666666,2026-07-09T18:39:04Z,0.993,ok,2026-07-09,18959869474931873510700684013168003433815279310019459225949875413595662184775
PanamaCity,2026-07-09T18:06:04Z,d1_no,0.016666666666666666,2026-07-09T18:06:05Z,0.989,ok,2026-07-09,109927655332403238721542802770084315865962947070354130476637842920745889131219
PanamaCity,2026-07-09T18:38:09Z,d1_no,0.9333333333333333,2026-07-09T18:39:05Z,0.9965,ok,2026-07-09,109927655332403238721542802770084315865962947070354130476637842920745889131219
SanFrancisco,2026-07-09T22:10:52Z,current_yes,0.21666666666666667,2026-07-09T22:11:05Z,0.965,ok,2026-07-09,60003132911799652086301122131537969927318033029796308984426745000674519199878
SanFrancisco,2026-07-09T22:10:52Z,d1_no,0.21666666666666667,2026-07-09T22:11:05Z,0.9935,ok,2026-07-09,94682345248965587468643579196132626183748992097543782601534684093599320777542
Singapore,2026-07-09T05:41:04Z,current_yes,0.016666666666666666,2026-07-09T05:41:05Z,0.945,ok,2026-07-09,97352215878312669932217927916770529035559964243148346297662008768153970312899
Singapore,2026-07-09T06:10:11Z,current_yes,0.8833333333333333,2026-07-09T06:11:04Z,0.9395,ok,2026-07-09,97352215878312669932217927916770529035559964243148346297662008768153970312899
Singapore,2026-07-09T05:41:04Z,d1_no,0.0,2026-07-09T05:41:04Z,0.9495,ok,2026-07-09,42239860011273339445932693912468855811524392455475053197928382999753441792836
Singapore,2026-07-09T06:10:11Z,d1_no,0.8666666666666667,2026-07-09T06:11:03Z,0.944,ok,2026-07-09,42239860011273339445932693912468855811524392455475053197928382999753441792836
Taipei,2026-07-09T07:38:31Z,current_yes,0.55,2026-07-09T07:39:04Z,0.9945,ok,2026-07-09,100143611669343839582041537897302123353209018909999755574273368826468917916840
Taipei,2026-07-09T07:38:31Z,d1_no,0.55,2026-07-09T07:39:04Z,0.994,ok,2026-07-09,17985184133000327647334417670980409636422133003434568442152443565160218453893
Tokyo,2026-07-09T07:38:31Z,current_yes,0.55,2026-07-09T07:39:04Z,0.996,ok,2026-07-09,44096573730079517612304264767236921993999066140189870535325173448454230966055
