changed_since_last,city,current_bracket,current_native,current_temp_c,current_yes_ask,current_yes_indicative,current_yes_quote_delay_min,current_yes_quote_source,current_yes_quote_ts_utc,current_yes_snapshot_raw_ask,d1_bracket,d1_no_ask,d1_no_indicative,d1_no_quote_delay_min,d1_no_quote_source,d1_no_quote_ts_utc,d1_no_snapshot_raw_ask,decision_hour_local_at_detect,decision_snapshot_ts_utc,decline_gate,decline_native,detected_after_report_sec,effective_cost_per_share,entry_ask,estimated_cadence_min,expression,fee_per_share,forecast_max_native,forecast_peak_delta_hours_local,in_research_window,live_observation_source,local_detect_ts_utc,mapping_rule,mature_high_gate,minutes_since_running_max_at_detect,path_not_warming_gate,payload_hash,physical_confirmation_base,physical_confirmation_strong_partial,physical_support_count_partial,physical_support_reasons_partial,pnl_per_share,prebase_without_forecast_clock,precip_state,price_source,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,snapshot_path,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_file_ts_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state,win
True,Miami,92-93,91.03999999999999,32.8,,0.94,,missing_within_30m,,,94-95,,0.958,,missing_within_30m,,,14.969444444444445,2026-07-08T19:03:18Z,True,0.9000000000000057,310.034,0.94282,0.94,60.0,current_yes,0.00282,88.9,2.05,True,aviationweather_metar,2026-07-08T18:58:10.033517+00:00,whole-degree WU station max,True,65.16722528333334,True,6c1e0639f01aef5b,True,False,0,[],0.05718000000000001,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR KMIA 081853Z 11006G16KT 10SM SCT039 33/24 A3012 RMK AO2 SLP201 T03280239,401f69474a8deea1,20,same_station_source_profile,59.94469446824091,METAR,33.3,91.94,WU market rules station matches configured station,default_wu_station_by_rules,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0303.json,aviationweather_metar,310.034,2026-07-08T18:58:10.033517Z,2026-07-08T18:58:10.033517+00:00,1.735,2026-07-08T18:58:08.298122+00:00,,metar_speci_capable,2026-07-08T18:53:00Z,KMIA,ok,2026-07-08,32.8,-0.9,2026-07-08T18:58:10.033517+00:00,F,flat,1.0
True,Miami,92-93,91.03999999999999,32.8,,0.94,,missing_within_30m,,,94-95,,0.958,,missing_within_30m,,,14.969444444444445,2026-07-08T19:03:18Z,True,0.9000000000000057,310.034,0.9600099999999999,0.958,60.0,d1_no,0.00201,88.9,2.05,True,aviationweather_metar,2026-07-08T18:58:10.033517+00:00,whole-degree WU station max,True,65.16722528333334,True,6c1e0639f01aef5b,True,False,0,[],0.03999000000000008,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR KMIA 081853Z 11006G16KT 10SM SCT039 33/24 A3012 RMK AO2 SLP201 T03280239,401f69474a8deea1,20,same_station_source_profile,59.94469446824091,METAR,33.3,91.94,WU market rules station matches configured station,default_wu_station_by_rules,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0303.json,aviationweather_metar,310.034,2026-07-08T18:58:10.033517Z,2026-07-08T18:58:10.033517+00:00,1.735,2026-07-08T18:58:08.298122+00:00,,metar_speci_capable,2026-07-08T18:53:00Z,KMIA,ok,2026-07-08,32.8,-0.9,2026-07-08T18:58:10.033517+00:00,F,flat,1.0
True,BuenosAires,18,16.0,16.0,0.999,0.9955,0.65,orderbook_archive_first_after_signal,2026-07-08T19:19:33Z,0.999,20,0.999,0.9965,0.6666666666666666,orderbook_archive_first_after_signal,2026-07-08T19:19:34Z,0.999,16.15583333333333,2026-07-08T19:18:54Z,True,2.0,561.643,0.99572,0.9955,60.0,current_yes,0.00022,16.8,1.3,True,aviationweather_metar,2026-07-08T19:09:21.642541+00:00,whole-degree WU station max,True,69.36070901666668,True,530b9d4d62fd2997,True,False,1,['onshore_marine_cooling'],0.0042799999999999505,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR SAEZ 081900Z 06011KT CAVOK 16/07 Q1013 NOSIG,ba32d6a7269999cb,17,same_station_source_profile,55.144459527044,METAR,18.0,18.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0318.json,aviationweather_metar,561.643,2026-07-08T19:09:21.642541Z,2026-07-08T19:09:21.642541+00:00,1.293,2026-07-08T19:09:20.349384+00:00,,routine_metar_only,2026-07-08T19:00:00Z,SAEZ,ok,2026-07-08,16.0,-3.6,2026-07-08T19:09:21.642541+00:00,C,cooling,1.0
True,BuenosAires,18,16.0,16.0,0.999,0.9955,0.65,orderbook_archive_first_after_signal,2026-07-08T19:19:33Z,0.999,20,0.999,0.9965,0.6666666666666666,orderbook_archive_first_after_signal,2026-07-08T19:19:34Z,0.999,16.15583333333333,2026-07-08T19:18:54Z,True,2.0,561.643,0.9966700000000001,0.9965,60.0,d1_no,0.00017,16.8,1.3,True,aviationweather_metar,2026-07-08T19:09:21.642541+00:00,whole-degree WU station max,True,69.36070901666668,True,530b9d4d62fd2997,True,False,1,['onshore_marine_cooling'],0.003329999999999944,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR SAEZ 081900Z 06011KT CAVOK 16/07 Q1013 NOSIG,ba32d6a7269999cb,17,same_station_source_profile,55.144459527044,METAR,18.0,18.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0318.json,aviationweather_metar,561.643,2026-07-08T19:09:21.642541Z,2026-07-08T19:09:21.642541+00:00,1.293,2026-07-08T19:09:20.349384+00:00,,routine_metar_only,2026-07-08T19:00:00Z,SAEZ,ok,2026-07-08,16.0,-3.6,2026-07-08T19:09:21.642541+00:00,C,cooling,1.0
True,Denver,92-93,91.22,32.9,,0.8975,,missing_within_30m,,,94-95,,0.9365,,missing_within_30m,,,13.233055555555556,2026-07-08T19:18:54Z,True,1.6200000000000045,959.742,0.9021,0.8975,60.0,current_yes,0.0046,91.7,0.3,True,aviationweather_metar,2026-07-08T19:13:59.742247+00:00,whole-degree WU station max,True,75.99570411666667,True,4e9f760854f5ce40,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.09789999999999999,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR KBKF 081858Z 01010G16KT 10SM SCT090 BKN140 BKN200 33/03 A3016 RMK AO2A LTG DSNT W SLP114 T03290028,0adf6e2ba2184212,13,same_station_source_profile,15.160090530440064,METAR,33.8,92.84,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0318.json,aviationweather_metar,959.742,2026-07-08T19:13:59.742247Z,2026-07-08T19:13:59.742247+00:00,2.057,2026-07-08T19:13:57.685345+00:00,,metar_speci_capable,2026-07-08T18:58:00Z,KBKF,ok,2026-07-08,32.9,-1.6199999999999974,2026-07-08T19:13:59.742247+00:00,F,cooling,1.0
True,Denver,92-93,91.22,32.9,,0.8975,,missing_within_30m,,,94-95,,0.9365,,missing_within_30m,,,13.233055555555556,2026-07-08T19:18:54Z,True,1.6200000000000045,959.742,0.93947,0.9365,60.0,d1_no,0.00297,91.7,0.3,True,aviationweather_metar,2026-07-08T19:13:59.742247+00:00,whole-degree WU station max,True,75.99570411666667,True,4e9f760854f5ce40,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.06052999999999997,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR KBKF 081858Z 01010G16KT 10SM SCT090 BKN140 BKN200 33/03 A3016 RMK AO2A LTG DSNT W SLP114 T03290028,0adf6e2ba2184212,13,same_station_source_profile,15.160090530440064,METAR,33.8,92.84,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0318.json,aviationweather_metar,959.742,2026-07-08T19:13:59.742247Z,2026-07-08T19:13:59.742247+00:00,2.057,2026-07-08T19:13:57.685345+00:00,,metar_speci_capable,2026-07-08T18:58:00Z,KBKF,ok,2026-07-08,32.9,-1.6199999999999974,2026-07-08T19:13:59.742247+00:00,F,cooling,1.0
True,PanamaCity,35,34.0,34.0,,0.9895,,missing_within_30m,,,36,,0.9905,,missing_within_30m,,,15.0475,2026-07-08T20:05:26Z,True,1.0,171.204,0.99002,0.9895,60.0,current_yes,0.00052,33.7,3.08,True,aviationweather_metar,2026-07-08T20:02:51.204155+00:00,whole-degree official station max,True,62.853402583333335,True,2bd139cb6b33e056,True,False,1,['observed_precipitation'],0.009979999999999989,True,rain_or_drizzle,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR MPMG 082000Z 30013KT 270V330 9000 VCSH SCT016TCU SCT090 34/26 Q1007 TEMPO 6000 RA,11b5dd9c0de917ef,16,official_station_diff_aligned,63.14309255534474,METAR,35.0,35.0,WU official station from market rules,official_station_diff_confirmed,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0405.json,aviationweather_metar,171.204,2026-07-08T20:02:51.204155Z,2026-07-08T20:02:51.204155+00:00,1.349,2026-07-08T20:02:49.855053+00:00,,metar_speci_capable,2026-07-08T20:00:00Z,MPMG,ok,2026-07-08,34.0,-1.8,2026-07-08T20:02:51.204155+00:00,C,cooling,1.0
True,PanamaCity,35,34.0,34.0,,0.9895,,missing_within_30m,,,36,,0.9905,,missing_within_30m,,,15.0475,2026-07-08T20:05:26Z,True,1.0,171.204,0.99097,0.9905,60.0,d1_no,0.00047,33.7,3.08,True,aviationweather_metar,2026-07-08T20:02:51.204155+00:00,whole-degree official station max,True,62.853402583333335,True,2bd139cb6b33e056,True,False,1,['observed_precipitation'],0.009029999999999982,True,rain_or_drizzle,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR MPMG 082000Z 30013KT 270V330 9000 VCSH SCT016TCU SCT090 34/26 Q1007 TEMPO 6000 RA,11b5dd9c0de917ef,16,official_station_diff_aligned,63.14309255534474,METAR,35.0,35.0,WU official station from market rules,official_station_diff_confirmed,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0405.json,aviationweather_metar,171.204,2026-07-08T20:02:51.204155Z,2026-07-08T20:02:51.204155+00:00,1.349,2026-07-08T20:02:49.855053+00:00,,metar_speci_capable,2026-07-08T20:00:00Z,MPMG,ok,2026-07-08,34.0,-1.8,2026-07-08T20:02:51.204155+00:00,C,cooling,1.0
True,LA,74-75,73.04,22.8,,0.9835,,missing_within_30m,,,76-77,,0.985,,missing_within_30m,,,13.931666666666667,2026-07-08T21:05:38Z,True,0.8999999999999915,174.65,0.98431,0.9835,60.0,current_yes,0.00081,75.1,4.08,True,aviationweather_metar,2026-07-08T20:55:54.649530+00:00,whole-degree WU station max,True,62.9108255,True,e3ede3227ed5a039,True,False,1,['onshore_marine_cooling'],0.015689999999999982,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR KLAX 082053Z 25011KT 10SM FEW010 FEW025 23/16 A2995 RMK AO2 SLP139 T02280161 58009,3c1099e99aa05d88,15,same_station_source_profile,65.50861186723508,METAR,23.3,73.94,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0505.json,aviationweather_metar,174.65,2026-07-08T20:55:54.649530Z,2026-07-08T20:55:54.649530+00:00,1.642,2026-07-08T20:55:53.007647+00:00,,metar_speci_capable,2026-07-08T20:53:00Z,KLAX,ok,2026-07-08,22.8,-0.9,2026-07-08T20:55:54.649530+00:00,F,flat,1.0
True,LA,74-75,73.04,22.8,,0.9835,,missing_within_30m,,,76-77,,0.985,,missing_within_30m,,,13.931666666666667,2026-07-08T21:05:38Z,True,0.8999999999999915,174.65,0.98574,0.985,60.0,d1_no,0.00074,75.1,4.08,True,aviationweather_metar,2026-07-08T20:55:54.649530+00:00,whole-degree WU station max,True,62.9108255,True,e3ede3227ed5a039,True,False,1,['onshore_marine_cooling'],0.01426000000000005,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR KLAX 082053Z 25011KT 10SM FEW010 FEW025 23/16 A2995 RMK AO2 SLP139 T02280161 58009,3c1099e99aa05d88,15,same_station_source_profile,65.50861186723508,METAR,23.3,73.94,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0505.json,aviationweather_metar,174.65,2026-07-08T20:55:54.649530Z,2026-07-08T20:55:54.649530+00:00,1.642,2026-07-08T20:55:53.007647+00:00,,metar_speci_capable,2026-07-08T20:53:00Z,KLAX,ok,2026-07-08,22.8,-0.9,2026-07-08T20:55:54.649530+00:00,F,flat,1.0
