changed_since_last,city,current_native,current_temp_c,decision_hour_local_at_detect,decline_native,detected_after_report_sec,estimated_cadence_min,live_observation_source,local_detect_ts_utc,mapping_rule,minutes_since_running_max_at_detect,payload_hash,physical_support_count_partial,physical_support_reasons_partial,prebase_without_forecast_clock,precip_state,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_file_ts_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state
True,Taipei,29.0,29.0,16.120555555555555,6.0,434.411,30.0,aviationweather_metar,2026-07-07T08:07:14.411170+00:00,whole-degree WU station max,247.24018616666666,d843ae56c70f46a0,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR RCSS 070800Z VRB01KT 9999 -RA FEW020 BKN032 BKN220 29/27 Q1008 NOSIG RMK A2978 RA AMT 1.0MM,677c093d4ed9cf86,28,same_station_source_profile,88.99225887739404,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,434.411,2026-07-07T08:07:14.411170Z,2026-07-07T08:07:14.411170+00:00,1.015,2026-07-07T08:07:13.395705+00:00,,metar_speci_capable,2026-07-07T08:00:00Z,RCSS,ok,2026-07-07,29.0,-3.6,2026-07-07T08:07:14.411170+00:00,C,cooling
True,Beijing,25.0,25.0,16.63361111111111,8.0,481.858,30.0,aviationweather_metar,2026-07-07T08:38:01.858290+00:00,whole-degree WU station max,218.0309715,38b206e7eca7e425,0,[],True,thunderstorm,weather_data_feed_service.source_events,METAR ZBAA 070830Z 11004MPS 050V150 9999 TS SCT033CB 25/21 Q0998 NOSIG,1f69a8755bad81f3,34,same_station_source_profile,78.49764721655076,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,aviationweather_metar,481.858,2026-07-07T08:38:01.858290Z,2026-07-07T08:38:01.858290+00:00,1.316,2026-07-07T08:38:00.541810+00:00,,metar_speci_capable,2026-07-07T08:30:00Z,ZBAA,ok,2026-07-07,25.0,-1.8,2026-07-07T08:38:01.858290+00:00,C,cooling
True,Guangzhou,29.0,29.0,16.634722222222223,2.0,485.536,30.0,aviationweather_metar,2026-07-07T08:38:05.535707+00:00,whole-degree WU station max,68.09226178333333,7887692f60f5335a,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR ZGGG 070830Z 14004MPS 9999 -SHRA SCT020 BKN040 29/25 Q1005 NOSIG,4b70a27aa9971c16,34,same_station_source_profile,79.0585121873896,METAR,31.0,31.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,485.536,2026-07-07T08:38:05.535707Z,2026-07-07T08:38:05.535707+00:00,1.27,2026-07-07T08:38:04.265853+00:00,,metar_speci_capable,2026-07-07T08:30:00Z,ZGGG,ok,2026-07-07,29.0,-3.6,2026-07-07T08:38:05.535707+00:00,C,cooling
True,Lucknow,33.0,33.0,14.595,1.0,342.839,30.0,aviationweather_metar,2026-07-07T09:05:42.838638+00:00,whole-degree WU station max,65.7139773,f260c2c1879984ae,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR VILK 070900Z 09008G18KT 5000 HZ SCT020 FEW030CB OVC090 33/25 Q0995 NOSIG,d86ca266afa5824f,30,same_station_source_profile,62.92958329531055,METAR,34.0,34.0,WU market rules station matches configured station,default_wu_station_by_rules,4,aviationweather_metar,342.839,2026-07-07T09:05:42.838638Z,2026-07-07T09:05:42.838638+00:00,1.964,2026-07-07T09:05:40.875110+00:00,,routine_metar_only,2026-07-07T09:00:00Z,VILK,ok,2026-07-07,33.0,-1.8,2026-07-07T09:05:42.838638+00:00,C,cooling
True,Jeddah,37.0,37.0,13.09388888888889,1.0,338.505,60.0,aviationweather_metar,2026-07-07T10:05:38.505474+00:00,whole-degree WU station max,65.6417579,7137c8008197b524,1,['onshore_marine_cooling'],True,none_observed,weather_data_feed_service.source_events,METAR OEJN 071000Z 29011KT CAVOK 37/25 Q1004 NOSIG,1c5499593518b2d5,14,same_station_source_profile,50.41873224708425,METAR,38.0,38.0,WU market rules station matches configured station,default_wu_station_by_rules,0,aviationweather_metar,338.505,2026-07-07T10:05:38.505474Z,2026-07-07T10:05:38.505474+00:00,1.034,2026-07-07T10:05:37.471479+00:00,,routine_metar_only,2026-07-07T10:00:00Z,OEJN,ok,2026-07-07,37.0,-1.8,2026-07-07T10:05:38.505474+00:00,C,cooling
True,Helsinki,12.0,12.0,13.390277777777778,2.0,205.766,30.0,aviationweather_metar,2026-07-07T10:23:25.766177+00:00,whole-degree WU station max,63.42943628333333,3061eafd4e7d13dc,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR EFHK 071020Z 29009KT 9999 -SHRA BKN009 FEW030CB 12/11 Q0994 TEMPO 7000 SHRA BKN015 FEW030CB,f44d0294c9028da8,27,same_station_source_profile,93.60237175676417,METAR,14.0,14.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,205.766,2026-07-07T10:23:25.766177Z,2026-07-07T10:23:25.766177+00:00,1.266,2026-07-07T10:23:24.499702+00:00,,routine_metar_only,2026-07-07T10:20:00Z,EFHK,ok,2026-07-07,12.0,-3.6,2026-07-07T10:23:25.766177+00:00,C,cooling
True,Helsinki,13.0,13.0,13.875,1.0,150.206,30.0,aviationweather_metar,2026-07-07T10:52:30.206493+00:00,whole-degree WU station max,92.50344154999999,c8db17b54a4afc92,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR EFHK 071050Z 27007KT 9999 -SHRA BKN010 FEW030CB 13/12 Q0995 TEMPO BKN015 FEW030CB,35649c3cc4cf1b45,28,same_station_source_profile,93.65072411461962,METAR,14.0,14.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,150.206,2026-07-07T10:52:30.206493Z,2026-07-07T10:52:30.206493+00:00,1.099,2026-07-07T10:52:29.107258+00:00,,routine_metar_only,2026-07-07T10:50:00Z,EFHK,ok,2026-07-07,13.0,0.0,2026-07-07T10:52:30.206493+00:00,C,flat
True,Jeddah,37.0,37.0,14.030000000000001,1.0,108.139,60.0,aviationweather_metar,2026-07-07T11:01:48.138689+00:00,whole-degree WU station max,121.80231148333334,5844e7c1a5b1f799,0,[],True,none_observed,weather_data_feed_service.source_events,METAR OEJN 071100Z 27009KT CAVOK 37/25 Q1004 NOSIG,e0ca58c0e2ca8b6c,15,same_station_source_profile,50.41873224708425,METAR,38.0,38.0,WU market rules station matches configured station,default_wu_station_by_rules,0,aviationweather_metar,108.139,2026-07-07T11:01:48.138689Z,2026-07-07T11:01:48.138689+00:00,1.098,2026-07-07T11:01:47.040418+00:00,,routine_metar_only,2026-07-07T11:00:00Z,OEJN,ok,2026-07-07,37.0,0.0,2026-07-07T11:01:48.138689+00:00,C,flat
True,Karachi,34.0,34.0,16.029999999999998,1.0,108.366,30.0,aviationweather_metar,2026-07-07T11:01:48.366335+00:00,whole-degree WU station max,61.806105583333334,8f9c41a089187500,1,['onshore_marine_cooling'],True,none_observed,weather_data_feed_service.source_events,METAR OPKC 071100Z 21015KT 4000 HZ SCT020 34/25 Q0996 NOSIG,133edb8476a58db7,33,same_station_source_profile,59.501583031997214,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,2,aviationweather_metar,108.366,2026-07-07T11:01:48.366335Z,2026-07-07T11:01:48.366335+00:00,1.247,2026-07-07T11:01:47.119114+00:00,,routine_metar_only,2026-07-07T11:00:00Z,OPKC,ok,2026-07-07,34.0,-1.8,2026-07-07T11:01:48.366335+00:00,C,cooling
True,Lucknow,32.0,32.0,16.634722222222223,2.0,485.617,30.0,aviationweather_metar,2026-07-07T11:08:05.616547+00:00,whole-degree WU station max,68.09360911666667,edd3eed008fada86,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR VILK 071100Z 08015G25KT 4000 HZ SCT018 FEW030CB BKN090 32/26 Q0994 NOSIG,839bb68dc34dbb30,34,same_station_source_profile,70.6570356447408,METAR,34.0,34.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,485.617,2026-07-07T11:08:05.616547Z,2026-07-07T11:08:05.616547+00:00,0.976,2026-07-07T11:08:04.641028+00:00,,routine_metar_only,2026-07-07T11:00:00Z,VILK,ok,2026-07-07,32.0,-3.6,2026-07-07T11:08:05.616547+00:00,C,cooling
