city,target_date,snapshot_ts_utc,legs,leg_set,cost,pnl,wins,worst_leg_pnl,depth_5c_sum,roi,period
Guangzhou,2026-06-30,2026-06-30T07:26:03Z,2,"current_yes,d1_no",1.99335,0.006650000000000045,2.0,0.002850000000000019,2487.27,0.003336092507587752,forward_2026-06-29_2026-07-04
Guangzhou,2026-07-01,2026-07-01T07:15:54Z,4,"current_yes,d1_no,d2_no,d3_no",3.5033,-1.5032999999999999,2.0,-0.96192,3352.41,-0.4291096965718037,forward_2026-06-29_2026-07-04
Guangzhou,2026-07-01,2026-07-01T10:32:16Z,2,"current_yes,d1_no",1.9886,0.011400000000000077,2.0,0.002850000000000019,2594.29,0.005732676254651552,forward_2026-06-29_2026-07-04
Guangzhou,2026-07-04,2026-07-04T07:11:44Z,3,"current_yes,d1_no,d2_no",2.9105,0.08950000000000002,3.0,0.0038000000000000256,3410.33,0.03075073011510051,forward_2026-06-29_2026-07-04
Helsinki,2026-06-30,2026-06-30T07:26:03Z,3,"d1_no,d2_no,d3_no",2.70751,-0.70751,2.0,-0.73985,1860.7400000000002,-0.2613139009643547,forward_2026-06-29_2026-07-04
Helsinki,2026-06-30,2026-06-30T08:02:37Z,4,"current_yes,d1_no,d2_no,d3_no",2.14546,-0.14545999999999992,2.0,-0.73008,1378.56,-0.06779898017208427,forward_2026-06-29_2026-07-04
Helsinki,2026-06-30,2026-06-30T10:39:09Z,4,"current_yes,d1_no,d2_no,d3_no",2.29866,-0.29866000000000004,2.0,-0.60209,11694.52,-0.12992787102050762,forward_2026-06-29_2026-07-04
Helsinki,2026-07-01,2026-07-01T07:56:37Z,4,"current_yes,d1_no,d2_no,d3_no",2.33729,-0.33728999999999987,2.0,-0.612,330.32,-0.14430815174839232,forward_2026-06-29_2026-07-04
Helsinki,2026-07-01,2026-07-01T09:55:18Z,4,"current_yes,d1_no,d2_no,d3_no",2.8434,1.1566,4.0,0.0019000000000000128,1286.17,0.4067665470915102,forward_2026-06-29_2026-07-04
Helsinki,2026-07-04,2026-07-04T07:11:44Z,4,"current_yes,d1_no,d2_no,d3_no",2.4156500000000003,-0.41565000000000013,2.0,-0.58226,546.73,-0.1720654896197711,forward_2026-06-29_2026-07-04
HongKong,2026-06-30,2026-06-30T07:26:03Z,4,"current_yes,d1_no,d2_no,d3_no",3.04848,-0.04847999999999998,3.0,-0.05133,15862.49,-0.01590300740040938,forward_2026-06-29_2026-07-04
HongKong,2026-07-01,2026-07-01T07:15:54Z,1,current_yes,0.08264,-0.08264,0.0,-0.08264,93.09,-1.0,forward_2026-06-29_2026-07-04
HongKong,2026-07-04,2026-07-04T07:11:44Z,2,"current_yes,d1_no",1.9962,0.0038000000000000256,2.0,0.0019000000000000128,9633.039999999999,0.001903616872056921,forward_2026-06-29_2026-07-04
Houston,2026-06-30,2026-06-30T07:26:03Z,2,"d2_no,d3_no",1.9981,0.0019000000000000128,2.0,0.0009500000000000064,500.42,0.0009509033581902871,forward_2026-06-29_2026-07-04
Houston,2026-07-01,2026-07-01T07:15:54Z,2,"d2_no,d3_no",1.9962,0.0038000000000000256,2.0,0.0019000000000000128,92066.59,0.001903616872056921,forward_2026-06-29_2026-07-04
Houston,2026-07-04,2026-07-04T07:11:44Z,3,"d2_no,d2_no,d3_no",2.99715,0.002850000000000019,3.0,0.0009500000000000064,2870.12,0.0009509033581902871,forward_2026-06-29_2026-07-04
Istanbul,2026-06-30,2026-06-30T07:26:03Z,4,"current_yes,d1_no,d2_no,d3_no",2.07466,-0.07466000000000012,2.0,-0.44226,3171.58,-0.035986619494278636,forward_2026-06-29_2026-07-04
