period,selector,sizing,target_date,rows,wins,cost,pnl,roi
historical_recent,base_edge20_ask01_25,fixed5,2026-06-12,17,4,85.0,34.11850477200424,0.40139417378828524
historical_recent,base_edge20_ask01_25,fixed5,2026-06-13,18,3,90.0,136.14942528735634,1.5127713920817372
historical_recent,base_edge20_ask01_25,fixed5,2026-06-14,21,1,105.0,-67.96296296296296,-0.6472663139329806
historical_recent,base_edge20_ask01_25,fixed5,2026-06-15,20,4,100.0,207.2362278244631,2.072362278244631
historical_recent,base_edge20_ask01_25,fixed5,2026-06-16,24,5,120.0,124.96733256903174,1.0413944380752644
historical_recent,base_edge20_ask01_25,fixed5,2026-06-17,21,1,105.0,61.666666666666686,0.5873015873015874
historical_recent,base_edge20_ask01_25,fixed5,2026-06-18,14,1,70.0,-32.96296296296296,-0.4708994708994709
historical_recent,base_edge20_ask01_25,fixed5,2026-06-19,16,0,80.0,-80.0,-1.0
historical_recent,base_edge20_ask01_25,fixed5,2026-06-20,14,2,70.0,26.360628618693134,0.3765804088384733
historical_recent,base_edge20_ask01_25,fixed5,2026-06-21,19,1,95.0,-64.6969696969697,-0.6810207336523126
historical_recent,base_edge20_ask01_25,fixed5,2026-06-22,17,1,85.0,-58.47480106100796,-0.6879388360118583
historical_recent,base_edge20_ask01_25,fixed5,2026-06-23,24,4,120.0,83.1882987308636,0.6932358227571966
historical_recent,base_edge20_ask01_25,fixed5,2026-06-24,17,4,85.0,119.93197278911566,1.410964385754302
historical_recent,base_edge20_ask01_25,fixed5,2026-06-25,17,2,85.0,58.21357285429142,0.6848655629916638
historical_recent,base_edge20_ask01_25,fixed5,2026-06-26,13,1,65.0,-40.0,-0.6153846153846154
forward,base_edge20_ask01_25,fixed5,2026-06-27,16,1,80.0,-51.42857142857143,-0.6428571428571429
forward,base_edge20_ask01_25,fixed5,2026-06-28,13,1,65.0,-26.832061068702295,-0.41280093951849683
forward,base_edge20_ask01_25,fixed5,2026-06-30,3,1,15.0,129.92753623188403,8.661835748792269
historical,base_edge20_ask01_25,payout25_cap5,2026-05-06,6,0,11.125,-11.125,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-05-07,8,2,19.65,30.35,1.544529262086514
historical,base_edge20_ask01_25,payout25_cap5,2026-05-08,8,1,13.0875,11.9125,0.9102196752626551
historical,base_edge20_ask01_25,payout25_cap5,2026-05-09,6,1,9.75,15.25,1.564102564102564
historical,base_edge20_ask01_25,payout25_cap5,2026-05-10,4,0,5.300000000000001,-5.300000000000001,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-05-11,7,1,17.15,7.849999999999999,0.45772594752186585
historical,base_edge20_ask01_25,payout25_cap5,2026-05-12,4,1,11.9875,13.0125,1.0855057351407715
historical,base_edge20_ask01_25,payout25_cap5,2026-05-13,10,3,23.737499999999997,51.2625,2.1595576619273307
historical,base_edge20_ask01_25,payout25_cap5,2026-05-14,17,4,41.3,58.699999999999996,1.4213075060532687
historical,base_edge20_ask01_25,payout25_cap5,2026-05-15,9,1,19.95,5.050000000000001,0.25313283208020054
historical,base_edge20_ask01_25,payout25_cap5,2026-05-16,22,2,50.925,-0.925,-0.018163966617574866
