selector,sizing,period,rows,dates,cities,avg_ask,avg_cost,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,roi_le_minus_50_days,max_daily_loss,top_trade_removed_roi
ask10_edge20_ask10_25,ask_scaled_05_20,historical_recent,141,19,35,0.15990780141843972,3.4673758865248225,0.18439716312056736,488.9,76.10492174654625,0.15566562026292954,-0.2863468656576939,0.6424061032261299,10,5,-31.53333333333333,0.11594321501662797
ask10_edge20_ask10_25,ask_scaled_05_20,forward,9,3,8,0.14677777777777778,3.2259259259259263,0.2222222222222222,29.033333333333335,15.386877499091232,0.5299728185680103,-1.0,3.2350726759385124,1,1,-3.1666666666666665,-0.17115199639809275
model25_ask05_20,fixed5,historical,788,50,49,0.12458946700507614,5.0,0.14213197969543148,3940.0,574.8976975539603,0.1459131212065889,-0.07840859401887204,0.3838918619574929,25,13,-100.0,0.1261917062822433
model25_ask05_20,fixed5,historical_recent,377,19,47,0.12252254641909816,5.0,0.13527851458885942,1885.0,234.83551420827155,0.1245811746462979,-0.19963469891283128,0.45465302443719147,9,5,-84.35897435897436,0.08324584089092468
model25_ask05_20,fixed5,forward,37,3,32,0.13035135135135134,5.0,0.16216216216216217,185.0,71.19528109657091,0.3848393572787617,-0.34391534391534395,2.0303030303030303,1,0,-34.39153439153439,-0.08174338784733332
model25_ask05_20,payout25_cap5,historical,788,50,49,0.12458946700507614,3.114736675126904,0.14213197969543148,2454.4125000000004,345.58750000000003,0.14080253421134384,-0.06937092958891805,0.3631301061824871,24,14,-58.65,0.13130818975401695
model25_ask05_20,payout25_cap5,historical_recent,377,19,47,0.12252254641909816,3.0630636604774533,0.13527851458885942,1154.7749999999999,120.22500000000002,0.10411119049165425,-0.1708270033523353,0.37263337508218825,9,6,-50.775000000000006,0.08386984890854297
model25_ask05_20,payout25_cap5,forward,37,3,32,0.13035135135135134,3.258783783783784,0.16216216216216217,120.575,29.424999999999997,0.24403897988803647,-0.20870425321463898,1.0401224073444406,1,0,-13.1875,0.048657718120805375
model25_ask05_20,payout50_cap5,historical,788,50,49,0.12458946700507614,4.534168781725889,0.14213197969543148,3572.925,515.4982994393711,0.14427907091231162,-0.07388688856277098,0.37875596433843833,25,13,-89.3,0.1312347736827444
model25_ask05_20,payout50_cap5,historical_recent,377,19,47,0.12252254641909816,4.496949602122016,0.13527851458885942,1695.35,213.56226639087737,0.12596942601284536,-0.1867017332300191,0.43955337968668645,9,5,-75.08823529411765,0.09842069689536889
model25_ask05_20,payout50_cap5,forward,37,3,32,0.13035135135135134,4.583783783783784,0.16216216216216217,169.6,45.68619018748,0.2693761213884434,-0.28198669648738045,0.9747939490641782,1,0,-25.76653439153439,-0.009372549071141779
model25_ask05_20,ask_scaled_05_20,historical,788,50,49,0.12458946700507614,2.6620558375634515,0.14213197969543148,2097.7,286.72974143092324,0.13668767766168816,-0.06979627814668957,0.35532901335475064,24,13,-48.583333333333336,0.1274572281889058
model25_ask05_20,ask_scaled_05_20,historical_recent,377,19,47,0.12252254641909816,2.6076038903625114,0.13527851458885942,983.0666666666667,84.45654771879286,0.08591131261236219,-0.17317846399538314,0.33518115668813897,9,4,-43.08725490196079,0.06590199821292993
model25_ask05_20,ask_scaled_05_20,forward,37,3,32,0.13035135135135134,2.840990990990991,0.16216216216216217,105.11666666666667,29.181875998112737,0.27761416836638086,-0.17170086661612088,1.0577532143912236,1,0,-9.286155202821872,0.07417782353183561
gfs_edge20_ask05_25,fixed5,historical,220,50,21,0.12789772727272727,5.0,0.1409090909090909,1100.0,242.8378838123224,0.22076171255665672,-0.2060316934275227,0.6639926281859947,32,31,-35.0,0.15023246619085764
gfs_edge20_ask05_25,fixed5,historical_recent,116,19,18,0.13123706896551723,5.0,0.15517241379310345,580.0,173.29469363102191,0.2987839545362447,-0.35918046094547773,0.9380036133431828,12,11,-35.0,0.16515019182206708
gfs_edge20_ask05_25,fixed5,forward,7,3,6,0.09957142857142857,5.0,0.2857142857142857,35.0,94.0770298403886,2.6879151382968174,-1.0,8.09090909090909,1,1,-10.0,0.2722646310432568
gfs_edge20_ask05_25,payout25_cap5,historical,220,50,21,0.12789772727272727,3.0831249999999994,0.1409090909090909,678.2874999999999,62.596560068677476,0.09228617668566425,-0.2838310664962754,0.48509007377046665,31,31,-25.2125,0.05776785190133912
gfs_edge20_ask05_25,payout25_cap5,historical_recent,116,19,18,0.13123706896551723,3.16239224137931,0.15517241379310345,366.8375,63.8086116669918,0.17394244499810355,-0.4147298069495651,0.7404142404472597,11,11,-25.2125,0.11033253270466843
gfs_edge20_ask05_25,payout25_cap5,forward,7,3,6,0.09957142857142857,2.4892857142857143,0.2857142857142857,17.425,32.575,1.8694404591104736,-1.0,4.0,1,1,-5.5375,0.557632398753894
gfs_edge20_ask05_25,payout50_cap5,historical,220,50,21,0.12789772727272727,4.46125,0.1409090909090909,981.475,150.85710063756204,0.15370447605650886,-0.25110999937956113,0.572848297465088,32,31,-35.0,0.1061418029459742
gfs_edge20_ask05_25,payout50_cap5,historical_recent,116,19,18,0.13123706896551723,4.494612068965517,0.15517241379310345,521.375,134.27035049295696,0.2575312404564027,-0.38011781547051027,0.8739847026840062,12,11,-35.0,0.16835370242190884
gfs_edge20_ask05_25,payout50_cap5,forward,7,3,6,0.09957142857142857,3.9714285714285715,0.2857142857142857,27.8,60.3679389312977,2.171508594650996,-1.0,5.451612903225806,1,1,-7.825,0.5236702168182716
gfs_edge20_ask05_25,ask_scaled_05_20,historical,220,50,21,0.12789772727272727,2.644621212121212,0.1409090909090909,581.8166666666666,39.10589584817798,0.06721343352403905,-0.30784996516966423,0.4647093156741853,33,31,-21.95,0.033122995489343075
gfs_edge20_ask05_25,ask_scaled_05_20,historical_recent,116,19,18,0.13123706896551723,2.7403735632183905,0.15517241379310345,317.8833333333333,42.43852573758983,0.13350346270934776,-0.4542522579940095,0.7029870734811748,12,11,-21.95,0.071715311578085
gfs_edge20_ask05_25,ask_scaled_05_20,forward,7,3,6,0.09957142857142857,2.1,0.2857142857142857,14.700000000000001,28.63795975017349,1.9481605272226863,-1.0,4.145797598627787,1,1,-5.083333333333334,0.5323930872045177
ecmwf_edge20_ask05_25,fixed5,historical,293,50,29,0.1122457337883959,5.0,0.15699658703071673,1465.0,360.81457630456094,0.24628981317717472,-0.10901080575312622,0.6365755251446625,26,19,-50.0,0.1934803034049503
ecmwf_edge20_ask05_25,fixed5,historical_recent,139,19,26,0.10885251798561152,5.0,0.12949640287769784,695.0,61.70252737023526,0.08878061492120182,-0.39066828627517153,0.6018694187941276,12,6,-50.0,-0.02410261733782327
ecmwf_edge20_ask05_25,fixed5,forward,12,2,11,0.09966666666666667,5.0,0.08333333333333333,60.0,-31.428571428571427,-0.5238095238095238,,,2,1,-16.428571428571427,-1.0
ecmwf_edge20_ask05_25,payout25_cap5,historical,293,50,29,0.1122457337883959,2.7707337883959045,0.15699658703071673,811.825,327.03655174735366,0.40284119329578866,0.05436709692793551,0.7575451541471996,22,19,-29.625,0.3745861867119412
ecmwf_edge20_ask05_25,payout25_cap5,historical_recent,139,19,26,0.10885251798561152,2.6754496402877703,0.12949640287769784,371.88750000000005,75.75855785592738,0.20371364419596616,-0.22550052885056013,0.6105229390414031,8,6,-25.1625,0.14109158072539532
ecmwf_edge20_ask05_25,payout25_cap5,forward,12,2,11,0.09966666666666667,2.4916666666666667,0.08333333333333333,29.9,-4.9,-0.1638795986622074,,,1,1,-6.0,-1.0
ecmwf_edge20_ask05_25,payout50_cap5,historical,293,50,29,0.1122457337883959,4.275938566552901,0.15699658703071673,1252.85,405.2425676995737,0.32345657317282495,-0.02506604307294494,0.7063810678411584,25,19,-42.75,0.2866284495736079
ecmwf_edge20_ask05_25,payout50_cap5,historical_recent,139,19,26,0.10885251798561152,4.226438848920863,0.12949640287769784,587.475,91.70022902574775,0.15609213843269543,-0.31205984269833503,0.6195521405050374,11,6,-39.075,0.07647928316138024
ecmwf_edge20_ask05_25,payout50_cap5,forward,12,2,11,0.09966666666666667,4.170833333333333,0.08333333333333333,50.05,-21.478571428571428,-0.42914228628514345,,,2,1,-11.25,-1.0
ecmwf_edge20_ask05_25,ask_scaled_05_20,historical,293,50,29,0.1122457337883959,2.315529010238908,0.15699658703071673,678.45,291.1558867878215,0.42914862817867416,0.0738357503899942,0.7856052861502991,22,19,-26.166666666666668,0.40260716332458624
ecmwf_edge20_ask05_25,ask_scaled_05_20,historical_recent,139,19,26,0.10885251798561152,2.2038369304556356,0.12949640287769784,306.33333333333337,62.68482538544248,0.2046294626293008,-0.20558330858917415,0.6007243991797626,8,6,-21.666666666666668,0.14173079247910797
ecmwf_edge20_ask05_25,ask_scaled_05_20,forward,12,2,11,0.09966666666666667,1.9722222222222223,0.08333333333333333,23.666666666666668,0.1428571428571379,0.006036217303822728,,,1,1,-4.666666666666667,-1.0
edge25_ask05_25,fixed5,historical,314,50,42,0.11847770700636945,5.0,0.14012738853503184,1570.0,200.90762216128195,0.12796663831928787,-0.19313219894830075,0.4899580206102237,30,20,-50.0,0.07832222928303434
edge25_ask05_25,fixed5,historical_recent,156,19,38,0.11670833333333332,5.0,0.14743589743589744,780.0,161.57849335640623,0.20715191455949516,-0.2756550277435656,0.7447122331452058,10,6,-45.0,0.10741310970719072
edge25_ask05_25,fixed5,forward,12,2,12,0.09670833333333334,5.0,0.16666666666666666,60.0,6.739367502726278,0.11232279171210463,,,1,0,-11.428571428571427,-0.4805194805194805
edge25_ask05_25,payout25_cap5,historical,314,50,42,0.11847770700636945,2.885828025477707,0.14012738853503184,906.15,160.8634344058991,0.17752406820713912,-0.12532423704228407,0.5049906611842425,23,20,-32.5,0.1518415236897132
edge25_ask05_25,payout25_cap5,historical_recent,156,19,38,0.11670833333333332,2.8439903846153842,0.14743589743589744,443.66249999999997,111.9836116669918,0.25240720517734044,-0.2277478371614775,0.7590370771407879,8,6,-28.6875,0.20011559475756507
edge25_ask05_25,payout25_cap5,forward,12,2,12,0.09670833333333334,2.4177083333333336,0.16666666666666666,29.012500000000003,20.9875,0.7233950883239982,,,0,0,4.5,-0.02865468674113657
edge25_ask05_25,payout50_cap5,historical,314,50,42,0.11847770700636945,4.323168789808917,0.14012738853503184,1357.475,187.33358689754124,0.13800150050464374,-0.18364010363115152,0.49339252188664257,29,20,-43.125,0.10360736587795351
edge25_ask05_25,payout50_cap5,historical_recent,156,19,38,0.11670833333333332,4.30176282051282,0.14743589743589744,671.0749999999999,157.62036439632016,0.23487741965699835,-0.25021719687344024,0.7801731284327666,10,6,-41.5,0.16558075724480062
edge25_ask05_25,payout50_cap5,forward,12,2,12,0.09670833333333334,4.01875,0.16666666666666666,48.225,18.514367502726277,0.3839163816013743,,,1,0,-4.178571428571428,-0.33900685780385026
edge25_ask05_25,ask_scaled_05_20,historical,314,50,42,0.11847770700636945,2.450636942675159,0.14012738853503184,769.5,150.0363002860238,0.1949789477401219,-0.11196832470564916,0.519046339414085,22,20,-30.0,0.1700932639450931
edge25_ask05_25,ask_scaled_05_20,historical_recent,156,19,38,0.11670833333333332,2.4090811965811967,0.14743589743589744,375.81666666666666,93.13030089197404,0.24780779872803418,-0.24103926708438975,0.7513378643014802,8,6,-25.75,0.19721416933428215
edge25_ask05_25,ask_scaled_05_20,forward,12,2,12,0.09670833333333334,1.9402777777777775,0.16666666666666666,23.28333333333333,21.136877499091234,0.9078114888657653,,,0,0,6.976190476190471,0.07815276492942093
