target_date,jma_observation_jst,jma_first_seen_jst,decision_jst,first_seen_latency_seconds,book_after_first_seen_seconds,current_bracket,evaluation_status,not_scorable_reason,captured_brackets,jma_temp_c,jma_running_max_c,jma_slope_60m_cph,minutes_since_jma_strict_high,prior_metar_temp_c,prior_metar_running_max_c,official_last_obs_utc,official_snapshot_fetched_at_utc,no_bid,no_ask,no_mid,fee_per_share,model_p_no_v2,edge_after_fee_v2,would_enter_v2,model_p_no_no_floor,edge_after_fee_no_floor,would_enter_no_floor,final_bracket,no_label,hypothetical_no_entry_cost_1share,hypothetical_no_pnl_1share_fee_adjusted,hypothetical_no_pnl_5shares_fee_adjusted,model_direction_buy_no,model_direction_pnl_1share_fee_adjusted,model_direction_pnl_5shares_fee_adjusted,v2_policy_pnl_1share_fee_adjusted,v2_policy_pnl_5shares_fee_adjusted,v2_prediction_correct_at_050,availability_clock_class,book_snapshot_id,capture_cycle_id,source_payload_hash
2026-08-02,2026-08-02T11:40:00+09:00,2026-08-02T11:47:06.181408+09:00,2026-08-02T11:47:50.935399+09:00,426.181,44.754,32,scored,,,32.4,32.6,0.3999999999999986,20.0,32.0,32.0,2026-08-02T02:30:00+00:00,2026-08-02T02:42:32.119904+00:00,0.961,0.984,0.9724999999999999,0.00079,0.9681879970141151,-0.01660200298588492,0,0.9681879970141151,-0.01660200298588492,0,33,1,0.9847899999999999,0.015210000000000057,0.07605000000000028,1,0.015210000000000057,0.07605000000000028,0.0,0.0,1,collector_exact_hash_verified,,32afa17b954c6e0ccd5e4892c125a132f7eb965b751251efd5dcb13a182eeac6,d4f3172ba87f03634fd6bd3ee6674135bdeb31231998f99ae68db51ea5430b8d
2026-08-02,2026-08-02T11:50:00+09:00,2026-08-02T11:57:08.251937+09:00,2026-08-02T16:08:18.922874+09:00,428.252,15070.671,33,not_scorable,timely_book_capture_gap,31|32|33|34,,,,,,,,,,,,,,,,,,,33,0,,,,,,,,,,collector_exact_hash_verified,,,f42f532c99611f1ead421f32272757cdea53422a0a46071845e588c148dd5519
2026-08-02,2026-08-02T16:00:00+09:00,2026-08-02T16:08:44.780985+09:00,2026-08-02T16:09:46.191345+09:00,524.781,61.41,33,scored,,,30.6,32.6,,280.0,31.0,33.0,2026-08-02T07:00:00+00:00,2026-08-02T07:07:49.836623+00:00,0.002,0.007,0.0045000000000000005,0.00035,0.00305192671038374,-0.004298073289616259,0,0.0027461963718277784,-0.004603803628172221,0,33,0,0.00735,-0.00735,-0.03675,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,eba44c52a87b1220613e893cf24abe93809d74275494c839736ba9e29a1ad47c,8bb28c96a84a29312ebe89051ac65c64a1c290f11a63319d4f459b7e72e828d4
2026-08-02,2026-08-02T16:10:00+09:00,2026-08-02T16:17:06.523632+09:00,2026-08-02T16:17:41.362871+09:00,426.524,34.839,33,scored,,,30.4,32.6,-0.20000000000000284,290.0,31.0,33.0,2026-08-02T07:00:00+00:00,2026-08-02T07:13:01.367000+00:00,0.001,0.007,0.004,0.00035,0.002586916116214806,-0.004763083883785194,0,0.002068529569280033,-0.0052814704307199666,0,33,0,0.00735,-0.00735,-0.03675,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,adfc92f6ae150b9def73ebb6af3c5898054173be28ed344086531f99b8bf3fe7,d04106d4e3db55c96f5062cec212c64e4878d63303dd4b068d0a78f435208a29
2026-08-02,2026-08-02T16:20:00+09:00,2026-08-02T16:27:40.942390+09:00,2026-08-02T16:28:41.490033+09:00,460.942,60.548,33,scored,,,30.1,32.6,-0.5,300.0,31.0,33.0,2026-08-02T07:00:00+00:00,2026-08-02T07:23:32.197706+00:00,0.001,0.007,0.004,0.00035,0.0023312768340309443,-0.0050187231659690554,0,0.0018640215561677082,-0.005485978443832291,0,33,0,0.00735,-0.00735,-0.03675,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,8f6df3c98e6986e39d9fd7e42cad8c092a9999d08e19459001927fba487bf77f,9e646ee7b6dea7edebc47702283a96895336b4ff670f130c7f103c70327239ee
2026-08-02,2026-08-02T16:30:00+09:00,2026-08-02T16:37:20.766008+09:00,2026-08-02T16:37:41.446622+09:00,440.766,20.681,33,scored,,,29.7,32.6,-0.9000000000000021,310.0,31.0,33.0,2026-08-02T07:00:00+00:00,2026-08-02T07:36:12.866451+00:00,0.001,0.007,0.004,0.00035,0.0020373925993984994,-0.0053126074006015,0,0.0016289440450096718,-0.005721055954990328,0,33,0,0.00735,-0.00735,-0.03675,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,1a0b6e8bd92eec91b8d1a7c75003dffcc0977827b18937e80a9cd2d5ca2bce97,72affcd89676368afb9c67fcb34a79d3b769eb44687089088bfab5a73b52de54
2026-08-02,2026-08-02T16:40:00+09:00,2026-08-02T16:47:04.648977+09:00,2026-08-02T16:47:41.223105+09:00,424.649,36.574,33,scored,,,29.2,32.6,-1.4000000000000021,320.0,30.0,33.0,2026-08-02T07:30:00+00:00,2026-08-02T07:46:46.466343+00:00,0.001,0.006,0.0035,0.0003,0.0017266950210252457,-0.004573304978974754,0,0.0012074948065481162,-0.005092505193451884,0,33,0,0.0063,-0.0063,-0.0315,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,b6b5b02367a973dea77c5b8e580f7b5c4535eccb17824a27b4b49cc2a566848a,8b5ed6f542b4d438543c60421324635095c4ed3cb80dadd9319ce9509ce2b333
2026-08-02,2026-08-02T16:50:00+09:00,2026-08-02T16:57:06.991059+09:00,2026-08-02T16:57:41.438887+09:00,426.991,34.448,33,scored,,,29.1,32.6,-1.5,330.0,30.0,33.0,2026-08-02T07:30:00+00:00,2026-08-02T07:57:13.005674+00:00,0.001,0.006,0.0035,0.0003,0.0016544047635839033,-0.0046455952364160965,0,0.0011569163273468116,-0.005143083672653188,0,33,0,0.0063,-0.0063,-0.0315,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,8178046d4674f651d8c90c5f96fec444b254a491074cd564e86c0684f0f3da06,b174e8fa043f6733eaad728f9dceeb635a09c01c65e90020b2238bb1c221105d
2026-08-02,2026-08-02T17:00:00+09:00,2026-08-02T17:07:05.224966+09:00,2026-08-02T17:07:41.524255+09:00,425.225,36.299,33,scored,,,28.7,32.6,-1.9000000000000021,340.0,30.0,33.0,2026-08-02T07:30:00+00:00,2026-08-02T08:02:58.664151+00:00,0.001,0.005,0.003,0.00025,0.0014457243833491567,-0.0038042756166508434,0,0.0008661969605678198,-0.00438380303943218,0,33,0,0.00525,-0.00525,-0.026250000000000002,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,bb4994e8bf961b1a07e3bdcc5713e941df941d686fb1bd78a23fd8c98d6edcbb,3e527238d8fb398e02e5b3d3407c43cca2c04e70f19c0014ef6615434545816f
2026-08-02,2026-08-02T17:10:00+09:00,2026-08-02T17:17:05.873031+09:00,2026-08-02T17:17:41.459265+09:00,425.873,35.586,33,scored,,,28.6,32.6,-1.7999999999999972,350.0,29.0,33.0,2026-08-02T08:00:00+00:00,2026-08-02T08:13:27.127377+00:00,0.001,0.005,0.003,0.00025,0.0014728647554583703,-0.00377713524454163,0,0.0008824675638492458,-0.004367532436150755,0,33,0,0.00525,-0.00525,-0.026250000000000002,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,ff82db8938b93dd094156cb5606b1e6432739a200fb1532a7e32549388a7b2ef,a5fbac3fdb719332c108a4ab211efb67ccf0b3683aa0528b3581afe5d4156413
2026-08-02,2026-08-02T17:20:00+09:00,2026-08-02T17:27:07.023169+09:00,2026-08-02T17:27:42.005126+09:00,427.023,34.982,33,scored,,,28.2,32.6,-1.9000000000000021,360.0,29.0,33.0,2026-08-02T08:00:00+00:00,2026-08-02T08:23:58.466146+00:00,0.001,0.005,0.003,0.00025,0.0014111863986307463,-0.003838813601369254,0,0.0008454920147593857,-0.004404507985240615,0,33,0,0.00525,-0.00525,-0.026250000000000002,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,cff1af99f15285ee7cc1b93d0df0a02e27b5a5425b8f1125dc2bcc137e4d6957,8116a7610b2d664d64a2c7708d135445fa6428e7dda591cd9ce6118f6be8975b
2026-08-02,2026-08-02T17:30:00+09:00,2026-08-02T17:37:08.529069+09:00,2026-08-02T17:37:41.619855+09:00,428.529,33.091,33,scored,,,28.0,32.6,-1.6999999999999993,370.0,29.0,33.0,2026-08-02T08:00:00+00:00,2026-08-02T08:34:19.919341+00:00,0.001,0.005,0.003,0.00025,0.0014824832062508306,-0.00376751679374917,0,0.0008882338925409349,-0.0043617661074590655,0,33,0,0.00525,-0.00525,-0.026250000000000002,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,e589f8a0324ab89bc8bae84276863fa63b035c527f08e21b65af32004f4a438e,45a4eefd4c61e523e8aed98719c18478ca4e889fb063659b3490b8cbe65a8fca
2026-08-02,2026-08-02T17:40:00+09:00,2026-08-02T17:47:06.968588+09:00,2026-08-02T17:47:41.885425+09:00,426.969,34.917,33,not_scorable,one_sided_current_book,,27.8,32.6,-1.3999999999999986,380.0,28.0,33.0,2026-08-02T08:30:00+00:00,2026-08-02T08:44:37.295194+00:00,,0.004,,,,,0,,,0,33,0,,,,0,0.0,0.0,0.0,0.0,,collector_exact_hash_verified,,06ad8354ecda238d4734f00ec669cc9567f1ba189a22fa06b60fb29033083107,75cc05960215608ad3516c009dbd42d2095f32fcf672bda4547c8205f76d90f3
2026-08-02,2026-08-02T17:50:00+09:00,2026-08-02T17:57:06.510540+09:00,2026-08-02T18:05:41.929884+09:00,426.511,515.419,33,scored,,,27.6,32.6,-1.5,390.0,28.0,33.0,2026-08-02T08:30:00+00:00,2026-08-02T09:05:12.304704+00:00,0.001,0.005,0.003,0.00025,0.001538663611582941,-0.003711336388417059,0,0.0009219153291303646,-0.004328084670869635,0,33,0,0.00525,-0.00525,-0.026250000000000002,0,0.0,0.0,0.0,0.0,1,collector_exact_hash_verified,,99be5ab753d5549c5c37c0ffe81a5149821b16c657756ada92f6b96748210997,70162c61864a44bbda4960a60d9dd1a18292a2f92b966422395a8eea1d233ccf
