snapshot_ts_utc,city,target_date,leg,bracket,unit,win,entry_price,p_market_entry_v1,p_heating_done_score_v1,p_leg_win_physical_lodo_v1,p_leg_win_physical_expanding_v1,p_leg_win_physical_v1,local_time_float,forecast_peak_delta_hours_local,forecast_gap_to_running_native,decline_native,target_distance_native,forecast_margin_to_target_native,metar_obs_count_today,running_value,leg,unit,path_state,peak_delta_bucket,forecast_gap_bucket
2026-06-24T10:49:37Z,Amsterdam,2026-06-24,d1_no,32,C,1.0,0.978,0.978,1e-06,0.6751110226627783,,0.6880093939571666,18.816666666666666,-3.18,1.0,0.0,1.0,0.0,24,31,d1_no,C,at_high,peak_gt1h_ahead,room_0_1
2026-06-24T10:49:37Z,Ankara,2026-06-24,d1_no,27,C,1.0,0.89,0.89,1e-06,0.6645679018832497,,0.6793696204125014,18.816666666666666,-3.18,1.1000000000000014,0.0,1.0,-0.10000000000000142,27,26,d1_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-25T07:21:33Z,Atlanta,2026-06-25,d2_no,79,F,1.0,0.997,0.997,1e-06,0.9828442293695875,,0.9829799597696259,15.35,-13.65,13.0,2.0,4.0,-9.0,3,75,d2_no,F,decline,peak_gt1h_ahead,room_gt2
2026-06-25T07:21:33Z,Beijing,2026-06-25,current_yes,32,C,1.0,0.96,0.96,0.3,0.6483691678466204,,0.666375602865861,15.35,-0.65,-1.6999999999999993,0.0,0.0,1.6999999999999993,31,32,current_yes,C,at_high,peak_1h_to_15m_ahead,busted_lt_minus1
2026-06-25T07:21:33Z,Beijing,2026-06-25,d1_no,33,C,1.0,0.965,0.965,0.3,0.9325770216701964,,0.9389781641947764,15.35,-0.65,-1.6999999999999993,0.0,1.0,2.6999999999999993,31,32,d1_no,C,at_high,peak_1h_to_15m_ahead,busted_lt_minus1
2026-06-25T07:57:37Z,Amsterdam,2026-06-25,d3_no,28,C,1.0,0.996,0.996,1e-06,0.9048877863512772,,0.906245813763798,15.95,-6.05,4.899999999999999,0.0,3.0,-1.8999999999999986,20,25,d3_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-25T08:34:28Z,Ankara,2026-06-25,d1_no,26,C,1.0,0.999,0.999,1e-06,0.8152909897571533,,0.8195291139595572,16.566666666666666,-4.43,2.6000000000000014,0.0,1.0,-1.6000000000000014,23,25,d1_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-25T09:47:12Z,Amsterdam,2026-06-25,d2_no,28,C,1.0,0.996,0.996,1e-06,0.8912923597452407,,0.8927649355332049,17.783333333333335,-4.22,5.800000000000001,0.0,2.0,-3.8000000000000007,23,26,d2_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-25T09:47:12Z,Ankara,2026-06-25,d1_no,27,C,1.0,0.996,0.996,1e-06,0.6803993342256665,,0.6871856034446713,17.783333333333335,-3.22,1.6000000000000014,0.0,1.0,-0.6000000000000014,25,26,d1_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-25T10:24:22Z,Ankara,2026-06-25,current_yes,27,C,0.0,0.01,0.01,1e-06,0.22037442082985564,,0.21968486498180728,18.4,-2.6,0.6000000000000014,0.0,0.0,-0.6000000000000014,26,27,current_yes,C,at_high,peak_gt1h_ahead,room_0_1
