rows,dates,label_rate,prob_mean,auc,brier,log_loss,evidence_layer,scope,model,prob_col,active_numeric,active_categorical,dropped_numeric_all_missing_in_train
149,31,0.4697986577181208,0.46985119816353427,0.5866184448462929,0.2418514866256868,0.6767500919463454,frozen_live_like_route_price,train_to_2026_06_20,logit_market_route,p_no_logit_market_route,router_ask,router_route,
16,8,0.4375,0.47881063616254993,0.5714285714285714,0.2345439923402919,0.6620145811407452,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_logit_market_route,router_ask,router_route,
165,39,0.4666666666666667,0.47071999215131766,0.5896546635182999,0.2411428811192243,0.6753211939288326,frozen_live_like_route_price,all_trainfit_forward_scored,logit_market_route,p_no_logit_market_route,router_ask,router_route,
149,31,0.4697986577181208,0.4698708395582517,0.722242314647378,0.21505856283960995,0.6192212791591809,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather,p_no_logit_mechanism_weather,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult,router_route;city_family;moisture_cloud_regime;row_forecast_model,
16,8,0.4375,0.44172074126078975,0.6825396825396826,0.22614888356403054,0.6427858065271772,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_logit_mechanism_weather,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult,router_route;city_family;moisture_cloud_regime;row_forecast_model,
165,39,0.4666666666666667,0.4671411330566796,0.7160566706021251,0.2161339878795538,0.6215063242372897,frozen_live_like_route_price,all_trainfit_forward_scored,logit_mechanism_weather,p_no_logit_mechanism_weather,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult,router_route;city_family;moisture_cloud_regime;row_forecast_model,
149,31,0.4697986577181208,0.4698815367550406,0.769258589511754,0.20260846383447062,0.592000258652621,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather_citybias,p_no_logit_mechanism_weather_citybias,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult;city_source_bias;city_source_hot_underforecast_rate;city_source_cold_overforecast_rate,router_route;city_family;moisture_cloud_regime;row_forecast_model;city_source_bias_regime,city_source_bias_mae;city_source_bias_p90
16,8,0.4375,0.47052156600360934,0.6507936507936507,0.2293198608905167,0.6460227651922903,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_logit_mechanism_weather_citybias,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult;city_source_bias;city_source_hot_underforecast_rate;city_source_cold_overforecast_rate,router_route;city_family;moisture_cloud_regime;row_forecast_model;city_source_bias_regime,city_source_bias_mae;city_source_bias_p90
165,39,0.4666666666666667,0.4699436001973259,0.7541322314049586,0.2051986599126327,0.5972388047413161,frozen_live_like_route_price,all_trainfit_forward_scored,logit_mechanism_weather_citybias,p_no_logit_mechanism_weather_citybias,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult;city_source_bias;city_source_hot_underforecast_rate;city_source_cold_overforecast_rate,router_route;city_family;moisture_cloud_regime;row_forecast_model;city_source_bias_regime,city_source_bias_mae;city_source_bias_p90
149,31,0.4697986577181208,0.469810770894935,0.7649186256781193,0.20463940637050618,0.5963899317957301,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_plus_heuristic_score,p_no_logit_mechanism_plus_heuristic_score,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult;city_source_bias;city_source_hot_underforecast_rate;city_source_cold_overforecast_rate;score_deployed_weight;score_deployed_ratio,router_route;city_family;moisture_cloud_regime;row_forecast_model;city_source_bias_regime,city_source_bias_mae;city_source_bias_p90
