trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,target_date,evidence_layer,model,dropped_numeric_all_missing_in_train
1,1,1,0,0.0,0.22,0.3221104680752016,0.3221104680752016,-0.3221104680752016,-1.0,,,1,2026-06-22,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.21,0.48782610159085465,0.48782610159085465,1.8351553345560723,3.761904761904762,,,0,2026-06-23,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-24,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-25,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.29,0.5500303754772218,0.5500303754772218,-0.5500303754772218,-1.0,,,1,2026-06-26,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.43,0.5468598847613816,0.5468598847613816,-0.5468598847613816,-1.0,,,1,2026-06-07,historical_best_ask_diagnostic,logit_market_route,
2,1,2,1,0.5,0.355,0.4246120228314104,0.8492240456628208,0.28084026698569936,0.3307022079980119,,,0,2026-06-08,historical_best_ask_diagnostic,logit_market_route,
2,1,2,2,1.0,0.32499999999999996,0.4536198868134462,0.9072397736268925,2.062590032689428,2.2734784041089453,,,0,2026-06-09,historical_best_ask_diagnostic,logit_market_route,
1,1,1,0,0.0,0.1,0.31747152088977143,0.31747152088977143,-0.31747152088977143,-1.0,,,1,2026-06-10,historical_best_ask_diagnostic,logit_market_route,
2,1,2,1,0.5,0.29,0.4463993941907156,0.8927987883814312,0.8991209425024305,1.007081275426528,,,0,2026-06-11,historical_best_ask_diagnostic,logit_market_route,
2,1,2,2,1.0,0.23500000000000001,0.36506846461462666,0.7301369292292533,2.407262313600925,3.297001175029015,,,0,2026-06-12,historical_best_ask_diagnostic,logit_market_route,
