trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,prob_col,trade_variant
18,14,13,9,0.5,0.2838888888888889,0.5375284173011478,9.675511511420659,9.74604435148019,1.0072898306178724,0.10999175669188749,1.862574607135309,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_plus_05_size_probability
27,14,16,13,0.48148148148148145,0.34377777777777774,0.3758647022222223,10.148346960000001,8.010139788927818,0.789304880932827,-0.1044203730232326,1.6716181660232317,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_plus_05_size_current_score
25,17,16,13,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658358,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,current_heuristic_score_over_ask_ge_1_size_score
20,15,15,10,0.5,0.27749999999999997,0.5046751144593195,10.09350228918639,9.95478861858229,0.9862571319023022,0.08608500953712045,1.880747915819052,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_size_probability
29,15,17,14,0.4827586206896552,0.34351724137931033,0.3799171365517242,11.017596960000002,8.591306455594482,0.7797804264201802,-0.02635820725037918,1.627063992266896,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_size_current_score
15,14,11,7,0.4666666666666667,0.27999999999999997,0.5721214464184802,8.581821696277203,7.889264262455503,0.9192994846161706,-0.13194902457038407,1.9790531383627923,7,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_plus_05_size_probability
25,14,14,13,0.52,0.35647999999999996,0.38417831840000005,9.604457960000001,8.588983753466824,0.894270534499463,0.003119355939851862,1.7883918602296196,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_plus_05_size_current_score
26,18,18,11,0.4230769230769231,0.29692307692307696,0.4805408307692308,12.494061600000002,8.777341897618303,0.7025210999134422,-0.04749572666720888,1.5605500053539036,7,historical_best_ask_diagnostic,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,current_heuristic_score_over_ask_ge_1_size_score
31,20,21,14,0.45161290322580644,0.31,0.45196958249824776,14.011057057445681,7.764781139360013,0.5541895309914318,-0.11254457061437878,1.255119957421015,9,historical_best_ask_diagnostic,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_size_probability
47,20,24,22,0.46808510638297873,0.4191063829787233,0.3132356927659575,14.72207756,8.47924357684335,0.5759542797058427,-0.05510248803509118,1.2684176748845035,4,historical_best_ask_diagnostic,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_size_current_score
28,18,21,12,0.42857142857142855,0.2832142857142857,0.43695495399379486,12.234738711826257,7.39231560082006,0.6042070676731782,-0.1593185774061766,1.3831024346893475,9,historical_best_ask_diagnostic,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_plus_05_size_probability
